julian,precip_mm,swe_k0,swe_k1,frostdp_k0,frostdp_k1,saturation_k0,saturation_k1,runoff_k0,runoff_k1
100,20.60,448.6,448.6,0,70,0.340,0.340,0.0000,0.0000
101,23.60,472.2,472.2,0,70,0.340,0.340,0.0000,0.0000
102,5.30,477.6,477.6,0,70,0.340,0.340,0.0000,0.0000
103,0.00,477.6,477.6,0,70,0.340,0.340,0.0000,0.0000
104,0.00,477.6,477.6,0,70,0.340,0.340,0.0000,0.0000
105,0.00,477.6,477.6,0,70,0.340,0.340,0.0000,0.0000
106,0.00,477.6,477.6,0,70,0.340,0.340,0.0000,0.0000
107,2.30,479.9,479.9,0,70,0.340,0.340,0.0000,0.0000
108,23.60,503.4,503.4,0,70,0.340,0.340,0.0000,0.0000
109,8.60,512.0,512.0,0,70,0.340,0.340,0.0000,0.0000
110,0.00,512.0,512.0,0,70,0.340,0.340,0.0000,0.0000
111,0.00,512.0,512.0,0,70,0.340,0.340,0.0000,0.0000
112,4.60,516.6,516.6,0,70,0.340,0.340,0.0000,0.0000
113,7.40,524.0,524.0,0,70,0.340,0.340,0.0000,0.0000
114,3.30,527.4,527.4,0,70,0.340,0.340,0.0000,0.0000
115,0.00,527.4,527.4,0,70,0.340,0.340,0.0000,0.0000
116,0.00,527.4,527.4,0,70,0.340,0.340,0.0000,0.0000
117,0.00,527.4,527.4,0,70,0.340,0.340,0.0000,0.0000
118,0.00,527.4,527.4,0,70,0.340,0.340,0.0000,0.0000
119,0.00,527.4,527.4,0,70,0.340,0.340,0.0000,0.0000
120,0.00,527.4,527.4,0,70,0.340,0.340,0.0000,0.0000
121,0.00,527.4,527.4,0,70,0.340,0.340,0.0000,0.0000
122,0.00,519.1,519.1,0,70,0.410,0.350,0.0000,6.2819
123,0.00,504.9,504.9,0,70,0.540,0.350,0.0000,12.8062
124,0.00,484.3,484.3,0,70,0.710,0.350,0.0000,18.9351
125,0.00,458.4,458.4,0,70,0.830,0.350,0.0000,24.3717
126,0.00,427.4,427.4,0,70,0.970,0.350,7.1570,29.4271
127,0.00,390.2,390.2,0,70,0.970,0.350,18.9832,35.4021
128,0.00,354.2,354.2,0,70,0.970,0.350,17.8671,34.2809
129,0.00,317.9,317.9,0,70,0.980,0.360,18.3476,34.4671
130,0.00,317.9,317.9,0,70,0.770,0.350,0.0000,0.0000
131,0.00,312.8,312.8,0,70,0.720,0.360,0.0000,3.4175
132,0.00,291.4,291.4,0,70,0.820,0.380,0.0000,18.2502
133,0.00,278.7,278.7,0,67,0.780,0.370,0.0000,11.1861
134,0.00,255.3,255.3,0,60,0.910,0.390,0.0000,20.2537
135,0.00,231.4,231.4,0,60,0.970,0.380,3.9133,22.0598
136,3.60,206.7,206.7,0,60,0.980,0.380,10.6260,24.5501
137,0.00,188.0,188.0,0,50,0.970,0.410,2.2689,15.8425
138,0.00,160.8,160.8,0,50,0.960,0.380,9.7023,25.4223
139,0.00,114.0,114.0,0,40,0.970,0.390,27.8248,44.9270
140,0.00,71.8,71.8,0,40,0.970,0.370,23.8463,40.3465
141,3.60,36.0,36.0,0,32,0.980,0.410,21.3793,37.3128
142,3.60,16.0,16.0,0,30,0.990,0.430,6.9199,19.7235
143,0.00,0.0,0.0,0,20,0.970,0.520,0.0000,12.4718
144,0.00,0.0,0.0,0,13,0.740,0.460,0.0000,0.0000
145,0.00,0.0,0.0,0,0,0.650,0.420,0.0000,0.0000
146,0.00,0.0,0.0,0,0,0.610,0.380,0.0000,0.0000
147,7.90,0.0,0.0,0,0,0.690,0.460,0.0000,0.0000
148,5.80,0.0,0.0,0,0,0.730,0.530,0.0000,0.0000
149,0.00,0.0,0.0,0,5,0.650,0.500,0.0000,0.0000
150,4.60,0.0,0.0,0,0,0.690,0.540,0.0000,0.0000
151,0.00,0.0,0.0,0,5,0.640,0.510,0.0000,0.0000
152,0.00,0.0,0.0,0,5,0.610,0.480,0.0000,0.0000
153,0.00,0.0,0.0,0,5,0.560,0.440,0.0000,0.0000
154,0.00,0.0,0.0,0,0,0.520,0.400,0.0000,0.0000
155,0.00,0.0,0.0,0,0,0.480,0.370,0.0000,0.0000
156,0.00,0.0,0.0,0,0,0.440,0.360,0.0000,0.0000
157,0.00,0.0,0.0,0,0,0.420,0.350,0.0000,0.0000
158,0.00,0.0,0.0,0,5,0.380,0.350,0.0000,0.0000
159,0.00,0.0,0.0,0,0,0.360,0.340,0.0000,0.0000
160,0.00,0.0,0.0,0,0,0.350,0.340,0.0000,0.0000
161,0.00,0.0,0.0,0,0,0.340,0.340,0.0000,0.0000
162,0.00,0.0,0.0,0,0,0.340,0.340,0.0000,0.0000
163,0.00,0.0,0.0,0,0,0.340,0.340,0.0000,0.0000
164,4.60,0.0,0.0,0,0,0.370,0.370,0.0000,0.0000
165,0.00,0.0,0.0,0,0,0.360,0.360,0.0000,0.0000
166,13.20,0.0,0.0,0,0,0.500,0.500,0.0000,0.0000
167,32.80,0.0,0.0,0,0,0.840,0.840,0.0000,0.0000
168,24.60,0.0,0.0,0,0,0.990,0.960,0.0559,0.0000
169,0.00,0.0,0.0,0,0,0.750,0.740,0.0000,0.0000
170,5.80,0.0,0.0,0,0,0.730,0.720,0.0000,0.0000
171,0.00,0.0,0.0,0,0,0.640,0.640,0.0000,0.0000
172,0.00,0.0,0.0,0,0,0.590,0.590,0.0000,0.0000
173,0.00,0.0,0.0,0,0,0.540,0.540,0.0000,0.0000
174,0.00,0.0,0.0,0,0,0.490,0.490,0.0000,0.0000
175,0.00,0.0,0.0,0,0,0.430,0.430,0.0000,0.0000
176,0.00,0.0,0.0,0,0,0.380,0.380,0.0000,0.0000
