wepp_id,topaz_id,soil_key,area_ha,slope,sbs_map_sediment_t,undisturbed_sediment_t,sediment_delta_t,sbs_map_runoff_mm,undisturbed_runoff_mm,runoff_delta_mm,sbs_map_baseflow_mm,undisturbed_baseflow_mm,sbs_map_lateral_flow_mm,undisturbed_lateral_flow_mm,sbs_map_soil_layers,undisturbed_soil_layers,sbs_map_kslast_mm_hr,undisturbed_kslast_mm_hr,sbs_map_res_lyr_i,undisturbed_res_lyr_i,sbs_map_pmet_entry,sbs_map_pmet_station,sbs_map_pmet_description,undisturbed_pmet_entry,undisturbed_pmet_station,undisturbed_pmet_description,inversion
562,2563,3114506-silt loam-tall grass,13.9,0.6266768574714661,16.540200000000002,29.6076,-13.067399999999996,179.64388489208633,235.8446043165468,-56.20071942446043,89.60791366906474,0.0,447.4611510791367,469.2115107913669,5,4,0.01,0.0,,3,375,Tah_7670,silt_loam-tall_grass,375,Tah_7670,silt_loam-tall_grass,True
197,863,3120797-silt loam-tall grass,23.2,0.588244616985321,15.634899999999998,26.3714,-10.736500000000005,107.05689655172414,152.59224137931034,-45.5353448275862,89.34741379310344,0.0,438.0258620689655,468.2810344827586,5,4,0.01,0.0,,3,1849,Tah_7670,silt_loam-tall_grass,1849,Tah_7670,silt_loam-tall_grass,True
453,2053,3114506-silt loam-tall grass,10.9,0.5694862604141235,9.0921,15.9073,-6.815199999999999,144.72844036697248,197.3440366972477,-52.61559633027522,89.19357798165137,0.0,467.3651376146789,492.1853211009174,5,4,0.01,0.0,,3,253,Tah_7670,silt_loam-tall_grass,253,Tah_7670,silt_loam-tall_grass,True
769,3483,3120797-silt loam-tall grass,7.4,0.69482421875,7.4232,13.9667,-6.543500000000002,159.38108108108108,208.5608108108108,-49.17972972972973,88.96486486486486,0.0,517.0040540540541,545.7608108108108,5,4,0.01,0.0,,3,606,Tah_7670,silt_loam-tall_grass,606,Tah_7670,silt_loam-tall_grass,True
809,3663,3114506-silt loam-tall grass,7.3,0.6462218165397644,6.5698,11.7634,-5.193599999999999,138.53972602739725,184.3876712328767,-45.84794520547945,89.06027397260274,0.0,517.5260273972602,549.1452054794521,5,4,0.01,0.0,,3,650,Tah_7670,silt_loam-tall_grass,650,Tah_7670,silt_loam-tall_grass,True
246,1103,3120797-silt loam-tall grass,14.7,0.6388712525367737,6.4604,11.3057,-4.8453,82.86734693877551,120.8952380952381,-38.02789115646259,88.8047619047619,0.0,498.1721088435374,536.5904761904762,5,4,0.01,0.0,,3,24,Tah_7670,silt_loam-tall_grass,24,Tah_7670,silt_loam-tall_grass,True
526,2401,3114506-silt loam-tall grass,4.3,0.6423421204090118,5.3955,10.0911,-4.695600000000001,154.95348837209303,208.53953488372093,-53.5860465116279,89.71627906976744,0.0,458.4790697674418,482.57906976744187,5,4,0.01,0.0,,3,334,Tah_7670,silt_loam-tall_grass,334,Tah_7670,silt_loam-tall_grass,True
419,1891,3120797-silt loam-tall grass,4.4,0.6110677123069763,5.3188,9.6501,-4.3313,174.66590909090908,231.86818181818185,-57.20227272727274,89.49318181818182,0.0,433.4068181818182,453.9,5,4,0.01,0.0,,3,215,Tah_7670,silt_loam-tall_grass,215,Tah_7670,silt_loam-tall_grass,True
362,1641,3120797-silt loam-tall grass,4.3,0.6144220530986786,4.870399999999998,9.0537,-4.183300000000003,156.0790697674419,210.58837209302325,-54.50930232558139,89.7,0.0,427.66511627906976,450.4116279069767,5,4,0.01,0.0,,3,155,Tah_7670,silt_loam-tall_grass,155,Tah_7670,silt_loam-tall_grass,True
272,1223,3120797-silt loam-tall grass,4.5,0.6188076436519623,5.9169,9.9288,-4.011899999999999,153.7888888888889,207.68444444444444,-53.895555555555546,89.28,0.0,442.64222222222224,466.0022222222222,5,4,0.01,0.0,,3,53,Tah_7670,silt_loam-tall_grass,53,Tah_7670,silt_loam-tall_grass,True
854,3862,3114506-silt loam-tall grass,5.8,0.6312428116798401,6.3229,10.179799999999998,-3.856899999999999,145.51896551724138,193.90689655172412,-48.38793103448276,88.62931034482759,0.0,503.68793103448274,532.1706896551724,5,4,0.01,0.0,,3,699,Tah_7670,silt_loam-tall_grass,699,Tah_7670,silt_loam-tall_grass,True
207,911,3114468-silt loam-tall grass,5.4,0.4491983950138092,5.2045,9.0246,-3.820099999999999,141.3074074074074,196.20555555555555,-54.89814814814815,89.29444444444445,0.0,404.84814814814814,425.887037037037,5,4,0.01,0.0,,3,1889,Tah_7670,silt_loam-tall_grass,1889,Tah_7670,silt_loam-tall_grass,True
759,3441,3114506-silt loam-tall grass,4.4,0.6080973148345947,5.9088,9.5978,-3.688999999999999,174.2931818181818,230.1818181818182,-55.88863636363638,89.51818181818182,0.0,450.6795454545455,472.2977272727273,5,4,0.01,0.0,,3,596,Tah_7670,silt_loam-tall_grass,596,Tah_7670,silt_loam-tall_grass,True
338,1541,3120797-silt loam-tall grass,3.9,0.6350057125091553,4.4404,8.043800000000001,-3.6034000000000015,136.64871794871794,187.52820512820512,-50.87948717948717,88.61025641025641,0.0,424.38461538461536,449.6025641025641,5,4,0.01,0.0,,3,128,Tah_7670,silt_loam-tall_grass,128,Tah_7670,silt_loam-tall_grass,True
457,2071,3114506-silt loam-tall grass,4.3,0.6305164992809296,4.4009,7.977399999999999,-3.5765,155.53255813953487,209.70697674418605,-54.17441860465118,89.70930232558139,0.0,447.2488372093024,470.10697674418606,5,4,0.01,0.0,,3,257,Tah_7670,silt_loam-tall_grass,257,Tah_7670,silt_loam-tall_grass,True
673,3061,3114506-silt loam-tall grass,5.6,0.6630363464355469,5.296399999999999,8.6132,-3.316800000000001,117.56428571428572,162.61428571428573,-45.05000000000001,88.87142857142857,0.0,512.0214285714286,544.2875,5,4,0.01,0.0,,3,498,Tah_7670,silt_loam-tall_grass,498,Tah_7670,silt_loam-tall_grass,True
762,3451,3114506-silt loam-tall grass,3.9,0.6425936222076416,4.5459,7.5812,-3.0353000000000003,141.54871794871795,191.1897435897436,-49.64102564102564,88.5923076923077,0.0,493.4333333333333,520.6743589743589,5,4,0.01,0.0,,3,599,Tah_7670,silt_loam-tall_grass,599,Tah_7670,silt_loam-tall_grass,True
757,3423,3114506-silt loam-tall grass,12.8,0.6494342386722565,7.0078000000000005,9.7432,-2.7353999999999994,80.225,113.2109375,-32.985937500000006,87.35703125,0.0,589.54765625,633.565625,5,4,0.01,0.0,,3,593,Tah_7670,silt_loam-tall_grass,593,Tah_7670,silt_loam-tall_grass,True
889,4023,3114506-silt loam-tall grass,4.7,0.6022236943244934,4.7874,7.4467,-2.6593,164.35744680851064,216.5404255319149,-52.18297872340426,88.91702127659576,0.0,491.52978723404254,516.7702127659575,5,4,0.01,0.0,,3,738,Tah_7670,silt_loam-tall_grass,738,Tah_7670,silt_loam-tall_grass,True
1251,5733,3114490-silt loam-tall grass,20.0,0.5483811795711517,2.9603,4.8782,-1.9178999999999995,11.2225,51.718,-40.49550000000001,65.824,0.0,809.6165,819.567,4,3,0.01,0.0,,2,1147,Tah_7670,silt_loam-tall_grass,1147,Tah_7670,silt_loam-tall_grass,True
79,363,3120805-silt loam-tall grass,21.1,0.5904906988143921,5.714000000000001,7.5426,-1.828599999999999,30.303317535545023,41.19620853080568,-10.89289099526066,89.46255924170616,0.0,466.83649289099526,542.1454976303318,5,4,0.01,0.0,,3,641,Tah_7670,silt_loam-tall_grass,641,Tah_7670,silt_loam-tall_grass,True
914,4141,3114474-silt loam-tall grass,4.0,0.6307442486286163,1.273,2.8128,-1.5398000000000005,49.3825,114.0025,-64.62,88.395,0.0,589.8075,600.0275,5,4,0.01,0.0,,4,767,Tah_7670,silt_loam-tall_grass,767,Tah_7670,silt_loam-tall_grass,True
290,1312,3114490-silt loam-tall grass,8.3,0.6005041599273682,1.2079000000000002,2.6425,-1.4346,6.528915662650602,24.849397590361445,-18.320481927710844,65.8843373493976,0.0,656.1108433734939,686.1469879518072,4,3,0.01,0.0,,2,73,Tah_7670,silt_loam-tall_grass,73,Tah_7670,silt_loam-tall_grass,True
406,1831,3120491-silt loam-tall grass,4.4,0.5330001711845398,1.6438,2.9936,-1.3498,69.92045454545455,149.19772727272726,-79.27727272727272,89.49318181818182,0.0,561.0272727272727,554.6136363636364,5,4,0.01,0.0,,4,202,Tah_7670,silt_loam-tall_grass,202,Tah_7670,silt_loam-tall_grass,True
