year,julian,month,day_of_month,Suct_mean_mm,Saturation_mean,TSW_mean_mm
1980,3,1,3,4.608383838383831,0.7031313131313136,29.779494949494968
1980,7,1,7,5.725959595959594,0.6485858585858579,27.375454545454527
1980,8,1,8,6.107171717171722,0.6394949494949496,27.176969696969696
1980,9,1,9,6.128888888888881,0.6631313131313132,28.03282828282831
1980,10,1,10,5.381212121212128,0.6758585858585862,28.557878787878817
1980,11,1,11,4.998585858585863,0.6562626262626262,27.6971717171717
1980,12,1,12,5.611818181818187,0.6604040404040411,27.97444444444448
1980,13,1,13,5.469292929292927,0.6628282828282833,27.961515151515183
1980,14,1,14,5.38777777777778,0.6733333333333341,28.432727272727274
1980,16,1,16,4.791616161616159,0.6836363636363624,28.985757575757567
1980,17,1,17,4.916565656565655,0.6716161616161617,28.441616161616164
1980,20,1,20,1.6422222222222231,0.8237373737373741,34.842323232323224
1980,22,1,22,0.8229292929292956,0.8904040404040416,37.6111111111111
1980,23,1,23,0.7372727272727296,0.8850505050505048,37.54080808080806
1980,24,1,24,0.7231313131313153,0.8836363636363628,37.47343434343433
1980,25,1,25,0.793535353535356,0.9116161616161623,38.57272727272725
1980,26,1,26,0.34,0.9535353535353526,40.27202020202026
1980,27,1,27,0.34,0.938181818181817,39.694848484848485
1980,35,2,4,0.34,0.94121212121212,39.75444444444449
1980,41,2,10,0.34,0.9411111111111098,39.704646464646444
1980,42,2,11,0.34,0.941919191919191,39.98606060606057
1980,43,2,12,0.34,0.94121212121212,39.84929292929292
1980,44,2,13,0.34,0.9237373737373746,39.145959595959575
1980,45,2,14,0.34,0.9266666666666671,39.158686868686885
1980,46,2,15,0.34,0.9258585858585872,39.23818181818181
1980,47,2,16,0.34,0.934646464646466,39.66424242424242
1980,48,2,17,0.34,0.90939393939394,38.5981818181818
1980,50,2,19,0.34,0.8995959595959601,37.99848484848486
1980,51,2,20,0.34,0.8931313131313136,37.836464646464634
1980,52,2,21,0.34,0.8900000000000001,37.611515151515164
1980,54,2,23,0.34,0.9317171717171734,39.556666666666615
1980,57,2,26,0.34,0.921616161616163,39.076666666666675
1980,59,2,28,0.34,0.9314141414141434,39.36242424242423
1980,60,2,29,0.34,0.9314141414141434,39.43040404040406
1980,61,3,1,0.34,0.906868686868687,38.440606060606044
1980,62,3,2,0.34,0.9002020202020208,38.15070707070709
1980,70,3,10,0.34,0.9510101010101026,40.243434343434394
1980,73,3,13,0.34,0.9131313131313116,38.77414141414147
1980,75,3,15,0.34,0.9124242424242407,38.73616161616163
1980,232,8,19,8.464242424242423,0.3628282828282825,15.254747474747454
1980,287,10,13,8.08090909090909,0.41434343434343446,17.464444444444425
1980,294,10,20,7.952323232323234,0.4206060606060605,17.726060606060592
1980,304,10,30,7.857373737373739,0.4308080808080806,18.135656565656554
1980,313,11,8,7.779696969696973,0.4476767676767676,18.862424242424222
1980,319,11,14,7.485757575757578,0.46757575757575764,19.676262626262606
1980,328,11,23,7.37606060606061,0.48171717171717204,20.34929292929292
1980,329,11,24,7.3537373737373795,0.4802020202020204,20.281515151515144
1980,334,11,29,7.369292929292935,0.482626262626263,20.32050505050503
1980,342,12,7,5.875353535353539,0.627575757575758,26.54101010101012
1980,353,12,18,3.5246464646464606,0.7147474747474747,30.1979797979798
1980,357,12,22,3.483131313131308,0.6848484848484852,28.92171717171718
1980,358,12,23,3.5437373737373696,0.6694949494949498,28.25333333333335
1980,362,12,27,4.213434343434341,0.6290909090909097,26.558686868686877
1980,363,12,28,4.39353535353535,0.6223232323232328,26.328080808080813
1980,364,12,29,4.5591919191919175,0.6051515151515157,25.53575757575759
1982,3,1,3,3.2897979797979757,0.696161616161616,29.49434343434342
1982,7,1,7,1.8673737373737391,0.7587878787878787,32.125656565656556
1982,8,1,8,2.129191919191921,0.7787878787878793,33.01555555555556
1982,9,1,9,2.002222222222224,0.7935353535353531,33.511111111111106
1982,10,1,10,2.147878787878791,0.7647474747474745,32.39040404040404
1982,11,1,11,2.2326262626262645,0.8116161616161608,34.39989898989903
1982,12,1,12,2.2490909090909112,0.8172727272727265,34.65727272727271
1982,13,1,13,2.256363636363639,0.8037373737373731,34.07858585858584
1982,14,1,14,2.2624242424242453,0.8093939393939402,34.274242424242445
1982,16,1,16,2.272222222222225,0.8164646464646458,34.4270707070707
1982,17,1,17,2.2758585858585887,0.8097979797979798,34.32656565656566
1982,20,1,20,2.1612121212121242,0.8139393939393944,34.502727272727256
1982,22,1,22,1.6949494949494974,0.8089898989898989,34.28909090909091
1982,23,1,23,1.682525252525255,0.8741414141414153,36.90959595959597
1982,24,1,24,0.9941414141414164,0.8955555555555567,37.807878787878806
1982,25,1,25,0.8257575757575788,0.9116161616161627,38.572121212121246
1982,26,1,26,0.8315151515151546,0.9151515151515167,38.6914141414141
1982,27,1,27,0.831919191919195,0.9152525252525261,38.71232323232323
1982,35,2,4,0.8018181818181848,0.9188888888888894,39.00525252525256
1982,41,2,10,0.6971717171717201,0.9258585858585863,39.217676767676785
1982,42,2,11,0.6551515151515181,0.9121212121212109,38.544646464646455
1982,43,2,12,0.6833333333333362,0.9211111111111127,39.06454545454548
1982,44,2,13,0.7112121212121242,0.9009090909090927,38.20686868686868
1982,45,2,14,0.7293939393939425,0.8988888888888905,38.104040404040376
1982,46,2,15,0.7327272727272758,0.8909090909090913,37.66525252525251
1982,47,2,16,0.7315151515151546,0.8746464646464647,36.95404040404039
1982,48,2,17,0.7315151515151546,0.8924242424242439,37.64232323232325
1982,50,2,19,0.7587878787878817,0.8699999999999986,36.912121212121185
1982,51,2,20,0.7956565656565686,0.8751515151515163,37.12717171717175
1982,52,2,21,0.8328282828282857,0.8726262626262641,37.02525252525249
1982,54,2,23,0.9096969696969726,0.8843434343434334,37.3462626262626
1982,57,2,26,0.9830303030303058,0.8791919191919184,37.06828282828281
1982,59,2,28,1.0578787878787907,0.8655555555555569,36.70444444444443
1982,60,3,1,1.1033333333333362,0.8790909090909085,37.193030303030305
1982,61,3,2,0.9963636363636391,0.8634343434343427,36.52464646464647
1982,62,3,3,0.975555555555558,0.8633333333333346,36.42434343434342
1982,70,3,11,1.2200000000000024,0.8582828282828273,36.28737373737374
1982,73,3,14,1.1463636363636391,0.7869696969696963,33.28070707070707
1982,75,3,16,1.0827272727272752,0.7818181818181817,33.11242424242423
1982,232,8,20,8.336868686868684,0.3611111111111108,15.226565656565638
1982,287,10,14,7.667474747474752,0.4026262626262624,16.9581818181818
1982,294,10,21,7.511111111111114,0.42212121212121234,17.80090909090907
1982,304,10,31,7.040404040404038,0.4206060606060603,17.724848484848472
1982,313,11,9,7.134040404040407,0.4770707070707074,20.121010101010114
1982,319,11,15,3.2658585858585854,0.725353535353536,30.569595959595976
1982,328,11,24,2.814343434343436,0.7823232323232328,33.05404040404044
1982,329,11,25,2.434343434343437,0.7867676767676759,33.197474747474764
1982,334,11,30,2.1576767676767705,0.7742424242424244,32.735050505050516
1982,342,12,8,0.34,0.9511111111111127,40.380606060606034
1982,353,12,19,0.34,0.9587878787878774,40.53676767676771
1982,357,12,23,0.34,0.9306060606060621,39.33363636363636
1982,358,12,24,0.34,0.9510101010101026,40.23303030303026
1982,362,12,28,0.34,0.9625252525252515,40.87131313131311
1982,363,12,29,0.34,0.9540404040404049,40.35969696969694
1982,364,12,30,0.34,0.952323232323233,40.430404040404085
1983,3,1,3,0.34,0.9510101010101026,40.27202020202015
1983,7,1,7,0.34,0.9509090909090925,40.236868686868725
1983,8,1,8,0.34,0.9410101010100999,39.78878787878782
1983,9,1,9,0.34,0.930101010101012,39.28585858585865
1983,10,1,10,0.34,0.9279797979797998,39.164949494949525
1983,11,1,11,0.34,0.9178787878787894,38.953737373737404
1983,12,1,12,0.34,0.9249494949494966,39.14545454545451
1983,13,1,13,0.33797979797979805,0.9332323232323217,39.48686868686869
1983,14,1,14,0.34393939393939404,0.932222222222221,39.52313131313128
1983,16,1,16,0.3668686868686872,0.9402020202020216,39.78171717171722
1983,17,1,17,0.3718181818181822,0.9485858585858574,39.991111111111145
