landuse_group,series,rank,peakro_area_weighted_mean
shrub,undisturbed:shrub:undisturbed,1,17273.103280165407
shrub,undisturbed:shrub:undisturbed,2,4833.560592724382
shrub,undisturbed:shrub:undisturbed,5,1.1197732375000018
shrub,undisturbed:shrub:undisturbed,10,0.9977038531250018
shrub,undisturbed:shrub:undisturbed,25,0.7654374375000013
shrub,undisturbed:shrub:undisturbed,50,0.4211295191875008
shrub,undisturbed:shrub:undisturbed,100,0.10825898618750023
shrub,burned:shrub:low,1,138764.87427674004
shrub,burned:shrub:low,2,131528.70843366196
shrub,burned:shrub:low,5,55482.27579440001
shrub,burned:shrub:low,10,21311.989242657997
shrub,burned:shrub:low,25,0.7161366860000004
shrub,burned:shrub:low,50,0.5279132800000002
shrub,burned:shrub:low,100,0.3053713732
shrub,burned:shrub:moderate,1,307660.18014174496
shrub,burned:shrub:moderate,2,261567.5781141195
shrub,burned:shrub:moderate,5,219597.69775293593
shrub,burned:shrub:moderate,10,127337.21207383336
shrub,burned:shrub:moderate,25,1.063229872727271
shrub,burned:shrub:moderate,50,0.5289508981818171
shrub,burned:shrub:moderate,100,0.2610679489999996
