kslast_mm_h,upper_ksat_mm_h,minimum_ksat_mm_h,anisotropy,kcb,precip_mm,surface_runoff_mm,lateral_flow_mm,total_runoff_mm,target_error_mm,transpiration_mm,soil_evaporation_mm,total_et_mm,deep_percolation_printed_mm,end_soil_water_mm
0.6,35.00,32.40,1,0.85,342.90,10.85800,0.28,11.13800,4.93800,222.66,47.44,270.10,101.12,118.57
0.6,35.00,32.40,1,0.9,342.90,10.64410,0.26,10.90410,4.70410,225.69,48.65,274.34,97.14,118.24
0.6,35.00,32.40,1,0.95,342.90,10.76284,0.23,10.99284,4.79284,228.54,49.50,278.04,93.50,117.92
0.6,35.00,32.40,1,1,342.90,10.27264,0.21,10.48264,4.28264,231.20,50.28,281.48,90.52,117.60
0.6,35.00,32.40,1,1.05,342.90,9.94665,0.19,10.13665,3.93665,233.98,50.98,284.96,87.43,117.28
0.6,35.00,32.40,1,1.1,342.90,9.65523,0.18,9.83523,3.63523,236.67,51.67,288.34,84.31,116.95
0.6,35.00,32.40,1,1.15,342.90,9.40597,0.17,9.57597,3.37597,239.30,52.43,291.73,81.20,116.63
0.6,35.00,32.40,1,1.2,342.90,9.19074,0.16,9.35074,3.15074,242.02,53.21,295.23,78.05,116.31
0.6,35.00,32.40,2,0.85,342.90,10.78149,0.54,11.32149,5.12149,222.64,47.42,270.06,100.93,118.57
0.6,35.00,32.40,2,0.9,342.90,10.56781,0.47,11.03781,4.83781,225.66,48.65,274.31,97.00,118.24
0.6,35.00,32.40,2,0.95,342.90,10.68688,0.44,11.12688,4.92688,228.51,49.49,278.00,93.34,117.92
0.6,35.00,32.40,2,1,342.90,10.19710,0.42,10.61710,4.41710,231.17,50.26,281.43,90.36,117.60
0.6,35.00,32.40,2,1.05,342.90,9.88022,0.37,10.25022,4.05022,233.97,50.98,284.95,87.28,117.28
0.6,35.00,32.40,2,1.1,342.90,9.58899,0.35,9.93899,3.73899,236.64,51.67,288.31,84.20,116.95
0.6,35.00,32.40,2,1.15,342.90,9.33992,0.34,9.67992,3.47992,239.29,52.42,291.71,81.07,116.63
0.6,35.00,32.40,2,1.2,342.90,9.12487,0.30,9.42487,3.22487,242.01,53.21,295.22,77.95,116.31
0.6,35.00,32.40,3,0.85,342.90,10.70498,0.81,11.51498,5.31498,222.61,47.42,270.03,100.75,118.57
0.6,35.00,32.40,3,0.9,342.90,10.49155,0.72,11.21155,5.01155,225.63,48.65,274.28,96.85,118.24
0.6,35.00,32.40,3,0.95,342.90,10.61094,0.64,11.25094,5.05094,228.49,49.49,277.98,93.20,117.92
0.6,35.00,32.40,3,1,342.90,10.12157,0.63,10.75157,4.55157,231.16,50.25,281.41,90.23,117.60
0.6,35.00,32.40,3,1.05,342.90,9.81379,0.57,10.38379,4.18379,233.95,50.97,284.92,87.19,117.28
0.6,35.00,32.40,3,1.1,342.90,9.52275,0.54,10.06275,3.86275,236.62,51.66,288.28,84.11,116.95
0.6,35.00,32.40,3,1.15,342.90,9.27388,0.51,9.78388,3.58388,239.26,52.42,291.68,80.99,116.63
0.6,35.00,32.40,3,1.2,342.90,9.05899,0.45,9.50899,3.30899,241.97,53.21,295.18,77.86,116.31
0.6,35.00,32.40,5,0.85,342.90,10.55195,1.33,11.88195,5.68195,222.56,47.40,269.96,100.38,118.57
0.6,35.00,32.40,5,0.9,342.90,10.33906,1.19,11.52906,5.32906,225.60,48.62,274.22,96.50,118.24
0.6,35.00,32.40,5,0.95,342.90,10.45913,1.08,11.53913,5.33913,228.45,49.49,277.94,92.93,117.92
0.6,35.00,32.40,5,1,342.90,9.97058,1.04,11.01058,4.81058,231.11,50.24,281.35,89.97,117.60
0.6,35.00,32.40,5,1.05,342.90,9.68092,0.95,10.63092,4.43092,233.92,50.96,284.88,86.90,117.28
0.6,35.00,32.40,5,1.1,342.90,9.39028,0.90,10.29028,4.09028,236.59,51.66,288.25,83.84,116.95
