kslast_mm_h,ksat_multiplier,upper_ksat_mm_h,minimum_ksat_mm_h,anisotropy,precip_mm,surface_runoff_mm,lateral_flow_mm,total_runoff_mm,target_error_mm,transpiration_mm,soil_evaporation_mm,total_et_mm,deep_percolation_printed_mm,end_soil_water_mm
0.6,0.25,8.75,8.10,0.1,342.90,25.32326,0.00,25.32326,19.12326,231.34,49.85,281.19,83.07,114.33
0.6,0.25,8.75,8.10,0.3,342.90,25.32326,0.00,25.32326,19.12326,231.34,49.85,281.19,83.07,114.33
0.6,0.25,8.75,8.10,1,342.90,25.32325,0.01,25.33325,19.13325,231.34,49.85,281.19,83.06,114.33
0.6,0.25,8.75,8.10,3,342.90,25.32325,0.07,25.39325,19.19325,231.34,49.83,281.17,83.01,114.33
0.6,0.25,8.75,8.10,10,342.90,25.32325,0.20,25.52325,19.32325,231.33,49.83,281.16,82.86,114.33
0.6,0.25,8.75,8.10,30,342.90,25.32323,0.60,25.92323,19.72323,231.28,49.83,281.11,82.36,114.33
0.6,0.5,17.50,16.20,0.1,342.90,14.58970,0.00,14.58970,8.38970,229.02,49.49,278.51,90.40,117.73
0.6,0.5,17.50,16.20,0.3,342.90,14.58211,0.02,14.60211,8.40211,229.02,49.49,278.51,90.40,117.73
0.6,0.5,17.50,16.20,1,342.90,14.55555,0.09,14.64555,8.44555,229.02,49.49,278.51,90.35,117.73
0.6,0.5,17.50,16.20,3,342.90,14.47968,0.27,14.74968,8.54968,229.00,49.49,278.49,90.24,117.73
0.6,0.5,17.50,16.20,10,342.90,14.21429,0.89,15.10429,8.90429,228.93,49.49,278.42,89.81,117.73
0.6,0.5,17.50,16.20,30,342.90,13.45729,2.56,16.01729,9.81729,228.76,49.46,278.22,88.83,117.73
0.6,1,35.00,32.40,0.1,342.90,10.83121,0.02,10.85121,4.65121,228.58,49.51,278.09,93.63,117.92
0.6,1,35.00,32.40,0.3,342.90,10.81602,0.06,10.87602,4.67602,228.58,49.51,278.09,93.59,117.92
0.6,1,35.00,32.40,1,342.90,10.76284,0.23,10.99284,4.79284,228.54,49.50,278.04,93.50,117.92
0.6,1,35.00,32.40,3,342.90,10.61094,0.64,11.25094,5.05094,228.49,49.49,277.98,93.20,117.92
0.6,1,35.00,32.40,10,342.90,10.07995,2.08,12.15995,5.95995,228.34,49.47,277.81,92.27,117.92
0.6,1,35.00,32.40,30,342.90,8.56702,5.80,14.36702,8.16702,227.98,49.37,277.35,90.06,117.92
0.6,1.5,52.50,48.60,0.1,342.90,10.27645,0.04,10.31645,4.11645,228.58,49.51,278.09,94.15,117.92
0.6,1.5,52.50,48.60,0.3,342.90,10.25367,0.09,10.34367,4.14367,228.58,49.51,278.09,94.10,117.92
0.6,1.5,52.50,48.60,1,342.90,10.17399,0.35,10.52399,4.32399,228.54,49.50,278.04,93.94,117.92
0.6,1.5,52.50,48.60,3,342.90,9.94642,1.01,10.95642,4.75642,228.46,49.49,277.95,93.51,117.92
0.6,1.5,52.50,48.60,10,342.90,9.15126,3.21,12.36126,6.16126,228.24,49.45,277.69,92.09,117.92
0.6,1.5,52.50,48.60,30,342.90,6.89064,8.39,15.28064,9.08064,227.81,49.32,277.13,89.16,117.92
0.6,2,70.00,64.80,0.1,342.90,10.27265,0.05,10.32265,4.12265,228.58,49.51,278.09,94.13,117.92
0.6,2,70.00,64.80,0.3,342.90,10.24229,0.14,10.38229,4.18229,228.55,49.51,278.06,94.08,117.92
0.6,2,70.00,64.80,1,342.90,10.13605,0.45,10.58605,4.38605,228.53,49.49,278.02,93.88,117.92
0.6,2,70.00,64.80,3,342.90,9.83270,1.35,11.18270,4.98270,228.43,49.48,277.91,93.26,117.92
0.6,2,70.00,64.80,10,342.90,8.77333,4.22,12.99333,6.79333,228.15,49.41,277.56,91.45,117.92
0.6,2,70.00,64.80,30,342.90,5.76659,10.86,16.62659,10.42659,227.63,49.29,276.92,87.83,117.92
0.6,3,105.00,97.20,0.1,342.90,10.26506,0.06,10.32506,4.12506,228.58,49.51,278.09,94.13,117.92
0.6,3,105.00,97.20,0.3,342.90,10.21952,0.22,10.43952,4.23952,228.55,49.51,278.06,94.04,117.92
0.6,3,105.00,97.20,1,342.90,10.06018,0.68,10.74018,4.54018,228.49,49.49,277.98,93.72,117.92
0.6,3,105.00,97.20,3,342.90,9.60539,1.94,11.54539,5.34539,228.37,49.48,277.85,92.93,117.92
0.6,3,105.00,97.20,10,342.90,8.01886,6.00,14.01887,7.81887,227.98,49.37,277.35,90.42,117.92
0.6,3,105.00,97.20,30,342.90,3.54076,14.80,18.34076,12.14076,227.41,49.25,276.66,86.22,117.92
0.6,5,175.00,162.00,0.1,342.90,10.24988,0.12,10.36988,4.16988,228.58,49.51,278.09,94.08,117.92
0.6,5,175.00,162.00,0.3,342.90,10.17399,0.35,10.52399,4.32399,228.54,49.50,278.04,93.94,117.92
0.6,5,175.00,162.00,1,342.90,9.90851,1.12,11.02851,4.82851,228.45,49.49,277.94,93.45,117.92
0.6,5,175.00,162.00,3,342.90,9.15126,3.21,12.36126,6.16126,228.24,49.45,277.69,92.09,117.92
0.6,5,175.00,162.00,10,342.90,6.51550,9.23,15.74550,9.54550,227.74,49.31,277.05,88.71,117.92
0.6,5,175.00,162.00,30,342.90,0.00000,20.96,20.96000,14.76000,227.07,49.12,276.19,83.64,117.92
