kslast_mm_h,anisotropy,precip_mm,surface_runoff_mm,lateral_flow_mm,total_runoff_mm,target_error_mm,transpiration_mm,soil_evaporation_mm,residue_evaporation_mm,total_et_mm,deep_percolation_printed_mm,end_soil_water_mm
0.00011,0.1,342.90,65.88785,12.10,77.98785,71.78785,321.78,55.94,0.00,377.72,0.00,117.92
0.00011,0.3,342.90,51.77620,32.47,84.24620,78.04620,316.00,53.91,0.00,369.91,0.00,117.92
0.00011,1,342.90,22.24565,75.36,97.60565,91.40565,300.19,51.44,0.00,351.63,0.00,117.92
0.00011,3,342.90,10.15387,109.76,119.91387,113.71387,268.19,49.13,0.00,317.32,0.00,117.92
0.00011,10,342.90,9.73850,105.92,115.65850,109.45850,246.45,48.97,0.00,295.42,0.00,117.92
0.00011,30,342.90,8.28681,89.94,98.22681,92.02681,242.70,48.74,0.00,291.44,0.00,117.92
0.001,0.1,342.90,63.48798,11.95,75.43798,69.23798,320.84,55.70,0.00,376.54,2.98,117.92
0.001,0.3,342.90,50.12204,31.88,82.00204,75.80204,315.07,53.42,0.00,368.49,2.94,117.92
0.001,1,342.90,21.10575,74.02,95.12575,88.92575,299.48,51.43,0.00,350.91,2.60,117.92
0.001,3,342.90,10.15687,108.00,118.15687,111.95687,267.28,49.13,0.00,316.41,2.12,117.92
0.001,10,342.90,9.74686,104.53,114.27686,108.07686,245.56,48.97,0.00,294.53,1.93,117.92
0.001,30,342.90,8.30598,89.15,97.45598,91.25598,241.37,48.75,0.00,290.12,1.91,117.92
0.003,0.1,342.90,58.46353,11.50,69.96353,63.76353,318.77,54.89,0.00,373.66,10.36,117.92
0.003,0.3,342.90,46.06637,30.40,76.46637,70.26637,313.03,52.69,0.00,365.72,10.29,117.92
0.003,1,342.90,18.62921,70.98,89.60921,83.40921,297.82,51.39,0.00,349.21,8.98,117.92
0.003,3,342.90,10.16402,104.08,114.24402,108.04402,265.37,49.15,0.00,314.52,7.32,117.92
0.003,10,342.90,9.77567,101.65,111.42567,105.22567,243.46,48.97,0.00,292.43,6.68,117.92
0.003,30,342.90,8.34733,87.38,95.72733,89.52733,238.59,48.76,0.00,287.35,6.46,117.92
0.01,0.1,342.90,40.73730,9.63,50.36730,44.16730,311.56,52.82,0.00,364.38,35.04,117.92
0.01,0.3,342.90,31.06901,25.80,56.86901,50.66901,306.21,52.55,0.00,358.76,32.85,117.92
0.01,1,342.90,10.42488,61.30,71.72488,65.52488,292.54,51.15,0.00,343.69,28.83,117.92
0.01,3,342.90,10.19875,91.41,101.60875,95.40875,258.32,49.16,0.00,307.48,24.11,117.92
0.01,10,342.90,9.86308,92.44,102.30308,96.10308,236.94,48.99,0.00,285.93,20.84,117.92
0.01,30,342.90,8.44527,81.88,90.32527,84.12527,232.25,48.77,0.00,281.02,17.95,117.92
0.03,0.1,342.90,10.80242,5.72,16.52242,10.32242,289.75,50.33,0.00,340.08,83.98,117.92
0.03,0.3,342.90,10.68694,15.48,26.16694,19.96694,282.82,49.87,0.00,332.69,80.71,117.92
0.03,1,342.90,10.54414,38.19,48.73414,42.53414,264.34,49.35,0.00,313.69,73.43,117.92
0.03,3,342.90,10.36983,64.24,74.60983,68.40983,244.34,49.23,0.00,293.57,58.55,117.92
0.03,10,342.90,10.04486,70.73,80.77486,74.57486,230.51,49.06,0.00,279.57,45.33,117.92
0.03,30,342.90,8.45643,67.82,76.27643,70.07643,228.21,48.85,0.00,277.06,35.56,117.92
0.1,0.1,342.90,10.83716,1.19,12.02716,5.82716,233.92,49.49,0.00,283.41,130.58,117.92
0.1,0.3,342.90,10.82176,3.38,14.20176,8.00176,233.61,49.48,0.00,283.09,127.89,117.92
0.1,1,342.90,10.76787,9.64,20.40787,14.20787,232.64,49.47,0.00,282.11,119.93,117.92
0.1,3,342.90,10.61423,20.57,31.18423,24.98423,230.64,49.37,0.00,280.01,104.32,117.92
0.1,10,342.90,10.07338,31.42,41.49338,35.29338,228.25,49.23,0.00,277.48,79.57,117.92
0.1,30,342.90,8.55359,41.41,49.96359,43.76359,227.10,49.02,0.00,276.12,60.24,117.92
0.3,0.1,342.90,10.83121,0.08,10.91121,4.71121,228.68,49.51,0.00,278.19,97.39,117.92
0.3,0.3,342.90,10.81601,0.20,11.01601,4.81601,228.66,49.51,0.00,278.17,97.15,117.92
0.3,1,342.90,10.76283,0.61,11.37283,5.17283,228.61,49.49,0.00,278.10,96.32,117.92
0.3,3,342.90,10.61094,1.77,12.38094,6.18094,228.46,49.48,0.00,277.94,94.39,117.92
0.3,10,342.90,10.07992,5.10,15.17992,8.97992,228.11,49.40,0.00,277.51,90.17,117.92
0.3,30,342.90,8.56692,11.48,20.04692,13.84692,227.53,49.29,0.00,276.82,84.63,117.92
0.6,0.1,342.90,10.83121,0.02,10.85121,4.65121,228.58,49.51,0.00,278.09,93.63,117.92
0.6,0.3,342.90,10.81602,0.06,10.87602,4.67602,228.58,49.51,0.00,278.09,93.59,117.92
0.6,1,342.90,10.76284,0.23,10.99284,4.79284,228.54,49.50,0.00,278.04,93.50,117.92
0.6,3,342.90,10.61094,0.64,11.25094,5.05094,228.49,49.49,0.00,277.98,93.20,117.92
0.6,10,342.90,10.07995,2.08,12.15995,5.95995,228.34,49.47,0.00,277.81,92.27,117.92
0.6,30,342.90,8.56702,5.80,14.36702,8.16702,227.98,49.37,0.00,277.35,90.06,117.92
1,0.1,342.90,10.83121,0.02,10.85121,4.65121,228.58,49.51,0.00,278.09,93.63,117.92
1,0.3,342.90,10.81602,0.06,10.87602,4.67602,228.58,49.51,0.00,278.09,93.59,117.92
1,1,342.90,10.76284,0.23,10.99284,4.79284,228.54,49.50,0.00,278.04,93.50,117.92
1,3,342.90,10.61094,0.64,11.25094,5.05094,228.49,49.49,0.00,277.98,93.20,117.92
1,10,342.90,10.07995,2.08,12.15995,5.95995,228.34,49.47,0.00,277.81,92.27,117.92
1,30,342.90,8.56702,5.80,14.36702,8.16702,227.98,49.37,0.00,277.35,90.06,117.92
3,0.1,342.90,10.83121,0.02,10.85121,4.65121,228.58,49.51,0.00,278.09,93.63,117.92
3,0.3,342.90,10.81602,0.06,10.87602,4.67602,228.58,49.51,0.00,278.09,93.59,117.92
3,1,342.90,10.76284,0.23,10.99284,4.79284,228.54,49.50,0.00,278.04,93.50,117.92
3,3,342.90,10.61094,0.64,11.25094,5.05094,228.49,49.49,0.00,277.98,93.20,117.92
3,10,342.90,10.07995,2.08,12.15995,5.95995,228.34,49.47,0.00,277.81,92.27,117.92
3,30,342.90,8.56702,5.80,14.36702,8.16702,227.98,49.37,0.00,277.35,90.06,117.92
