 EVENT OUTPUT
day mo  year Precp  Runoff  IR-det Av-det Mx-det  Point  Av-dep Max-dep  Point Sed.Del    ER
--- --  ----  (mm)    (mm)  kg/m^2 kg/m^2 kg/m^2    (m)  kg/m^2  kg/m^2    (m)  (kg/m)  ----
    9    1     1  76.0    32.9   0.000   0.06   0.10  111.4    0.00    0.00    0.0     5.9  1.00
   10    1     1  34.9    15.3   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.9  1.00
   11    1     1  41.6    17.8   0.000   0.03   0.06  111.4    0.00    0.00    0.0     3.3  1.00
   28    1     1  68.1     9.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.4  1.00
   29    1     1  41.1    18.6   0.000   0.02   0.03  111.4    0.00    0.00    0.0     0.4  1.00
   13    2     1  66.0     5.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   14    2     1  82.4    60.4   0.000   0.07   0.11  111.4    0.00    0.00    0.0     7.9  1.00
   15    2     1 115.7    89.3   0.000   0.10   0.15  111.4    0.00    0.00    0.0    10.6  1.00
   16    2     1  54.3    35.7   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.7  1.00
   17    2     1  54.8    40.3   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.2  1.00
   18    2     1  55.1    40.4   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.5  1.00
   19    2     1  20.2     6.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   20    2     1  18.7     3.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    2    3     1  64.1     5.5   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.0  1.00
    3    3     1  21.4     0.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   28    1     2  57.1    22.1   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.5  1.00
   29    1     2  18.9     0.2   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00
    1    3     2  50.1     5.0   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.4  1.00
    5    3     2  33.8     5.5   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.1  1.00
   27   11     2  59.1    10.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.5  1.00
   28   11     2  17.0     0.8   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.1  1.00
   16    3     3  52.8    10.7   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.8  1.00
   17    3     3  36.6    16.5   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.7  1.00
    1    4     3  23.4     0.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    9   11     3  98.9    32.6   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.1  1.00
   29   11     3  30.6     0.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   30   11     3  79.2    41.4   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.3  1.00
   22   12     3  67.2    25.1   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.3  1.00
   22    1     4  81.8    38.7   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.8  1.00
   23    1     4  38.6    14.4   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.3  1.00
   24    1     4  40.6    19.3   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.2  1.00
   27    1     4  87.4    57.8   0.000   0.10   0.16  111.4    0.00    0.00    0.0    10.5  1.00
   28    1     4  14.1     0.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   29    1     4  49.0    32.8   0.000   0.06   0.11  111.4    0.00    0.00    0.0     5.9  1.00
   26    2     4  47.3     1.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   27    2     4  25.8     4.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   28    2     4  61.4    33.6   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.2  1.00
    1    3     4 133.8   117.2   0.000   0.16   0.25  111.4    0.00    0.00    0.0    17.1  1.00
    2    3     4  46.6    32.3   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.5  1.00
   24    3     4  48.9     2.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   24   12     4  52.0     1.3   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.1  1.00
   25   12     4  58.0    36.8   0.000   0.06   0.10  111.4    0.00    0.00    0.0     6.7  1.00
   23   11     5  26.8     0.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   18   12     5  24.4     0.5   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.1  1.00
   24   11     6  56.7    20.2   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.4  1.00
   25   11     6  46.4    15.0   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.2  1.00
   30    1     7  67.4    20.5   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.3  1.00
   13    2     7  57.1    14.3   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.4  1.00
   14    2     7  64.7    40.3   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.5  1.00
   15    2     7  64.7    42.2   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.5  1.00
   16    3     7  18.9     0.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   31   10     8  75.7    27.4   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.2  1.00
    4   11     8  25.8     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   17    1     9  70.7    13.3   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.0  1.00
   20    4     9  20.1     0.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    8    2    10  48.6     0.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   16    2    11  79.4    19.7   0.000   0.03   0.04  111.4    0.00    0.00    0.0     3.0  1.00
   17    2    11  63.2    41.8   0.000   0.08   0.13  111.4    0.00    0.00    0.0     7.9  1.00
   27    2    12  68.3    21.7   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.6  1.00
   28    2    12  68.0    45.9   0.000   0.06   0.10  111.4    0.00    0.00    0.0     7.0  1.00
    1    3    12  22.7     0.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   19    3    12  40.1    11.9   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.1  1.00
   25    3    12  45.3     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   26    3    12  28.6     5.9   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.1  1.00
   27    3    12  23.6     8.5   0.000   0.01   0.03  111.4    0.00    0.00    0.0     1.2  1.00
   28   12    12 117.4    74.9   0.000   0.10   0.16  111.4    0.00    0.00    0.0    10.9  1.00
   29   12    12  37.6    16.3   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.0  1.00
    6    2    13  53.3     2.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   10    2    13  90.0    61.9   0.000   0.07   0.12  111.4    0.00    0.00    0.0     8.1  1.00
   11    2    13  68.0    53.7   0.000   0.07   0.10  111.4    0.00    0.00    0.0     7.2  1.00
   12    2    13  45.5    31.3   0.000   0.06   0.10  111.4    0.00    0.00    0.0     5.9  1.00
    2    3    13  72.5    19.4   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.6  1.00
   20    3    13  61.8     4.9   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.9  1.00
   21    3    13  30.1     9.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.5  1.00
    6   12    13  66.9     7.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    7   12    13  90.3    69.2   0.000   0.11   0.18  111.4    0.00    0.00    0.0    11.8  1.00
   28   12    13  41.4     3.0   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.6  1.00
   29   12    13  26.0     5.4   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.0  1.00
    6    1    14  84.1    30.4   0.000   0.06   0.10  111.4    0.00    0.00    0.0     5.7  1.00
    7    1    14  58.4    33.0   0.000   0.04   0.06  111.4    0.00    0.00    0.0     3.9  1.00
   11    1    14  37.2     3.6   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.7  1.00
   12    1    14  47.7    33.5   0.000   0.06   0.11  111.4    0.00    0.00    0.0     5.6  1.00
   13    1    14  44.1    29.6   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.4  1.00
   14    1    14  79.5    65.2   0.000   0.08   0.13  111.4    0.00    0.00    0.0     9.0  1.00
   15    1    14  22.7     8.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   16    1    14  47.4    33.4   0.000   0.06   0.11  111.4    0.00    0.00    0.0     6.0  1.00
   17    1    14  59.9    45.8   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.3  1.00
   18    1    14  15.8     2.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    8    2    14  64.2    30.2   0.000   0.05   0.07  111.4    0.00    0.00    0.0     5.0  1.00
   17    2    14  68.8     9.4   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.2  1.00
   18    2    14  45.3    21.1   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.5  1.00
   19    2    14  24.5     1.6   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.2  1.00
   25    3    14  71.2     8.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   26    3    14  25.7     5.9   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00
    3    1    16 160.9   102.2   0.000   0.09   0.15  111.4    0.00    0.00    0.0    10.4  1.00
    4    1    16  38.8    17.3   0.000   0.02   0.05  111.4    0.00    0.00    0.0     1.8  1.00
    7    1    16  74.7    37.9   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.0  1.00
    8    1    16  28.8    14.6   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.3  1.00
    9    1    16  92.1    78.0   0.000   0.10   0.16  111.4    0.00    0.00    0.0    11.2  1.00
   10    1    16 136.4   121.9   0.000   0.17   0.27  111.4    0.00    0.00    0.0    18.3  1.00
   11    1    16  21.9     7.9   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.7  1.00
   23    1    16  65.1    18.9   0.000   0.02   0.05  111.4    0.00    0.00    0.0     1.8  1.00
   24    1    16  94.1    66.9   0.000   0.09   0.15  111.4    0.00    0.00    0.0    10.2  1.00
   25    1    16  21.9     6.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   14    2    16  28.3     3.8   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.7  1.00
    5    3    16  48.4     9.6   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.6  1.00
   10    3    16  74.3    23.7   0.000   0.03   0.07  111.4    0.00    0.00    0.0     2.8  1.00
   11    3    16  48.9    30.5   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.4  1.00
   31    1    17  59.9     2.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   19    2    17  99.3    36.9   0.000   0.05   0.11  111.4    0.00    0.00    0.0     4.5  1.00
   20    2    17 103.4    81.5   0.000   0.10   0.15  111.4    0.00    0.00    0.0    10.6  1.00
   29   10    17  42.2     1.5   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.1  1.00
   30   10    17  26.9     2.1   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.3  1.00
   21   11    17  49.5     1.0   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.1  1.00
    9   12    17  39.4    11.8   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.0  1.00
   10   12    17  32.8     7.6   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.3  1.00
   11   12    17  29.0     7.1   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.7  1.00
   25    1    18  34.1     5.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.0  1.00
    6   12    18  43.9    15.4   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.5  1.00
