 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1 1980    0.000    0.000   0.000   0.000   0.000 0.000  20.000 157.172   0.199  0.065   27.000   55.000   55.000    0.022  0.160  0.111  0.013  2.000  0.150    0.000
  1  9  1 1980   76.000   32.914   0.000   4.636   7.100 1.001  20.000 208.151   0.199  0.065   27.000   55.000   55.000    0.022  0.160  0.111  0.013  2.000  0.150    5.879
  1 10  1 1980   34.900   15.327  25.341  58.561   0.262 1.001  20.000 223.916   0.199  0.065   27.000   55.000   55.000    0.022  0.160  0.111  0.013  2.000  0.206    1.860
  1 11  1 1980   41.600   17.838   0.000   6.607   2.700 1.001  20.000 239.708   0.199  0.065   27.000   55.000   55.000    0.022  0.160  0.111  0.013  2.000  0.206    3.310
  1 15  1 1980    8.900    0.000   0.000   0.000   0.000 0.000  20.000 230.834   0.199  0.065   27.000   55.000   55.000    0.022  0.160  0.111  0.013  2.000  0.206    0.000
  1 28  1 1980   68.100    9.312   0.000   1.757   5.300 1.001  20.000 216.998   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.206    0.402
  1 29  1 1980   41.100   18.615   0.000   1.466  12.700 1.001  20.000 232.884   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.206    0.370
  1  1  2 1980    0.000    0.000   0.000   0.000   0.000 0.000  20.000 203.585   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.206    0.000
  1 13  2 1980   66.000    5.687  27.459   1.034   5.500 1.001  20.000 212.298   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.206    0.000
  1 14  2 1980   82.400   60.398  39.233  47.928   1.260 1.001  20.000 228.629   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.206    7.899
  1 15  2 1980  115.700   89.270  47.392  63.953   1.396 1.001  20.000 245.108   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.211   10.640
  1 16  2 1980   54.300   35.721  29.810  49.008   0.729 1.001  20.000 249.628   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.211    4.705
  1 17  2 1980   54.800   40.267  30.444  30.235   1.332 1.001  20.000 249.631   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.211    6.199
  1 18  2 1980   55.100   40.416  25.784  44.128   0.916 1.001  20.000 249.617   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.211    5.522
  1 19  2 1980   20.200    6.289   0.000   0.925   6.800 1.001  20.000 248.649   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.211    0.000
  1 20  2 1980   18.700    3.887   0.000   0.845   4.600 1.001  20.000 248.640   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.211    0.000
  1  1  3 1980    7.300    0.000   0.000   0.000   0.000 0.000  20.000 171.114   0.199  0.065   27.000   55.001   55.001    0.022  0.160  0.111  0.013  2.000  0.211    0.000
