lane,year,julian,ofe,ofe_error_mm,hillslope_error_mm
source_wepp1,1987,44,1,7.105427357601002e-15,-180.31779000000003
source_wepp1,1987,44,2,2.4868995751603507e-14,-180.31779000000003
source_wepp1,1987,44,3,0.019999999999992468,-180.31779000000003
source_wepp1,1987,44,4,0.009999999999891429,-180.31779000000003
source_wepp1,1987,44,5,0.010000000000012221,-180.31779000000003
source_wepp1,1987,44,6,5.684341886080802e-14,-180.31779000000003
source_wepp1,1987,44,7,0.020000000000024443,-180.31779000000003
source_wepp1,1987,44,8,-2.842170943040401e-14,-180.31779000000003
source_wepp1,1987,44,9,0.0005600000000214322,-180.31779000000003
source_wepp1,1987,44,10,0.010679999999950951,-180.31779000000003
source_wepp1,1987,44,11,0.007810000000020523,-180.31779000000003
source_wepp1,1987,44,12,0.000950000000003115,-180.31779000000003
source_wepp1,1987,44,13,-0.0049700000000427735,-180.31779000000003
source_wepp1,1987,44,14,0.007979999999975007,-180.31779000000003
source_wepp1,1987,44,15,0.016079999999959682,-180.31779000000003
source_wepp1,1987,44,16,0.013119999999958054,-180.31779000000003
source_wepp1,1987,44,17,0.009899999999987585,-180.31779000000003
source_wepp1,1987,44,18,0.019100000000094042,-180.31779000000003
source_wepp1,1987,44,19,-180.45899999999995,-180.31779000000003
C000_baseline,1987,44,1,7.105427357601002e-15,-180.31779000000003
C000_baseline,1987,44,2,2.4868995751603507e-14,-180.31779000000003
C000_baseline,1987,44,3,0.019999999999992468,-180.31779000000003
C000_baseline,1987,44,4,0.009999999999891429,-180.31779000000003
C000_baseline,1987,44,5,0.010000000000012221,-180.31779000000003
C000_baseline,1987,44,6,5.684341886080802e-14,-180.31779000000003
C000_baseline,1987,44,7,0.020000000000024443,-180.31779000000003
C000_baseline,1987,44,8,-2.842170943040401e-14,-180.31779000000003
C000_baseline,1987,44,9,0.0005600000000214322,-180.31779000000003
C000_baseline,1987,44,10,0.010679999999950951,-180.31779000000003
C000_baseline,1987,44,11,0.007780000000011,-180.31779000000003
C000_baseline,1987,44,12,0.0009800000000126374,-180.31779000000003
C000_baseline,1987,44,13,-0.0049700000000427735,-180.31779000000003
C000_baseline,1987,44,14,0.007979999999975007,-180.31779000000003
C000_baseline,1987,44,15,0.016079999999959682,-180.31779000000003
C000_baseline,1987,44,16,0.013119999999958054,-180.31779000000003
C000_baseline,1987,44,17,0.009899999999987585,-180.31779000000003
C000_baseline,1987,44,18,0.019100000000094042,-180.31779000000003
C000_baseline,1987,44,19,-180.45899999999995,-180.31779000000003
C010_dcc52a6,1987,44,1,7.105427357601002e-15,0.12129999999987007
C010_dcc52a6,1987,44,2,2.4868995751603507e-14,0.12129999999987007
C010_dcc52a6,1987,44,3,0.010000000000001563,0.12129999999987007
C010_dcc52a6,1987,44,4,0.009999999999891429,0.12129999999987007
C010_dcc52a6,1987,44,5,0.010000000000012221,0.12129999999987007
C010_dcc52a6,1987,44,6,5.684341886080802e-14,0.12129999999987007
C010_dcc52a6,1987,44,7,0.020000000000024443,0.12129999999987007
C010_dcc52a6,1987,44,8,-2.842170943040401e-14,0.12129999999987007
C010_dcc52a6,1987,44,9,-0.000279999999975189,0.12129999999987007
C010_dcc52a6,1987,44,10,0.010609999999957154,0.12129999999987007
C010_dcc52a6,1987,44,11,0.007509999999996353,0.12129999999987007
C010_dcc52a6,1987,44,12,0.0021600000000177033,0.12129999999987007
C010_dcc52a6,1987,44,13,-0.00014999999999076863,0.12129999999987007
C010_dcc52a6,1987,44,14,0.005639999999971224,0.12129999999987007
C010_dcc52a6,1987,44,15,0.01599999999996271,0.12129999999987007
C010_dcc52a6,1987,44,16,0.01310999999995488,0.12129999999987007
C010_dcc52a6,1987,44,17,0.004899999999992133,0.12129999999987007
C010_dcc52a6,1987,44,18,0.014099999999984902,0.12129999999987007
C010_dcc52a6,1987,44,19,-0.002299999999991087,0.12129999999987007
C020_winbootstrap,1987,44,1,7.105427357601002e-15,0.1361899999996936
C020_winbootstrap,1987,44,2,2.4868995751603507e-14,0.1361899999996936
C020_winbootstrap,1987,44,3,0.019999999999992468,0.1361899999996936
C020_winbootstrap,1987,44,4,0.009999999999891429,0.1361899999996936
C020_winbootstrap,1987,44,5,0.010000000000012221,0.1361899999996936
C020_winbootstrap,1987,44,6,5.684341886080802e-14,0.1361899999996936
C020_winbootstrap,1987,44,7,0.020000000000024443,0.1361899999996936
C020_winbootstrap,1987,44,8,-2.842170943040401e-14,0.1361899999996936
C020_winbootstrap,1987,44,9,0.0005600000000214322,0.1361899999996936
C020_winbootstrap,1987,44,10,0.010679999999950951,0.1361899999996936
C020_winbootstrap,1987,44,11,0.006390000000024543,0.1361899999996936
C020_winbootstrap,1987,44,12,0.0023699999999706733,0.1361899999996936
C020_winbootstrap,1987,44,13,0.0013599999999627244,0.1361899999996936
C020_winbootstrap,1987,44,14,0.011419999999958463,0.1361899999996936
C020_winbootstrap,1987,44,15,0.016079999999959682,0.1361899999996936
C020_winbootstrap,1987,44,16,0.013129999999961228,0.1361899999996936
C020_winbootstrap,1987,44,17,0.012999999999976808,0.1361899999996936
C020_winbootstrap,1987,44,18,0.00909999999998945,0.1361899999996936
C020_winbootstrap,1987,44,19,-0.0079000000000633,0.1361899999996936
