rule_id,threshold_name,perturbation,jaccard_with_baseline,stability
D1,d1_magnitude,-25%,0.541667,unstable
D1,d1_magnitude,-10%,0.684211,unstable
D1,d1_magnitude,+10%,0.846154,stable
D1,d1_magnitude,+25%,0.538462,unstable
D2a,d2a_chain_p99,-25%,1.0,stable
D2a,d2a_chain_p99,-10%,1.0,stable
D2a,d2a_chain_p99,+10%,1.0,stable
D2a,d2a_chain_p99,+25%,1.0,stable
D2b,d2b_runoff_mismatch,-25%,0.980198,stable
D2b,d2b_runoff_mismatch,-10%,1.0,stable
D2b,d2b_runoff_mismatch,+10%,0.989899,stable
D2b,d2b_runoff_mismatch,+25%,0.979798,stable
D3,d3_porosity_fraction,-25%,0.583333,unstable
D3,d3_porosity_fraction,-10%,0.7,stable
D3,d3_porosity_fraction,+10%,0.0,unstable
D3,d3_porosity_fraction,+25%,0.0,unstable
D4,d4_magnitude,-25%,0.333333,unstable
D4,d4_magnitude,-10%,0.666667,unstable
D4,d4_magnitude,+10%,0.5,unstable
D4,d4_magnitude,+25%,0.5,unstable
D5,d5_day_lower,-25%,1.0,stable
D5,d5_day_lower,-10%,1.0,stable
D5,d5_day_lower,+10%,1.0,stable
D5,d5_day_lower,+25%,1.0,stable
D6a,d6a_magnitude_lower,-25%,1.0,stable
D6a,d6a_magnitude_lower,-10%,1.0,stable
D6a,d6a_magnitude_lower,+10%,1.0,stable
D6a,d6a_magnitude_lower,+25%,1.0,stable
D6b,d6b_magnitude_lower,-25%,1.0,stable
D6b,d6b_magnitude_lower,-10%,1.0,stable
D6b,d6b_magnitude_lower,+10%,1.0,stable
D6b,d6b_magnitude_lower,+25%,1.0,stable
D6c,d6c_day_lower,-25%,0.666667,unstable
D6c,d6c_day_lower,-10%,0.857143,stable
D6c,d6c_day_lower,+10%,1.0,stable
D6c,d6c_day_lower,+25%,1.0,stable
D6c,d6c_magnitude_lower,-25%,1.0,stable
D6c,d6c_magnitude_lower,-10%,1.0,stable
D6c,d6c_magnitude_lower,+10%,1.0,stable
D6c,d6c_magnitude_lower,+25%,0.833333,stable
