site,outlet,policy,support_mode,outside_area_range,duration_min,scenario,F,T,reference_S,ssurgo_S,rainfall_mm,reference_probability,ssurgo_probability,delta_probability_pp,reference_threshold_mm,ssurgo_threshold_mm,delta_threshold_mm,delta_threshold_mm_hour,delta_threshold_pct
moscow_mountain,terminal,strict_soil,common_support,False,15,inverse_p0.5,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,,0.5,,,7.066640710011194,6.953145559990289,-0.11349515002090538,-0.4539806000836215,-1.6060693429640338
moscow_mountain,terminal,strict_soil,common_support,False,15,inverse_p0.75,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,,0.75,,,9.159227859235086,9.012124308535691,-0.14710355069939496,-0.5884142027975798,-1.6060693429640227
moscow_mountain,terminal,strict_soil,common_support,False,15,fixed_5,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,5.0,0.25256279993359626,0.2607367662585699,0.8173966324973636,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,15,fixed_10,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,10.0,0.8234675285159582,0.8355817303568325,1.2114201840874306,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,15,fixed_20,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,20.0,0.9988763386477565,0.9990531561918564,0.017681754409992756,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,15,reference_p0.5,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,7.066640710011194,0.5,0.5151348181374897,1.5134818137489736,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,15,reference_p0.75,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,9.159227859235086,0.75,0.7644264336568674,1.4426433656867355,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,30,inverse_p0.5,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,,0.5,,,10.48280965952239,10.295886226530252,-0.18692343299213832,-0.37384686598427663,-1.7831424881624258
moscow_mountain,terminal,strict_soil,common_support,False,30,inverse_p0.75,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,,0.75,,,13.52147549374932,13.280368319193807,-0.24110717455551267,-0.48221434911102534,-1.7831424881624147
moscow_mountain,terminal,strict_soil,common_support,False,30,fixed_5,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,5.0,0.12107615389111094,0.1246123529648449,0.3536199073733953,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,30,fixed_10,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,10.0,0.4564712022400143,0.4727973516231867,1.6326149383172395,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,30,fixed_20,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,20.0,0.9689581716137733,0.9726727604746115,0.3714588860838197,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,30,reference_p0.5,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,10.48280965952239,0.5,0.5171952276842346,1.7195227684234649,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,30,reference_p0.75,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,13.52147549374932,0.75,0.7662696110360513,1.626961103605129,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,60,inverse_p0.5,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,,0.5,,,17.97905755952135,17.677586707754735,-0.3014708517666165,-0.3014708517666165,-1.6767889571996153
moscow_mountain,terminal,strict_soil,common_support,False,60,inverse_p0.75,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,,0.75,,,23.687732002747197,23.290538728314093,-0.3971932744331035,-0.3971932744331035,-1.6767889571996153
moscow_mountain,terminal,strict_soil,common_support,False,60,fixed_5,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,5.0,0.07601470395676838,0.07717531458993242,0.11606106331640414,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,60,fixed_10,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,10.0,0.17718474875397774,0.182020306068652,0.4835557314674249,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,60,fixed_20,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,20.0,0.5960232973405293,0.6117232179409793,1.5699920600450001,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,60,reference_p0.5,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,17.97905755952135,0.5,0.5147472986866776,1.4747298686677568,,,,,
moscow_mountain,terminal,strict_soil,common_support,False,60,reference_p0.75,0.5,0.2621137469542248,0.5875011263092204,0.6057341637073171,23.687732002747197,0.75,0.7642916395223444,1.4291639522344357,,,,,
moscow_mountain,terminal,strict_soil,known_support,False,15,inverse_p0.5,0.5,0.2621137469542248,0.586955503302172,0.6057341637073171,,0.5,,,7.07009417321222,6.953145559990289,-0.11694861322193084,-0.46779445288772337,-1.65413091193376
