"model","assessment_id","attempt_id","view","selected_window_minutes","min_probability","year_filter","sort","descending","offset","limit","intensity_unit","rainfall_unit","event_id","date_label","date_semantics","return_interval_years","duration_minutes","peak_intensity","window_rainfall","total_event_rainfall","probability","target_probability","reason"
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:397","Simulation 2 / 2 / 2","simulation_labels",,30,0.02602494911812343,0.013012474559061715,0.05905515,0.02961973280420017,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:398","Simulation 2 / 2 / 3","simulation_labels",,30,0.16328289835307228,0.08164144917653614,0.30314977,0.0545581042896529,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:406","Simulation 2 / 2 / 11","simulation_labels",,30,0.17110212236286929,0.08555106118143464,0.40551203,0.056460025021652475,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:408","Simulation 2 / 2 / 13","simulation_labels",,30,0.31903356896551743,0.15951678448275872,0.55511841,0.1062414810666244,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:409","Simulation 2 / 2 / 14","simulation_labels",,30,0.04263004458598741,0.021315022292993705,0.13385834,0.031916306007240595,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:420","Simulation 2 / 2 / 25","simulation_labels",,30,0.040653907608695646,0.020326953804347823,0.07480318999999999,0.03163421659595574,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:422","Simulation 2 / 2 / 27","simulation_labels",,30,0.06510016535433083,0.032550082677165415,0.16535442,0.035299709677962685,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:423","Simulation 2 / 2 / 28","simulation_labels",,30,0.055364203125,0.0276821015625,0.07086618,0.03379325924770078,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:424","Simulation 2 / 3 / 1","simulation_labels",,30,0.0037614745222930056,0.0018807372611465028,0.011811029999999998,0.026790626030686226,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:440","Simulation 2 / 3 / 17","simulation_labels",,30,0.2492381608793713,0.12461908043968566,0.32677183,0.07917833655091416,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:443","Simulation 2 / 3 / 20","simulation_labels",,30,0.17868023838010752,0.08934011919005376,0.22047255999999998,0.058362639540939676,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:444","Simulation 2 / 3 / 21","simulation_labels",,30,0.0028460313253012137,0.0014230156626506068,0.011811029999999998,0.02668010242519542,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:447","Simulation 2 / 3 / 24","simulation_labels",,30,0.11787756092929262,0.05893878046464631,0.1574804,0.044656900559104734,,
