event_id,row_ordinal,year,month,day_of_month,sim_day_index,precipitation_mm,date_status,duration_minutes,intensity_mm_per_hour,rainfall_mm,probability,status,reason,date,source
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15186,15186,2021.0,7.0,30.0,15187.0,17.0,calendar,15,37.38158341438613,9.345395853596532,0.7099071740889858,available,,2021-07-30,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15186,15186,2021.0,7.0,30.0,15187.0,17.0,calendar,30,25.89643567599753,12.948217837998765,0.6509334134797293,available,,2021-07-30,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15186,15186,2021.0,7.0,30.0,15187.0,17.0,calendar,60,13.961163378499073,13.961163378499073,0.28574715288183233,available,,2021-07-30,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15187,15187,2021.0,7.0,31.0,15188.0,13.2,calendar,15,24.752922425115713,6.188230606278928,0.34056972785871026,available,,2021-07-31,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15187,15187,2021.0,7.0,31.0,15188.0,13.2,calendar,30,20.214179771731352,10.107089885865676,0.41454743258290233,available,,2021-07-31,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15187,15187,2021.0,7.0,31.0,15188.0,13.2,calendar,60,12.040158707199627,12.040158707199627,0.21991584133058487,available,,2021-07-31,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15188,15188,2021.0,8.0,1.0,15189.0,11.7,calendar,15,11.872013378525713,2.9680033446314282,0.09556362517219383,available,,2021-08-01,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15188,15188,2021.0,8.0,1.0,15189.0,11.7,calendar,30,11.749647569769225,5.8748237848846125,0.14335712903907968,available,,2021-08-01,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15188,15188,2021.0,8.0,1.0,15189.0,11.7,calendar,60,7.5881109069773744,7.5881109069773744,0.1113162038610435,available,,2021-08-01,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15189,15189,2021.0,8.0,2.0,15190.0,8.1,calendar,15,14.138446321450036,3.534611580362509,0.12256900539002354,available,,2021-08-02,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15189,15189,2021.0,8.0,2.0,15190.0,8.1,calendar,30,12.407071310387412,6.203535655193706,0.1576727078418943,available,,2021-08-02,Daymet
217dfdb9a5062492bc85d6907032f05679dde27d3758b10b4859bdd9457d50aa:15189,15189,2021.0,8.0,2.0,15190.0,8.1,calendar,60,8.1,8.1,0.12088297503023995,available,,2021-08-02,Daymet
59cdde438ef650dd150abf8219b867cd531b8ab781679c9bd1e0fd4124a6a189:15186,15186,2021.0,7.0,30.0,15187.0,11.4,calendar,15,10.36363636363637,2.5909090909090926,0.0806659890470863,available,,2021-07-30,GridMET
59cdde438ef650dd150abf8219b867cd531b8ab781679c9bd1e0fd4124a6a189:15186,15186,2021.0,7.0,30.0,15187.0,11.4,calendar,30,10.363636363636365,5.1818181818181825,0.1167184398627319,available,,2021-07-30,GridMET
59cdde438ef650dd150abf8219b867cd531b8ab781679c9bd1e0fd4124a6a189:15186,15186,2021.0,7.0,30.0,15187.0,11.4,calendar,60,10.363636363636363,10.363636363636363,0.17198317520525036,available,,2021-07-30,GridMET
59cdde438ef650dd150abf8219b867cd531b8ab781679c9bd1e0fd4124a6a189:15187,15187,2021.0,7.0,31.0,15188.0,7.1,calendar,15,9.837867806297972,2.459466951574493,0.07599145389876913,available,,2021-07-31,GridMET
59cdde438ef650dd150abf8219b867cd531b8ab781679c9bd1e0fd4124a6a189:15187,15187,2021.0,7.0,31.0,15188.0,7.1,calendar,30,8.4068017091902,4.2034008545951,0.08648303122584315,available,,2021-07-31,GridMET
59cdde438ef650dd150abf8219b867cd531b8ab781679c9bd1e0fd4124a6a189:15187,15187,2021.0,7.0,31.0,15188.0,7.1,calendar,60,5.972889151182085,5.972889151182085,0.0853581224081607,available,,2021-07-31,GridMET
59cdde438ef650dd150abf8219b867cd531b8ab781679c9bd1e0fd4124a6a189:15188,15188,2021.0,8.0,1.0,15189.0,22.9,calendar,15,14.466822145575172,3.616705536393793,0.1269862571360797,available,,2021-08-01,GridMET
59cdde438ef650dd150abf8219b867cd531b8ab781679c9bd1e0fd4124a6a189:15188,15188,2021.0,8.0,1.0,15189.0,22.9,calendar,30,14.135530101462628,7.067765050731314,0.20083372705821792,available,,2021-08-01,GridMET
