key,value,units,scenario
Total contributing area to outlet,1810.92,ha,undisturbed
Avg. Ann. Precipitation volume in contributing area,32733947.0,m^3/yr,undisturbed
Avg. Ann. irrigation volume in contributing area,0.0,m^3/yr,undisturbed
Avg. Ann. water discharge from outlet,20069265.0,m^3/yr,undisturbed
Avg. Ann. total hillslope soil loss,1005970.9,tonne/yr,undisturbed
Avg. Ann. total channel soil loss,227.6,tonne/yr,undisturbed
Avg. Ann. sediment discharge from outlet,306.3,tonne/yr,undisturbed
Avg. Ann. Sed. delivery per unit area of watershed,0.2,tonne/ha/yr,undisturbed
Sediment Delivery Ratio for Watershed,0.0,"",undisturbed
Avg. Ann. Phosphorus discharge from outlet,0.0,kg/yr,undisturbed
Avg. Ann. P. delivery per unit area of watershed,0.0,kg/ha/yr,undisturbed
Total contributing area to outlet,1810.92,ha,uniform_low
Avg. Ann. Precipitation volume in contributing area,32733947.0,m^3/yr,uniform_low
Avg. Ann. irrigation volume in contributing area,0.0,m^3/yr,uniform_low
Avg. Ann. water discharge from outlet,20046158.0,m^3/yr,uniform_low
Avg. Ann. total hillslope soil loss,121.6,tonne/yr,uniform_low
Avg. Ann. total channel soil loss,234.4,tonne/yr,uniform_low
Avg. Ann. sediment discharge from outlet,237.3,tonne/yr,uniform_low
Avg. Ann. Sed. delivery per unit area of watershed,0.1,tonne/ha/yr,uniform_low
Sediment Delivery Ratio for Watershed,0.667,"",uniform_low
Avg. Ann. Phosphorus discharge from outlet,0.0,kg/yr,uniform_low
Avg. Ann. P. delivery per unit area of watershed,0.0,kg/ha/yr,uniform_low
Total contributing area to outlet,1810.92,ha,uniform_moderate
Avg. Ann. Precipitation volume in contributing area,32733947.0,m^3/yr,uniform_moderate
Avg. Ann. irrigation volume in contributing area,0.0,m^3/yr,uniform_moderate
Avg. Ann. water discharge from outlet,20046158.0,m^3/yr,uniform_moderate
Avg. Ann. total hillslope soil loss,121.6,tonne/yr,uniform_moderate
Avg. Ann. total channel soil loss,234.4,tonne/yr,uniform_moderate
Avg. Ann. sediment discharge from outlet,237.3,tonne/yr,uniform_moderate
