station,epoch,month,station_mm,gridmet_mm,bias_pct
CENMET,after,1,425.11,375.0,-11.787537343275856
CENMET,after,2,453.39,260.0,-42.654227045148765
CENMET,after,3,398.77000000000004,449.6,12.746696090478205
CENMET,after,4,123.59,113.3,-8.325916336273165
CENMET,after,5,151.08,142.5,-5.67911040508341
CENMET,after,6,84.31,73.6,-12.703119440161315
CENMET,after,7,2.7,2.6999999999999997,-1.1102230246251565e-14
CENMET,after,8,46.11,32.699999999999996,-29.08262849707223
CENMET,after,9,72.08,87.0,20.699223085460595
CENMET,after,10,324.62,340.4,4.861068326042739
CENMET,after,11,603.27,554.8,-8.034545062741394
CENMET,after,12,1037.03,984.4,-5.075070152261752
CENMET,before,1,6314.62,5274.8,-16.46686578131383
CENMET,before,2,4494.91,4272.6,-4.9458164902077995
CENMET,before,3,5880.29,5412.2,-7.960321684814864
CENMET,before,4,3923.47,3680.2,-6.200378746364821
CENMET,before,5,2861.89,2311.5,-19.23169653620509
CENMET,before,6,1825.04,1440.9,-21.048305790558008
CENMET,before,7,286.2,184.5,-35.53459119496855
CENMET,before,8,368.02,325.3,-11.608064779088089
CENMET,before,9,1605.81,1265.5,-21.192420024784997
CENMET,before,10,3663.07,3273.5,-10.635068398911296
CENMET,before,11,6182.25,5753.5,-6.935177322172348
CENMET,before,12,7939.55,7500.1,-5.534948454257482
PRIMET,after,1,695.635,493.2,-29.100749674757598
PRIMET,after,2,604.238,384.5,-36.36613387440049
PRIMET,after,3,645.717,598.6,-7.296849858374488
PRIMET,after,4,267.923,234.1,-12.62414947578222
PRIMET,after,5,199.478,183.7,-7.909644171287066
PRIMET,after,6,139.79,103.0,-26.31804850132341
PRIMET,after,7,1.248,2.6999999999999997,116.34615384615384
PRIMET,after,8,51.594,42.2,-18.207543512811565
PRIMET,after,9,135.122,145.0,7.310430573851767
PRIMET,after,10,582.537,490.3,-15.8336723675921
PRIMET,after,11,819.538,741.8,-9.485588221656593
PRIMET,after,12,1502.479,1257.9,-16.278363957166786
PRIMET,before,1,12000.116,10215.9,-14.868322939544921
PRIMET,before,2,8810.48,8476.3,-3.792982902180131
PRIMET,before,3,9059.206,8924.5,-1.4869515054630633
PRIMET,before,4,7421.97,7039.0,-5.15995079473509
PRIMET,before,5,4776.898,4423.2,-7.404344827961584
PRIMET,before,6,2550.13,2531.4,-0.7344723602326186
PRIMET,before,7,502.004,599.2,19.361598712360873
PRIMET,before,8,696.024,868.0,24.7083433904578
PRIMET,before,9,2447.16,2217.2,-9.39701531571291
PRIMET,before,10,5821.542,5569.4,-4.331189227871257
PRIMET,before,11,11839.166,11268.0,-4.824376987365486
PRIMET,before,12,12588.326,11968.5,-4.923815922784325
UPLMET,after,1,643.65,481.2,-25.23887205779538
UPLMET,after,2,551.92,301.4,-45.39063632410494
UPLMET,after,3,530.48,457.6,-13.738500980244305
UPLMET,after,4,216.45000000000002,135.8,-37.26033726033726
UPLMET,after,5,189.46,116.3,-38.615011084133855
UPLMET,after,6,76.7,37.8,-50.71707953063886
UPLMET,after,7,1.75,0.4,-77.14285714285714
UPLMET,after,8,44.97,37.3,-17.055814987769622
UPLMET,after,9,74.52000000000001,91.3,22.517444981213085
UPLMET,after,10,518.95,350.3,-32.498313903073516
UPLMET,after,11,700.1,605.7,-13.483788030281385
UPLMET,after,12,1235.6200000000001,969.0,-21.577831372104693
UPLMET,before,1,9409.95,6513.8,-30.777528042125624
UPLMET,before,2,6937.34,5332.4,-23.13480382970995
UPLMET,before,3,8349.82,6230.1,-25.386415515544037
UPLMET,before,4,6616.99,4682.5,-29.235196063466915
UPLMET,before,5,4595.9800000000005,3079.7,-32.99144034569343
UPLMET,before,6,2877.04,1730.6,-39.847899229763925
UPLMET,before,7,503.51,258.9,-48.580961649222466
UPLMET,before,8,721.41,553.6,-23.261390887290155
UPLMET,before,9,2658.11,1685.2,-36.60157028866375
UPLMET,before,10,6118.07,4310.1,-29.55131275058964
UPLMET,before,11,9337.48,7342.9,-21.361009608588187
UPLMET,before,12,10339.83,8487.1,-17.918379702567645
VARMET,after,1,294.66,378.9,28.588882101404998
VARMET,after,2,419.52,285.3,-31.9937070938215
VARMET,after,3,410.3,427.6,4.216427004630763
VARMET,after,4,170.01,139.3,-18.0636433150991
VARMET,after,5,198.09,141.9,-28.365894290474024
VARMET,after,6,31.460000000000004,38.0,20.78830260648441
VARMET,after,7,4.5,2.6999999999999997,-40.0
VARMET,after,8,37.980000000000004,25.5,-32.85939968404424
VARMET,after,9,44.91,59.9,33.37786684480073
VARMET,after,10,326.7,304.6,-6.764615855524935
VARMET,after,11,501.35,543.1,8.327515707589516
VARMET,after,12,1105.58,1015.0,-8.192984677725711
VARMET,before,1,6843.12,5769.1,-15.694887712037776
VARMET,before,2,4381.71,3866.3,-11.762759288040513
VARMET,before,3,5266.72,4961.3,-5.799055199441017
VARMET,before,4,3864.99,3581.1,-7.345167775337059
VARMET,before,5,2818.65,2214.4,-21.43756762989374
VARMET,before,6,1868.29,1299.5,-30.44441708728303
VARMET,before,7,396.03,213.8,-46.01419084412797
VARMET,before,8,551.02,462.8,-16.010308155783814
VARMET,before,9,1687.15,1230.8,-27.048573037370716
VARMET,before,10,3924.02,3274.5,-16.552413086579577
VARMET,before,11,6635.93,6481.9,-2.3211516697735024
VARMET,before,12,7684.52,7597.0,-1.1389130355571986
