start,end,station,valid_days,days,station_mm,forcing_mm
2023-12-01,2023-12-05,CENMET,4,5,185.31,189.51937670386377
2023-12-01,2023-12-05,PRIMET,5,5,284.892,205.9659029254677
2023-12-01,2023-12-05,UPLMET,4,5,294.53000000000003,203.08750348450334
2023-12-01,2023-12-05,VARMET,3,5,164.94,186.6409772628994
2024-01-15,2024-01-20,CENMET,5,6,97.10000000000001,80.53705785175131
2024-01-15,2024-01-20,PRIMET,1,6,9.778,8.128704562149975
2024-01-15,2024-01-20,UPLMET,4,6,102.00000000000001,80.22419201073792
2024-01-15,2024-01-20,VARMET,5,6,0.30000000000000004,44.43557174965024
2025-02-20,2025-02-25,CENMET,5,6,119.29999999999998,55.26502604532569
2025-02-20,2025-02-25,PRIMET,6,6,143.591,68.95015331651412
2025-02-20,2025-02-25,UPLMET,5,6,134.4,55.26502604532569
2025-02-20,2025-02-25,VARMET,5,6,139.0,55.26502604532569
2025-12-16,2025-12-21,CENMET,4,6,208.51000000000005,198.05600475965932
2025-12-16,2025-12-21,PRIMET,6,6,220.51400000000004,220.7687263094998
2025-12-16,2025-12-21,UPLMET,5,6,197.39,191.57898343507037
2025-12-16,2025-12-21,VARMET,5,6,223.9,191.57898343507037
