Date,Streamflow (mm)
01/01/1986,6.89852886
01/02/1986,6.31058606
01/03/1986,6.62415555
01/04/1986,5.68344707
01/05/1986,6.19299750
01/06/1986,7.01611742
01/07/1986,5.87942800
01/08/1986,5.72264326
01/09/1986,8.97592675
01/10/1986,8.54476870
01/11/1986,7.01611742
01/12/1986,5.91862419
01/13/1986,5.40907376
01/14/1986,5.01711190
01/15/1986,5.21309283
01/16/1986,11.64126745
01/17/1986,14.89455094
01/18/1986,11.28850177
01/19/1986,10.93573609
01/20/1986,9.64226193
01/21/1986,7.83923734
01/22/1986,9.87743905
01/23/1986,14.93374713
01/24/1986,12.54277974
01/25/1986,9.64226193
01/26/1986,7.68245259
01/27/1986,7.13370598
01/28/1986,7.44727547
01/29/1986,7.44727547
01/30/1986,7.91762971
01/31/1986,7.01611742
02/01/1986,6.66335174
02/02/1986,6.27138987
02/03/1986,6.07540894
02/04/1986,5.87942800
02/05/1986,5.76183944
02/06/1986,5.40907376
02/07/1986,4.97791571
02/08/1986,4.54675766
02/09/1986,4.11559960
02/10/1986,3.80203011
02/11/1986,3.59429032
02/12/1986,3.99801104
02/13/1986,6.38897843
02/14/1986,8.81914200
02/15/1986,10.66136278
02/16/1986,24.92877473
02/17/1986,43.11580536
02/18/1986,26.22224889
02/19/1986,16.34480985
02/20/1986,12.34679881
02/21/1986,16.18802510
02/22/1986,66.63351737
02/23/1986,82.31199204
02/24/1986,41.15599602
02/25/1986,26.06546415
02/26/1986,21.12674462
02/27/1986,16.61918316
02/28/1986,12.85634923
03/01/1986,9.79904667
03/02/1986,6.66335174
03/03/1986,5.87942800
03/04/1986,5.09550427
03/05/1986,4.70354240
03/06/1986,4.70354240
03/07/1986,8.62316107
03/08/1986,8.23119920
03/09/1986,7.83923734
03/10/1986,7.05531360
03/11/1986,7.44727547
03/12/1986,7.83923734
03/13/1986,7.05531360
03/14/1986,6.27138987
03/15/1986,5.48746614
03/16/1986,4.70354240
03/17/1986,4.31158054
03/18/1986,3.91961867
03/19/1986,3.52765680
03/20/1986,3.52765680
03/21/1986,3.72363774
03/22/1986,3.91961867
03/23/1986,5.87942800
03/24/1986,8.62316107
03/25/1986,7.05531360
03/26/1986,6.27138987
03/27/1986,5.48746614
03/28/1986,4.70354240
03/29/1986,4.31158054
03/30/1986,3.91961867
03/31/1986,3.52765680
04/01/1986,3.33167587
04/02/1986,3.13569494
04/03/1986,2.98674943
04/04/1986,2.87700010
04/05/1986,2.68493879
04/06/1986,2.52031480
04/07/1986,2.39880663
04/08/1986,2.33217311
04/09/1986,2.28121807
04/10/1986,2.18322760
04/11/1986,2.13227256
04/12/1986,2.32825349
04/13/1986,2.43800281
04/14/1986,2.32825349
04/15/1986,2.41056548
04/16/1986,3.01810637
04/17/1986,3.66484346
04/18/1986,3.68052193
04/19/1986,3.58253146
04/20/1986,3.91961867
04/21/1986,4.11559960
04/22/1986,3.78635163
04/23/1986,3.26504235
04/24/1986,2.93971400
04/25/1986,3.24936388
04/26/1986,3.43750557
04/27/1986,9.25030006
04/28/1986,10.19100854
04/29/1986,7.95682590
04/30/1986,6.74174411
05/01/1986,6.07540894
05/02/1986,6.46737080
05/03/1986,6.58495936
05/04/1986,5.91862419
05/05/1986,6.89852886
05/06/1986,6.62415555
05/07/1986,5.91862419
05/08/1986,5.29148520
05/09/1986,4.78193478
05/10/1986,4.82113096
05/11/1986,4.93871952
05/12/1986,4.89952334
05/13/1986,5.44826995
05/14/1986,5.17389664
05/15/1986,4.58595384
05/16/1986,4.15479579
05/17/1986,3.84122630
05/18/1986,3.59820994
05/19/1986,3.32775625
05/20/1986,3.48062138
05/21/1986,3.60604918
05/22/1986,3.53549604
05/23/1986,3.27288159
05/24/1986,2.99850828
05/25/1986,2.79076849
05/26/1986,2.62222489
05/27/1986,2.44976167
05/28/1986,2.28513768
05/29/1986,2.16754912
05/30/1986,2.04212133
05/31/1986,1.92061315
06/01/1986,1.81086382
06/02/1986,1.74423031
06/03/1986,1.65799870
06/04/1986,1.58744556
06/05/1986,1.51297281
06/06/1986,1.47377662
06/07/1986,1.42282158
06/08/1986,1.38362539
06/09/1986,1.31699187
06/10/1986,1.26995645
06/11/1986,1.21116217
06/12/1986,1.15628751
06/13/1986,1.11317170
06/14/1986,1.10141285
06/15/1986,1.10533246
06/16/1986,1.06613628
06/17/1986,1.08181475
06/18/1986,1.24643874
06/19/1986,1.11317170
06/20/1986,1.03085971
06/21/1986,0.96814581
06/22/1986,0.93678886
06/23/1986,0.90935153
06/24/1986,0.88191420
06/25/1986,0.85055725
06/26/1986,0.83095916
06/27/1986,0.80744145
06/28/1986,0.78392373
06/29/1986,0.79176297
06/30/1986,0.77608450
07/01/1986,0.76432564
07/02/1986,0.76432564
07/03/1986,0.76824526
07/04/1986,1.27387607
07/05/1986,0.98382429
07/06/1986,0.82703954
07/07/1986,0.77608450
07/08/1986,0.74472755
07/09/1986,0.72512945
07/10/1986,0.79568259
07/11/1986,0.79960221
07/12/1986,0.73296869
07/13/1986,0.69769212
07/14/1986,0.67809403
07/15/1986,0.65849594
07/16/1986,0.66633517
07/17/1986,0.68985289
07/18/1986,0.65065670
07/19/1986,0.62321937
07/20/1986,0.61146051
07/21/1986,0.59186242
07/22/1986,0.58794280
07/23/1986,0.58010356
07/24/1986,0.57226433
07/25/1986,0.55658585
07/26/1986,0.54874661
07/27/1986,0.54874661
07/28/1986,0.55266623
07/29/1986,0.54090738
07/30/1986,0.51738966
07/31/1986,0.50955043
08/01/1986,0.50955043
08/02/1986,0.50955043
08/03/1986,0.50563081
08/04/1986,0.49387195
08/05/1986,0.48995233
08/06/1986,0.49387195
08/07/1986,0.48211310
08/08/1986,0.47427386
08/09/1986,0.47035424
08/10/1986,0.46643462
08/11/1986,0.45859538
08/12/1986,0.46251500
08/13/1986,0.45859538
08/14/1986,0.45075615
08/15/1986,0.43507767
08/16/1986,0.43115805
08/17/1986,0.43115805
08/18/1986,0.43115805
08/19/1986,0.43115805
08/20/1986,0.43115805
08/21/1986,0.43115805
08/22/1986,0.43115805
08/23/1986,0.42331882
08/24/1986,0.41547958
08/25/1986,0.41155996
08/26/1986,0.40372072
08/27/1986,0.39980110
08/28/1986,0.39980110
08/29/1986,0.40372072
