WatershedName,RunID,Scenario
FirCreek,portland_FirCreek_CurCond.202202.cl532.chn_cs150,CurCond_CLIGEN
FirCreek,portland_FirCreek_CurCond.202202.cl532_future.chn_cs150,CurCond_Future
FirCreek,portland_FirCreek_CurCond.202202.cl532_gridmet.chn_cs150,CurCond_Gridmet
FirCreek,portland_FirCreek_HighSevS.202202.chn_cs150,HighSevS
FirCreek,portland_FirCreek_LowSevS.202202.chn_cs150,LowSevS
FirCreek,portland_FirCreek_ModSevS.202202.chn_cs150,ModSevS
FirCreek,portland_FirCreek_PrescFireS.202202.chn_cs150,PrescFireS
FirCreek,portland_FirCreek_SimFire_Eagle.202202.cl532.chn_cs150,SimFire_Eagle
FirCreek,portland_FirCreek_SimFire_Norse.202202.cl532.chn_cs150,SimFire_Norse
FirCreek,portland_300m_FirCreek_CurCond.202202.cl532.chn_cs150,CurCond_CLIGEN
FirCreek,portland_300m_FirCreek_CurCond.202202.cl532_future.chn_cs150,CurCond_Future
FirCreek,portland_300m_FirCreek_CurCond.202202.cl532_gridmet.chn_cs150,CurCond_Gridmet
FirCreek,portland_300m_FirCreek_HighSevS.202202.chn_cs150,HighSevS
FirCreek,portland_300m_FirCreek_LowSevS.202202.chn_cs150,LowSevS
FirCreek,portland_300m_FirCreek_ModSevS.202202.chn_cs150,ModSevS
FirCreek,portland_300m_FirCreek_PrescFireS.202202.chn_cs150,PrescFireS
FirCreek,portland_300m_FirCreek_SimFire_Eagle.202202.cl532.chn_cs150,SimFire_Eagle
FirCreek,portland_300m_FirCreek_SimFire_Norse.202202.cl532.chn_cs150,SimFire_Norse
