luse,stext,ki,kr,shcrit,avke,ksflag,ksatadj,ksatfac,ksatrec
bare,clay loam,1500000,5.00E-05,0.5,6,0,1,100,0.3
bare,loam,1000000,6.00E-05,1,10,0,1,100,0.3
bare,sand loam,400000,0.0001,2,10,0,1,100,0.3
bare,silt loam,1000000,8.00E-05,1.5,6,0,1,100,0.3
forest,clay loam,400000,2.00E-05,0.5,35,0,0,1.5,0.3
forest,loam,400000,3.00E-05,1,50,0,0,1.5,0.3
forest,sand loam,400000,8.00E-05,2,60,0,0,1.5,0.3
forest,silt loam,1000000,5.00E-05,1.5,40,0,0,1.5,0.3
forest high sev fire,clay loam,1500000,6.00E-05,0.5,14,0,1,100,0.3
forest high sev fire,loam,1000000,0.0001,1,15,0,1,100,0.3
forest high sev fire,sand loam,400000,0.00014,2,15,0,1,100,0.3
forest high sev fire,silt loam,1000000,0.00012,1.5,10,0,1,100,0.3
forest low sev fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3
forest low sev fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3
forest low sev fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3
forest low sev fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3
forest prescribed fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3
forest prescribed fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3
forest prescribed fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3
forest prescribed fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3
grass high sev fire,clay loam,1500000,6.00E-05,0.5,14,0,1,100,0.3
grass high sev fire,loam,1000000,0.0001,1,15,0,1,100,0.3
grass high sev fire,sand loam,400000,0.00014,2,15,0,1,100,0.3
grass high sev fire,silt loam,1000000,0.00012,1.5,10,0,1,100,0.3
grass low sev fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3
grass low sev fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3
grass low sev fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3
grass low sev fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3
grass prescribed fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3
grass prescribed fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3
grass prescribed fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3
grass prescribed fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3
short grass,clay loam,1500000,4.00E-05,0.5,20,0,0,1.5,0.3
short grass,loam,1000000,6.00E-05,1,25,0,0,1.5,0.3
short grass,sand loam,400000,0.0001,2,25,0,0,1.5,0.3
short grass,silt loam,1000000,8.00E-05,1.5,15,0,0,1.5,0.3
shrub,clay loam,1500000,3.00E-05,0.5,28,0,0,1.5,0.3
shrub,loam,1000000,5.00E-05,1,35,0,0,1.5,0.3
shrub,sand loam,400000,0.0001,2,40,0,0,1.5,0.3
shrub,silt loam,1000000,7.00E-05,1.5,25,0,0,1.5,0.3
shrub high sev fire,clay loam,1500000,6.00E-05,0.5,14,0,1,100,0.3
shrub high sev fire,loam,1000000,0.0001,1,15,0,1,100,0.3
shrub high sev fire,sand loam,400000,0.00014,2,15,0,1,100,0.3
shrub high sev fire,silt loam,1000000,0.00012,1.5,10,0,1,100,0.3
shrub low sev fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3
shrub low sev fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3
shrub low sev fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3
shrub low sev fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3
shrub prescribed fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3
shrub prescribed fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3
shrub prescribed fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3
shrub prescribed fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3
skid,clay loam,1500000,5.00E-05,0.5,6,0,0,100,0.3
skid,loam,1000000,6.00E-05,1,10,0,0,100,0.3
skid,sand loam,400000,0.0001,2,10,0,0,100,0.3
skid,silt loam,1000000,8.00E-05,1.5,6,0,0,100,0.3
low or treated skid,clay loam,400000,3.00E-05,0.5,33,0,0,1.3,0.3
low or treated skid,loam,400000,4.00E-05,1,40,0,0,1.3,0.3
low or treated skid,sand loam,400100,9.00E-05,2,50,0,0,1.3,0.3
low or treated skid,silt loam,1000000,6.00E-05,1.5,30,0,0,1.3,0.3
high use skid,clay loam,1500000,5.00E-05,0.5,6,0,0,100,0.3
high use skid,loam,1000000,6.00E-05,1,10,0,0,100,0.3
high use skid,sand loam,400000,0.0001,2,10,0,0,100,0.3
high use skid,silt loam,1000000,8.00E-05,1.5,6,0,0,100,0.3
tall grass,clay loam,1500000,4.00E-05,0.5,24,0,0,1.5,0.3
tall grass,loam,1000000,6.00E-05,1,30,0,0,1.5,0.3
tall grass,sand loam,400000,0.0001,2,30,0,0,1.5,0.3
tall grass,silt loam,1000000,8.00E-05,1.5,20,0,0,1.5,0.3
young forest,clay loam,400000,3.00E-05,0.5,33,0,0,1.5,0.3
young forest,loam,400000,4.00E-05,1,40,0,0,1.5,0.3
young forest,sand loam,400100,9.00E-05,2,50,0,0,1.5,0.3
young forest,silt loam,1000000,6.00E-05,1.5,30,0,0,1.5,0.3
thinning,clay loam,400000,3.00E-05,0.5,33,0,0,1.3,0.3
thinning,loam,400000,4.00E-05,1,40,0,0,1.3,0.3
thinning,sand loam,400100,9.00E-05,2,50,0,0,1.3,0.3
thinning,silt loam,1000000,6.00E-05,1.5,30,0,0,1.3,0.3
agriculture crops,clay loam,,,,,1,0,0,0
agriculture crops,loam,,,,,1,0,0,0
agriculture crops,sand loam,,,,,1,0,0,0
agriculture crops,silt loam,,,,,1,0,0,0
