key,desc,cancov,inrcov,rilcov
11,Open Water,0.01,0.99,0.99
12,Perennial Ice/Snow,0.01,0.99,0.99
21,Low Intensity Residential,0.5,0.85,0.85
22,High Intensity Residential,0.25,0.85,0.85
23,Commercial/Industrial/Transportation,0.05,0.85,0.85
24,"Developed, High Intensity",0.01,0.85,0.85
31,Bare Rock/Sand/Clay,0.01,0.01,0.01
32,Quarries/Strip Mines/Gravel Pits,0.01,0.01,0.01
33,Transitional,0.4,0.8,0.8
51,Shrubland,0.5,0.6,0.6
61,Orchards/Vineyards/Other,0.6,0.6,0.6
71,Grasslands/Herbaceous,0.6,0.6,0.6
72,Sedge/Herbaceous,0.9,0.9,0.9
81,Pasture/Hay,0.5,0.9,0.9
82,Row Crops,0.1,0.1,0.1
83,Small Grains,0.2,0.8,0.8
85,Urban/Recreational Grasses,0.5,0.8,0.8
90,Woody Wetlands,0.8,0.9,0.9
95,Emergent Herbaceous Wetlands,0.5,0.9,0.9
96,Palustrine Emergent Wetland (Persistent),0.5,0.9,0.9
97,Estaurine Emergent Wetland,0.5,0.9,0.9
98,Palustrine Aquatic Bed,0.5,0.99,0.99
99,Estaurine Aquatic Bed,0.5,0.99,0.99
100,Bare,0.05,0.2,0.2
101,Sod_G,0.4,0.6,0.6
102,OForst,0.9,1,1
103,BnchG,0.6,0.8,0.8
104,Shrub,0.7,0.9,0.9
105,HighF,0.2,0.3,0.3
106,LowF,0.75,0.8,0.8
107,YForst,0.8,1,1
110,PrescrF,0.85,0.85,0.85
111,Skid,0.05,0.4,0.4
112,Yr1_Recov_Fire,0.8,0.8,0.8
113,Yr1_Recov_Thinn,0.8,0.92,0.92
114,Yr2_Recov_Fire,0.85,0.9,0.9
115,Thinning_93_Cover,0.4,0.93,0.93
116,Thinning_90_Cover,0.4,0.9,0.9
117,Thinning_85_Cover,0.4,0.85,0.85
118,ModF,0.4,0.5,0.5
119,HighFShrub,0.05,0.3,0.3
120,ModFShrub,0.3,0.5,0.5
121,LowFShrub,0.5,0.7,0.7
122,PrescrShrub,0.7,0.75,0.75
123,Thinning_96_Cover,0.4,0.96,0.96
124,Thinning_75_Cover,0.4,0.75,0.75
130,No Burn,0.8,0.95,0.95
131,Low Severity Fire,0.75,0.8,0.8
132,Moderate Severity Fire,0.6,0.6,0.6
133,High Severity Fire,0.2,0.3,0.3
161,Agriculture: Palouse: Barley- Conventional Till,0,0.2,0.2
167,"Agriculture: Corn, Soybean- Fall Moldboard Plow",0,0.2,0.2
171,Agriculture: Corn- Fall Moldboard Plow,0,0.2,0.2
177,Agriculture: Soybean- Fall Moldboard Plow,0,0.2,0.2
183,Agriculture: Winter Wheat- Mulch Till,0.2,0.4,0.4
