High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Low,Undisturbed,Undisturbed,Undisturbed,Undisturbed
Tree,Shrub,Perennial,Annual,Tree,Shrub,Perennial,Annual,Tree,Shrub,Perennial,Annual,Tree,Shrub,Perennial,Annual
0.30435,0.30435,0.30435,0.30435,0.50328,0.50328,0.50328,0.50328,0.70201,0.70201,0.70201,0.70201,1.00000,1.00000,1.00000,1.00000
0.30714,0.33083,0.62500,0.62500,0.50635,0.57785,0.74500,0.74500,0.70540,0.74766,0.85000,0.85000,1.00000,1.00000,1.00000,1.00000
0.31169,0.47481,0.94565,0.94565,0.51221,0.91215,0.98672,0.98672,0.71423,0.95234,0.99799,0.99799,1.00000,1.00000,1.00000,1.00000
0.31905,0.77519,0.94997,0.94997,0.52324,0.98672,0.98998,0.98998,0.73576,0.99799,0.99999,0.99999,1.00000,1.00000,1.00000,1.00000
0.33083,0.91917,0.95000,0.95000,0.54332,0.98988,0.99000,0.99000,0.78068,0.99993,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.34931,0.94565,0.95000,0.95000,0.57785,0.99000,0.99000,0.99000,0.85000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.37748,0.94941,0.95000,0.95000,0.63178,0.99000,0.99000,0.99000,0.91932,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.41858,0.94992,0.95000,0.95000,0.70454,0.99000,0.99000,0.99000,0.96424,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.47481,0.94999,0.95000,0.95000,0.78546,0.99000,0.99000,0.99000,0.98577,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.54540,0.95000,0.95000,0.95000,0.85822,0.99000,0.99000,0.99000,0.99460,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.62500,0.95000,0.95000,0.95000,0.91215,0.99000,0.99000,0.99000,0.99799,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.70460,0.95000,0.95000,0.95000,0.94668,0.99000,0.99000,0.99000,0.99926,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.77519,0.95000,0.95000,0.95000,0.96676,0.99000,0.99000,0.99000,0.99973,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
