"Clay"||"15147626"|"15875934"
"Silty clay loam"||"15147627"|"15421903"
"Clay loam"||"15147628"|"15573247"
"Fine sandy loam"||"15147642"|"15875938"
"Silt loam"||"15147643"|"15421907"
"Sandy clay loam"||"15147644"|"15573251"
"Fine sandy loam"||"15147645"|"15724595"
"Sandy clay loam"||"15147658"|"15875942"
"Fine sandy loam"||"15147659"|"15421911"
"Silt loam"||"15147660"|"15573255"
"Silty clay"||"15147661"|"15724599"
"Fine sandy loam"||"15147675"|"15421915"
"Clay"||"15147676"|"15573259"
"Clay"||"15147677"|"15724603"
"Silty clay loam"||"15147678"|"15875947"
"Loam"||"15147692"|"15724607"
"Silt loam"||"15147693"|"15875951"
"Silt"||"15147694"|"15421920"
"Silty clay loam"||"15147695"|"15573264"
"Silt loam"||"15151271"|"15422834"
"Silty clay"||"15151455"|"15574224"
"Silty clay loam"||"15151471"|"15574228"
"Fine sandy loam"||"15151485"|"15876919"
"Sandy clay"||"15151505"|"15876924"
"Silty clay"||"15151537"|"15876932"
"Clay"||"15154042"|"15877575"
"Silt loam"||"15154629"|"15575036"
"Loam"||"15155933"|"15575368"
"Silt loam"||"15155934"|"15726712"
"Silty clay loam"||"15155998"|"15878072"
"Clay loam"||"15156132"|"15424075"
"Clay"||"15156133"|"15575419"
"Silt loam"||"15156134"|"15726763"
"Clay loam"||"15156135"|"15878107"
"Silty clay loam"||"15156850"|"15424257"
|"Unweathered bedrock"|"15156851"|"15575601"
|"Unweathered bedrock"|"15156852"|"15726945"
|"Unweathered bedrock"|"15156853"|"15878289"
"Silty clay loam"||"15156867"|"15575605"
"Very fine sandy loam"||"15156868"|"15726949"
"Fine sandy loam"||"15156869"|"15878293"
"Loam"||"15156870"|"15424262"
"Clay"||"15156884"|"15726953"
"Silt loam"||"15156885"|"15878297"
"Silt loam"||"15156886"|"15424266"
"Sand"||"15156887"|"15575610"
"Sandy clay loam"||"15156900"|"15878301"
"Silty clay"||"15156901"|"15424270"
"Silty clay"||"15156902"|"15575614"
"Fine sandy loam"||"15156903"|"15726958"
"Sandy clay loam"||"15156917"|"15424274"
"Clay"||"15160745"|"15425252"
"Silt loam"||"15160746"|"15576596"
"Loamy very fine sand"||"15160746"|"15727940"
"Silty clay loam"||"15160761"|"15576600"
"Loam"||"15160811"|"15727957"
"Silt loam"||"15160828"|"15879305"
"Very fine sandy loam"||"15161680"|"15879523"
"Sandy loam"||"15163903"|"15880092"
"Clay loam"||"15165458"|"15426456"
"Silt loam"||"15165459"|"15577800"
"Loam"||"15166176"|"15577981"
"Loam"||"15166177"|"15729325"
"Silt loam"||"15166178"|"15880669"
"Silt loam"||"15166179"|"15426638"
"Clay"||"15166192"|"15577985"
"Fine sandy loam"||"15166193"|"15729329"
|"Weathered bedrock"|"15166194"|"15880673"
"Fine sandy loam"||"15166195"|"15426642"
"Silty clay"||"15166196"|"15577986"
"Silty clay"||"15166209"|"15729333"
"Very fine sandy loam"||"15166210"|"15880677"
"Loam"||"15166211"|"15426646"
"Loam"||"15166212"|"15577990"
"Loam"||"15166226"|"15880681"
"Clay"||"15166227"|"15426650"
"Very fine sandy loam"||"15166228"|"15577994"
"Sandy clay loam"||"15166229"|"15729338"
"Silty clay loam"||"15166242"|"15880685"
"Clay"||"15169989"|"15881642"
"Clay"||"15170038"|"15578967"
"Clay loam"||"15170039"|"15730311"
"Silt loam"||"15170071"|"15730319"
"Silt loam"||"15172762"|"15882350"
"Silt loam"||"15174568"|"15731465"
"Sand"||"15174699"|"15580154"
"Silt loam"||"15174700"|"15731498"
"Loam"||"15175418"|"15883023"
"Sandy clay loam"||"15175419"|"15428992"
"Sandy clay loam"||"15175420"|"15580336"
"Fine sandy loam"||"15175421"|"15731680"
"Silt loam"||"15175434"|"15883027"
|"Unweathered bedrock"|"15175435"|"15428996"
"Silty clay"||"15175436"|"15580340"
"Clay loam"||"15175437"|"15731684"
"Clay loam"||"15175438"|"15883028"
"Silt loam"||"15175451"|"15429000"
"Clay"||"15175452"|"15580344"
"Silty clay"||"15175453"|"15731688"
"Very fine sandy loam"||"15175454"|"15883032"
"Silt loam"||"15175468"|"15580348"
