"Sandy loam"||"15149317"|"15876368"
"Clay loam"||"15149318"|"15422337"
"Silt loam"||"15149319"|"15573681"
"Loam"||"15149320"|"15725025"
"Silt loam"||"15149321"|"15876369"
"Silt loam"||"15149322"|"15422338"
"Clay"||"15149323"|"15573682"
"Clay loam"||"15149325"|"15876370"
"Sand"||"15149326"|"15422339"
"Sandy loam"||"15149328"|"15725027"
"Fine sandy loam"||"15149330"|"15422340"
"Clay loam"||"15154607"|"15877718"
"Sandy clay loam"||"15154608"|"15423687"
"Silt loam"||"15158551"|"15424694"
"Loam"||"15158552"|"15576038"
"Clay"||"15158553"|"15727382"
"Silt loam"||"15158554"|"15878726"
"Sandy loam"||"15158555"|"15424695"
"Loamy sand"||"15158556"|"15576039"
"Loamy sand"||"15158557"|"15727383"
"Sandy clay loam"||"15158558"|"15878727"
"Silty clay loam"||"15158559"|"15424696"
"Clay"||"15158560"|"15576040"
"Sandy clay loam"||"15158561"|"15727384"
"Loam"||"15158564"|"15576041"
"Loam"||"15158566"|"15878729"
"Silt loam"||"15158567"|"15424698"
"Loam"||"15158568"|"15576042"
"Sandy loam"||"15163874"|"15728741"
"Loam"||"15163875"|"15880085"
"Sandy loam"||"15167838"|"15578407"
"Sandy clay loam"||"15167839"|"15729751"
"Loamy sand"||"15167840"|"15881095"
"Silt loam"||"15167841"|"15427064"
"Sandy clay loam"||"15167842"|"15578408"
"Loamy fine sand"||"15167844"|"15881096"
"Loam"||"15167845"|"15427065"
"Loamy sand"||"15167846"|"15578409"
"Loamy fine sand"||"15167847"|"15729753"
"Clay"||"15167849"|"15427066"
"Loamy sand"||"15167852"|"15881098"
"Silt loam"||"15167854"|"15578411"
"Silt loam"||"15167855"|"15729755"
"Sandy loam"||"15167856"|"15881099"
"Loam"||"15173130"|"15731099"
"Fine sandy loam"||"15177133"|"15883462"
"Sand"||"15177134"|"15429431"
"Clay loam"||"15177135"|"15580775"
"Loam"||"15177136"|"15732119"
"Clay"||"15177137"|"15883463"
"Loam"||"15177139"|"15580776"
