"Corn silage"|"Tons"||24|||||||"2996574"|"7903456"
"Pasture"|"AUM"||6|||||||"2996574"|"7977929"
"Barley"|"Bu"||50|||||||"2996574"|"8052401"
"Soybeans"|"Bu"||35|||||||"2996574"|"8052402"
"Corn"|"Bu"||110|||||||"2996574"|"8126874"
"Wheat"|"Bu"||45|||||||"2996574"|"8126875"
"Corn"|"Bu"||90|||||||"3054863"|"7922115"
"Tall fescue"|"AUM"||7|||||||"3054863"|"7922116"
"Grass-legume hay"|"Tons"||3.5|||||||"3054863"|"7996588"
"Wheat"|"Bu"||25|||||||"3054863"|"7996589"
"Peanuts"|"Lbs"||3200|||||||"3054863"|"8071061"
"Alfalfa hay"|"Tons"||4|||||||"3054863"|"8145533"
"Soybeans"|"Bu"||20|||||||"3054863"|"8145534"
"Corn"|"Bu"||130|||||||"2970667"|"7903454"
"Tobacco"|"Lbs"||1300|||||||"2970667"|"7903455"
"Corn silage"|"Tons"||26|||||||"2970667"|"7977927"
"Wheat"|"Bu"||45|||||||"2970667"|"7977928"
"Pasture"|"AUM"||8|||||||"2970667"|"8052400"
"Barley"|"Bu"||60|||||||"2970667"|"8126872"
"Soybeans"|"Bu"||40|||||||"2970667"|"8126873"
"Cotton lint"|"Lbs"||550|||||||"2990097"|"7884787"
"Pasture"|"AUM"||9|||||||"2990097"|"7959260"
"Peanuts"|"Lbs"||2700|||||||"2990097"|"8033733"
"Corn"|"Bu"||85|||||||"2990097"|"8108205"
"Tobacco"|"Lbs"||2400|||||||"2990097"|"8108206"
"Grass-legume hay"|"Tons"||4.5|||||||"2977144"|"7922117"
"Pasture"|"AUM"||8.5|||||||"2977144"|"7996590"
"Corn"|"Bu"||120|||||||"2977144"|"8071062"
"Soybeans"|"Bu"||40|||||||"2977144"|"8071063"
"Corn silage"|"Tons"||24|||||||"2977144"|"8145535"
"Tobacco"|"Lbs"||1300|||||||"2977144"|"8145536"
"Pasture"|"AUM"||8|||||||"3061340"|"7940650"
"Barley"|"Bu"||60|||||||"3061340"|"8015122"
"Soybeans"|"Bu"||40|||||||"3061340"|"8015123"
"Corn"|"Bu"||130|||||||"3061340"|"8089595"
"Tobacco"|"Lbs"||1300|||||||"3061340"|"8089596"
"Corn silage"|"Tons"||26|||||||"3061340"|"8164068"
"Wheat"|"Bu"||45|||||||"3061340"|"8164069"
"Barley"|"Bu"||50|||||||"3028958"|"7922118"
"Soybeans"|"Bu"||35|||||||"3028958"|"7922119"
"Corn"|"Bu"||110|||||||"3028958"|"7996591"
"Wheat"|"Bu"||45|||||||"3028958"|"7996592"
"Corn silage"|"Tons"||24|||||||"3028958"|"8071064"
"Pasture"|"AUM"||6|||||||"3028958"|"8145537"
"Corn"|"Bu"||110|||||||"2964191"|"7884788"
"Soybeans"|"Bu"||45|||||||"2964191"|"7884789"
"Cotton lint"|"Lbs"||750|||||||"2964191"|"7959261"
"Tobacco"|"Lbs"||2900|||||||"2964191"|"7959262"
"Grass hay"|"Tons"||5|||||||"2964191"|"8033734"
"Wheat"|"Bu"||60|||||||"2964191"|"8033735"
"Pasture"|"AUM"||8.5|||||||"2964191"|"8108207"
"Corn"|"Bu"||130|||||||"2983621"|"7940651"
"Soybeans"|"Bu"||45|||||||"2983621"|"7940652"
"Corn silage"|"Tons"||26|||||||"2983621"|"8015124"
"Tobacco"|"Lbs"||1600|||||||"2983621"|"8015125"
"Grass-clover"|"AUM"||10|||||||"2983621"|"8089597"
"Wheat"|"Bu"||50|||||||"2983621"|"8089598"
"Grass-legume hay"|"Tons"||3.5|||||||"2983621"|"8164070"
"Corn"|"Bu"||110|||||||"3009528"|"7940653"
"Wheat"|"Bu"||45|||||||"3009528"|"7940654"
"Corn silage"|"Tons"||24|||||||"3009528"|"8015126"
"Pasture"|"AUM"||6|||||||"3009528"|"8089599"
"Barley"|"Bu"||50|||||||"3009528"|"8164071"
"Soybeans"|"Bu"||35|||||||"3009528"|"8164072"
"Grass-clover"|"AUM"||10|||||||"3041911"|"7884792"
"Wheat"|"Bu"||50|||||||"3041911"|"7884793"
"Grass-legume hay"|"Tons"||3.5|||||||"3041911"|"7959265"
"Corn"|"Bu"||130|||||||"3041911"|"8033737"
"Soybeans"|"Bu"||45|||||||"3041911"|"8033738"
"Corn silage"|"Tons"||26|||||||"3041911"|"8108210"
"Tobacco"|"Lbs"||1600|||||||"3041911"|"8108211"
"Corn"|"Bu"||130|||||||"2996575"|"7903459"
"Tobacco"|"Lbs"||1300|||||||"2996575"|"7903460"
"Corn silage"|"Tons"||26|||||||"2996575"|"7977932"
"Wheat"|"Bu"||45|||||||"2996575"|"7977933"
"Pasture"|"AUM"||8|||||||"2996575"|"8052405"
"Barley"|"Bu"||60|||||||"2996575"|"8126877"
