"Sandy clay loam"||"15147479"|"15421866"
"Loamy sand"||"15147479"|"15875897"
"Fine sandy loam"||"15147481"|"15724554"
"Sandy clay loam"||"15147490"|"15875900"
"Fine sandy loam"||"15147497"|"15724558"
"Loamy sand"||"15147531"|"15421879"
"Fine sandy loam"||"15147790"|"15875976"
"Fine sandy loam"||"15147797"|"15724634"
"Sandy loam"||"15147799"|"15421947"
"Sandy clay"||"15147804"|"15573292"
"Loamy sand"||"15147806"|"15875980"
"Clay loam"||"15147808"|"15573293"
"Fine sand"||"15147813"|"15724638"
"Loamy fine sand"||"15147815"|"15421951"
"Loamy fine sand"||"15147822"|"15875984"
"Fine sand"||"15147824"|"15573297"
"Sandy clay loam"||"15147831"|"15421955"
"Fine sand"||"15147833"|"15724643"
"Sand"||"15147838"|"15875988"
"Fine sand"||"15147840"|"15573301"
"Sand"||"15147847"|"15421959"
"Sand"||"15147849"|"15724647"
"Fine sand"||"15147856"|"15573305"
|"Muck"|"15147858"|"15875993"
|"Muck"|"15147863"|"15421963"
"Sandy clay loam"||"15147865"|"15724651"
"Sandy clay loam"||"15147872"|"15573309"
"Sandy loam"||"15147874"|"15875997"
"Fine sand"||"15147881"|"15724655"
"Loam"||"15147883"|"15421968"
"Sand"||"15147888"|"15573313"
"Loamy fine sand"||"15147890"|"15876001"
"Fine sand"||"15147897"|"15724659"
"Loamy sand"||"15147899"|"15421972"
"Sandy clay"||"15147947"|"15421984"
"Sandy clay loam"||"15147949"|"15724672"
"Sandy clay"||"15147958"|"15876018"
"Sandy clay"||"15147974"|"15876022"
"Sandy clay loam"||"15156705"|"15726908"
|"Variable"|"15156707"|"15424221"
"Sandy loam"||"15156712"|"15575566"
"Sandy clay loam"||"15157005"|"15726984"
"Loamy sand"||"15157007"|"15424297"
"Sandy clay loam"||"15157014"|"15878330"
"Sandy loam"||"15157016"|"15575643"
"Sandy loam"||"15157021"|"15726988"
"Fine sandy loam"||"15157023"|"15424301"
"Fine sand"||"15157025"|"15726989"
"Sandy clay loam"||"15157030"|"15878334"
|"Weathered bedrock"|"15157032"|"15575647"
"Fine sand"||"15157039"|"15424305"
"Sandy loam"||"15157041"|"15726993"
"Sandy clay"||"15157046"|"15878338"
"Clay"||"15157048"|"15575651"
"Sand"||"15157050"|"15878339"
"Loamy fine sand"||"15157055"|"15424309"
"Sandy clay"||"15157057"|"15726997"
"Loamy fine sand"||"15157064"|"15575655"
"Fine sand"||"15157066"|"15878343"
"Sandy clay loam"||"15157073"|"15727001"
"Sand"||"15157075"|"15424314"
"Sandy loam"||"15157080"|"15575659"
"Sandy loam"||"15157082"|"15878347"
"Sand"||"15157089"|"15727005"
"Fine sand"||"15157091"|"15424318"
"Fine sandy loam"||"15157098"|"15878351"
"Fine sand"||"15157100"|"15575664"
"Fine sand"||"15157105"|"15727009"
"Sand"||"15157107"|"15424322"
"Fine sandy loam"||"15157114"|"15878355"
|"Unweathered bedrock"|"15157116"|"15575668"
"Sandy clay loam"||"15157157"|"15727022"
"Fine sandy loam"||"15157173"|"15727026"
"Sandy clay loam"||"15157182"|"15878372"
"Sandy loam"||"15166024"|"15426599"
"Sandy clay loam"||"15166029"|"15577944"
"Clay loam"||"15166038"|"15729290"
"Sandy loam"||"15166331"|"15426677"
"Sand"||"15166333"|"15729365"
"Sandy clay loam"||"15166340"|"15578023"
"Sandy clay loam"||"15166342"|"15880711"
"Sand"||"15166347"|"15426681"
"Fine sandy loam"||"15166349"|"15729369"
"Loamy sand"||"15166356"|"15578027"
"Sandy clay loam"||"15166358"|"15880715"
"Sandy clay"||"15166365"|"15729373"
"Sand"||"15166367"|"15426686"
"Fine sand"||"15166372"|"15578031"
"Sand"||"15166374"|"15880719"
"Fine sand"||"15166381"|"15729377"
"Sandy loam"||"15166383"|"15426690"
"Sandy loam"||"15166390"|"15880723"
"Sand"||"15166392"|"15578036"
"Fine sand"||"15166397"|"15729381"
"Sandy loam"||"15166399"|"15426694"
"Loamy sand"||"15166406"|"15880727"
"Sandy clay loam"||"15166408"|"15578040"
|"Unweathered bedrock"|"15166415"|"15426698"
"Sandy clay loam"||"15166417"|"15729386"
"Fine sand"||"15166422"|"15880731"
"Fine sand"||"15166424"|"15578044"
|"Muck"|"15166431"|"15426702"
"Fine sandy loam"||"15166433"|"15729390"
"Loamy sand"||"15166481"|"15729402"
"Sandy clay"||"15166490"|"15880748"
"Loam"||"15175264"|"15882984"
"Sandy loam"||"15175266"|"15580297"
"Sandy clay loam"||"15175271"|"15731642"
"Sandy clay loam"||"15175273"|"15428955"
"Loam"||"15175280"|"15882988"
"Fine sand"||"15175582"|"15731721"
"Sandy loam"||"15175584"|"15429034"
"Sandy clay loam"||"15175589"|"15580379"
"Sandy clay loam"||"15175591"|"15883067"
"Sandy loam"||"15175598"|"15731725"
"Fine sandy loam"||"15175600"|"15429038"
"Sandy clay"||"15175607"|"15883071"
"Loamy fine sand"||"15175609"|"15580384"
"Sand"||"15175614"|"15731729"
"Sandy loam"||"15175616"|"15429042"
"Fine sandy loam"||"15175623"|"15883075"
|"Variable"|"15175625"|"15580388"
"Sand"||"15175632"|"15429046"
"Fine sand"||"15175634"|"15731734"
"Sand"||"15175639"|"15883079"
"Fine sand"||"15175641"|"15580392"
"Fine sand"||"15175648"|"15429050"
"Fine sand"||"15175650"|"15731738"
"Sand"||"15175657"|"15580396"
"Sandy loam"||"15175659"|"15883084"
"Sandy clay loam"||"15175664"|"15429054"
"Coarse sand"||"15175666"|"15731742"
"Fine sand"||"15175673"|"15580400"
"Fine sandy loam"||"15175675"|"15883088"
"Loamy fine sand"||"15175682"|"15731746"
"Sandy clay loam"||"15175684"|"15429059"
"Sandy clay loam"||"15175732"|"15429071"
"Sandy loam"||"15175734"|"15731759"
"Fine sand"||"15175764"|"15429079"
"Sandy clay loam"||"15184558"|"15734013"
"Fine sandy loam"||"15184565"|"15582671"
"Clay loam"||"15184567"|"15885359"
"Loam"||"15184572"|"15431329"
"Clay loam"||"15184881"|"15734095"
"Fine sand"||"15184883"|"15431408"
"Sand"||"15184890"|"15885441"
"Fine sandy loam"||"15184892"|"15582754"
"Sandy loam"||"15184899"|"15431412"
"Fine sandy loam"||"15184901"|"15734100"
"Sandy clay loam"||"15184906"|"15885445"
"Sandy clay loam"||"15184908"|"15582758"
"Fine sand"||"15184915"|"15431416"
"Sandy clay loam"||"15184917"|"15734104"
"Sandy clay loam"||"15184924"|"15582762"
"Fine sand"||"15184926"|"15885450"
"Sand"||"15184931"|"15431420"
"Fine sand"||"15184933"|"15734108"
"Loamy fine sand"||"15184940"|"15582766"
"Sand"||"15184942"|"15885454"
"Fine sand"||"15184949"|"15734112"
"Sandy clay loam"||"15184951"|"15431425"
"Sand"||"15184956"|"15582770"
"Sand"||"15184958"|"15885458"
"Sand"||"15184965"|"15885460"
"Sand"||"15184967"|"15582773"
"Sandy loam"||"15184974"|"15431431"
"Sand"||"15184976"|"15734119"
|"Muck"|"15184981"|"15885464"
"Fine sand"||"15184983"|"15582777"
"Sandy clay loam"||"15184985"|"15885465"
"Loamy sand"||"15185033"|"15885477"
"Sandy loam"||"15693770"|"15864044"
"Sandy clay"||"15693784"|"15561360"
"Sandy loam"||"15694070"|"15712776"
"Sandy loam"||"15694077"|"15561434"
"Sandy loam"||"15147476"|"15421865"
"Loamy sand"||"15147477"|"15573209"
"Sandy clay loam"||"15147478"|"15724553"
"Loam"||"15147491"|"15421869"
"Sandy loam"||"15147792"|"15573289"
"Fine sandy loam"||"15147793"|"15724633"
"Sandy clay loam"||"15147794"|"15875977"
"Fine sand"||"15147795"|"15421946"
"Fine sand"||"15147809"|"15724637"
"Sandy loam"||"15147810"|"15875981"
"Loam"||"15147811"|"15421950"
"Sandy clay loam"||"15147812"|"15573294"
"Sandy clay"||"15147825"|"15724641"
"Sand"||"15147826"|"15875985"
|"Weathered bedrock"|"15147827"|"15421954"
"Sandy clay loam"||"15147828"|"15573298"
"Loamy sand"||"15147829"|"15724642"
"Fine sand"||"15147842"|"15875989"
"Sand"||"15147843"|"15421958"
"Fine sandy loam"||"15147844"|"15573302"
"Sandy loam"||"15147845"|"15724646"
"Fine sand"||"15147859"|"15421962"
"Clay"||"15147860"|"15573306"
"Sand"||"15147861"|"15724650"
"Fine sand"||"15147862"|"15875994"
"Sandy clay"||"15147875"|"15421966"
"Fine sandy loam"||"15147876"|"15573310"
"Fine sand"||"15147877"|"15724654"
"Sand"||"15147878"|"15875998"
"Sand"||"15147879"|"15421967"
"Sand"||"15147892"|"15573314"
"Fine sand"||"15147893"|"15724658"
"Silt loam"||"15147894"|"15876002"
"Sand"||"15147895"|"15421971"
"Sandy loam"||"15147944"|"15573327"
"Sandy clay loam"||"15147945"|"15724671"
"Sandy clay"||"15147946"|"15876015"
"Loam"||"15147959"|"15421987"
"Sand"||"15147977"|"15724679"
"Sand"||"15147978"|"15876023"
"Loamy sand"||"15156700"|"15575563"
"Sandy loam"||"15156701"|"15726907"
"Loamy sand"||"15156702"|"15878251"
"Clay loam"||"15156718"|"15878255"
"Fine sandy loam"||"15156719"|"15424224"
"Loamy sand"||"15157000"|"15575639"
"Clay loam"||"15157001"|"15726983"
"Sandy loam"||"15157002"|"15878327"
"Fine sand"||"15157003"|"15424296"
"Sand"||"15157004"|"15575640"
"Sand"||"15157017"|"15726987"
"Loam"||"15157018"|"15878331"
"Loamy sand"||"15157019"|"15424300"
"Loamy fine sand"||"15157020"|"15575644"
"Fine sandy loam"||"15157034"|"15878335"
"Sand"||"15157035"|"15424304"
"Fine sand"||"15157036"|"15575648"
"Loamy fine sand"||"15157037"|"15726992"
"Sand"||"15157051"|"15424308"
"Fine sand"||"15157052"|"15575652"
"Sand"||"15157053"|"15726996"
"Sand"||"15157054"|"15878340"
"Sandy clay loam"||"15157067"|"15424312"
"Sand"||"15157068"|"15575656"
"Fine sand"||"15157069"|"15727000"
"Sandy clay"||"15157070"|"15878344"
"Sandy clay loam"||"15157071"|"15424313"
|"Weathered bedrock"|"15157084"|"15575660"
|"Unweathered bedrock"|"15157085"|"15727004"
"Sandy loam"||"15157086"|"15878348"
"Fine sand"||"15157087"|"15424317"
"Fine sand"||"15157101"|"15727008"
"Loamy sand"||"15157102"|"15878352"
"Fine sand"||"15157103"|"15424321"
|"Variable"|"15157104"|"15575665"
"Fine sand"||"15166025"|"15577943"
"Sandy loam"||"15166044"|"15426604"
"Sandy clay loam"||"15166329"|"15729364"
"Loamy sand"||"15166343"|"15426680"
"Sandy loam"||"15166344"|"15578024"
"Sandy clay loam"||"15166345"|"15729368"
"Sandy clay"||"15166346"|"15880712"
"Fine sand"||"15166359"|"15426684"
"Sandy loam"||"15166360"|"15578028"
"Sand"||"15166361"|"15729372"
"Sandy clay loam"||"15166362"|"15880716"
"Sandy clay loam"||"15166363"|"15426685"
|"Variable"|"15166376"|"15578032"
"Fine sand"||"15166377"|"15729376"
"Loamy sand"||"15166378"|"15880720"
"Sand"||"15166379"|"15426689"
"Sand"||"15166393"|"15729380"
"Loamy sand"||"15166394"|"15880724"
"Sand"||"15166395"|"15426693"
"Sand"||"15166396"|"15578037"
"Sandy clay loam"||"15166410"|"15880728"
"Clay"||"15166411"|"15426697"
"Sand"||"15166412"|"15578041"
"Sand"||"15166413"|"15729385"
|"Marl"|"15166426"|"15880732"
"Sand"||"15166427"|"15426701"
"Fine sand"||"15166428"|"15578045"
"Loamy sand"||"15166429"|"15729389"
|"Muck"|"15166430"|"15880733"
"Sandy clay loam"||"15166478"|"15880745"
"Sandy clay loam"||"15166479"|"15426714"
"Fine sand"||"15166480"|"15578058"
"Sandy clay loam"||"15166511"|"15426722"
"Silty clay"||"15172062"|"15579485"
"Sandy loam"||"15175585"|"15580378"
"Sandy loam"||"15175586"|"15731722"
"Sandy clay"||"15175587"|"15883066"
"Sand"||"15175588"|"15429035"
"Loamy fine sand"||"15175601"|"15580382"
"Sandy clay loam"||"15175602"|"15731726"
"Sand"||"15175603"|"15883070"
"Fine sand"||"15175604"|"15429039"
"Loamy sand"||"15175605"|"15580383"
"Sandy clay loam"||"15175618"|"15731730"
"Fine sand"||"15175619"|"15883074"
"Sandy loam"||"15175620"|"15429043"
"Fine sand"||"15175621"|"15580387"
"Clay loam"||"15175635"|"15883078"
"Loam"||"15175636"|"15429047"
"Clay"||"15175637"|"15580391"
"Sand"||"15175638"|"15731735"
"Clay"||"15175652"|"15429051"
"Fine sandy loam"||"15175653"|"15580395"
"Fine sand"||"15175654"|"15731739"
"Loamy fine sand"||"15175655"|"15883083"
|"Unweathered bedrock"|"15175668"|"15429055"
"Fine sand"||"15175669"|"15580399"
"Sand"||"15175670"|"15731743"
"Sand"||"15175671"|"15883087"
"Loamy sand"||"15175685"|"15580403"
|"Muck"|"15175686"|"15731747"
"Fine sand"||"15175687"|"15883091"
"Sand"||"15175688"|"15429060"
"Sandy loam"||"15175755"|"15883108"
"Loamy sand"||"15184559"|"15885357"
"Sandy clay loam"||"15184560"|"15431326"
"Sandy loam"||"15184561"|"15582670"
"Sandy clay loam"||"15184578"|"15734018"
"Sandy clay loam"||"15184579"|"15885362"
"Sandy loam"||"15184609"|"15734026"
"Sandy loam"||"15184880"|"15582751"
"Clay loam"||"15184894"|"15885442"
"Sandy clay loam"||"15184895"|"15431411"
"Sandy clay"||"15184896"|"15582755"
"Loamy sand"||"15184897"|"15734099"
"Sandy clay loam"||"15184910"|"15885446"
"Sand"||"15184911"|"15431415"
"Sandy clay"||"15184912"|"15582759"
"Loamy coarse sand"||"15184913"|"15734103"
"Fine sand"||"15184927"|"15431419"
"Sandy loam"||"15184928"|"15582763"
"Fine sand"||"15184929"|"15734107"
"Fine sand"||"15184930"|"15885451"
"Sand"||"15184944"|"15582767"
"Fine sand"||"15184945"|"15734111"
"Fine sand"||"15184946"|"15885455"
"Sandy clay loam"||"15184947"|"15431424"
"Sandy loam"||"15184960"|"15582771"
"Sandy clay loam"||"15184960"|"15734115"
"Sandy clay"||"15184961"|"15885459"
"Fine sandy loam"||"15184962"|"15431428"
"Fine sand"||"15184963"|"15582772"
"Loamy sand"||"15184964"|"15734116"
"Fine sand"||"15184977"|"15885463"
"Fine sand"||"15184978"|"15431432"
"Sandy loam"||"15425252"|"15795466"
"Loamy sand"||"15425253"|"15946810"
"Sand"||"15425254"|"15492779"
"Fine sandy loam"||"15425269"|"15946814"
"Sandy clay loam"||"15425553"|"15492856"
"Sand"||"15425554"|"15644200"
"Sandy loam"||"15425555"|"15795544"
