"Backslope"|"2398039"|"567635"
"Backslope"|"2398040"|"567997"
"Backslope"|"2398041"|"568359"
"Summit"|"2398043"|"567636"
"Backslope"|"2398043"|"568721"
"Toeslope"|"2398063"|"567638"
"Footslope"|"2398063"|"568000"
"Backslope"|"2398262"|"568745"
"Summit"|"2398263"|"567660"
"Backslope"|"2398264"|"568022"
"Backslope"|"2398265"|"568384"
"Summit"|"2398483"|"567680"
"Backslope"|"2398483"|"568765"
"Backslope"|"2398489"|"568043"
"Summit"|"2398704"|"568066"
"Backslope"|"2398705"|"568428"
"Backslope"|"2398710"|"568067"
"Footslope"|"2398720"|"568430"
"Backslope"|"2398925"|"568449"
"Backslope"|"2398928"|"568811"
"Summit"|"2398929"|"567726"
"Backslope"|"2398941"|"568813"
"Summit"|"2398942"|"567728"
"Backslope"|"2398950"|"568090"
"Shoulder"|"2398950"|"568452"
"Backslope"|"2399148"|"568473"
"Summit"|"2399148"|"568835"
"Backslope"|"2399152"|"567750"
"Backslope"|"2399370"|"567773"
"Backslope"|"2399593"|"568520"
"Toeslope"|"2399615"|"568522"
"Footslope"|"2399615"|"568884"
"Backslope"|"2399814"|"567821"
"Backslope"|"2399816"|"568183"
"Footslope"|"2399837"|"567824"
"Footslope"|"2399850"|"568186"
"Backslope"|"2400037"|"567842"
"Summit"|"2400037"|"568204"
"Backslope"|"2400039"|"568566"
"Backslope"|"2400049"|"568207"
"Backslope"|"2400256"|"568948"
"Footslope"|"2400475"|"568607"
"Summit"|"2400477"|"568969"
"Backslope"|"2400478"|"567884"
"Summit"|"2400479"|"568246"
"Backslope"|"2400480"|"568608"
"Backslope"|"2400491"|"568612"
"Footslope"|"2400502"|"567889"
"Toeslope"|"2400502"|"568974"
"Backslope"|"2400698"|"568994"
"Toeslope"|"2400722"|"568273"
"Footslope"|"2400722"|"568635"
"Summit"|"2400925"|"568655"
"Backslope"|"2401362"|"568696"
"Backslope"|"2401388"|"568337"
