"g"|"7948218"|"1532482"
"t"|"7948218"|"1533408"
"w"|"7949430"|"1533447"
|"7949521"|"1532526"
"p"|"7949522"|"1533452"
"g"|"7949524"|"1530674"
"t"|"7949534"|"1530677"
"g"|"7949535"|"1531604"
"p"|"7970273"|"1533508"
"d"|"7970274"|"1530730"
"g"|"7970361"|"1533514"
"p"|"7970362"|"1530736"
"p"|"7970364"|"1531663"
"t"|"7970365"|"1532589"
"b"|"7970365"|"1533515"
"p"|"7970366"|"1530737"
"t"|"7970389"|"1533519"
"p"|"7989895"|"1532607"
"t"|"7989897"|"1533533"
"p"|"7991185"|"1533570"
"w"|"7991191"|"1533571"
"t"|"8010740"|"1533592"
"t"|"8010743"|"1530814"
"w"|"8011276"|"1530838"
"p"|"8011939"|"1533623"
"p"|"8012028"|"1532702"
"g"|"8012030"|"1533628"
"p"|"8012034"|"1533629"
"g"|"8012039"|"1533630"
"g"|"8012040"|"1530852"
"w"|"8032796"|"1532758"
"p"|"8032838"|"1531835"
"g"|"8032839"|"1532761"
"p"|"8032852"|"1532763"
"t"|"8052378"|"1530927"
"t"|"8052379"|"1531854"
"g"|"8052385"|"1532780"
"w"|"8052516"|"1530939"
"t"|"8053590"|"1530959"
"p"|"8053678"|"1530963"
"g"|"8053679"|"1531890"
"p"|"8053680"|"1532816"
"g"|"8053681"|"1533742"
"g"|"8053683"|"1531891"
"t"|"8053706"|"1533745"
"t"|"8073212"|"1532835"
"p"|"8074496"|"1531016"
"p"|"8074501"|"1531017"
"t"|"8074502"|"1531944"
"g"|"8074502"|"1532870"
"w"|"8074514"|"1532872"
"t"|"8074526"|"1532874"
"t"|"8094057"|"1531038"
"p"|"8094059"|"1531965"
"g"|"8094199"|"1531050"
"w"|"8095256"|"1532001"
"w"|"8095345"|"1532932"
"g"|"8095346"|"1533858"
"p"|"8095347"|"1531080"
"p"|"8095348"|"1532007"
"p"|"8095350"|"1533859"
"w"|"8095351"|"1531081"
"g"|"8095356"|"1532009"
"w"|"8095359"|"1532935"
"w"|"8114851"|"1531099"
"p"|"8116154"|"1531137"
"g"|"8116156"|"1532064"
"p"|"8116157"|"1532990"
"w"|"8116166"|"1532066"
"w"|"8116169"|"1532992"
"t"|"8135693"|"1532085"
"g"|"8135696"|"1533011"
"t"|"8135696"|"1533937"
"t"|"8136907"|"1532119"
"p"|"8136994"|"1533048"
"w"|"8136995"|"1533974"
"g"|"8136996"|"1531196"
"w"|"8136997"|"1532123"
"t"|"8136998"|"1533049"
"g"|"8136998"|"1533975"
"g"|"8137000"|"1532124"
"g"|"8137005"|"1531198"
"t"|"8137023"|"1533979"
"t"|"8156529"|"1531216"
"t"|"8156530"|"1532143"
"w"|"8157813"|"1534031"
"g"|"8157818"|"1531254"
"t"|"8157819"|"1532181"
"g"|"8157819"|"1533107"
"g"|"8177516"|"1532213"
"p"|"8178663"|"1533159"
"g"|"8178665"|"1534085"
"g"|"8178667"|"1533160"
"g"|"8178673"|"1531309"
"t"|"8198159"|"1534105"
"p"|"8198167"|"1531327"
"p"|"8199379"|"1534139"
"w"|"8199470"|"1532292"
"w"|"8199471"|"1533218"
"w"|"8199473"|"1534144"
"g"|"8199484"|"1533221"
"w"|"8199485"|"1534147"
"p"|"8219011"|"1534165"
"t"|"8220222"|"1531421"
"t"|"8220223"|"1532348"
"w"|"8220267"|"1534201"
"g"|"8220310"|"1534204"
"g"|"8220311"|"1531426"
"g"|"8220313"|"1532353"
"x"|"8220314"|"1531427"
"t"|"8220314"|"1533279"
"g"|"8220314"|"1534205"
"g"|"8220321"|"1533281"
"p"|"8220338"|"1532358"
"d"|"8220339"|"1533284"
"t"|"8239843"|"1532373"
"x"|"8239846"|"1533299"
"t"|"8239846"|"1534225"
"g"|"8241134"|"1534260"
"t"|"8241135"|"1531482"
"g"|"8241135"|"1532409"
"p"|"8241140"|"1534261"
"p"|"8241147"|"1534262"
"t"|"8260692"|"1531501"
"g"|"8261226"|"1534306"
"g"|"8261935"|"1532463"
"p"|"8261978"|"1534316"
"g"|"8261979"|"1531538"
"g"|"8261981"|"1532465"
"g"|"8261983"|"1532466"
"p"|"8261989"|"1532467"
"p"|"8261991"|"1533393"
