|8||"ULPA"|"Ulmus parvifolia"|"Chinese elm"|"2964391"|"15891259"
|3||"CAAR18"|"Caragana arborescens"|"Siberian peashrub"|"2964391"|"15891258"
|5||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2964391"|"15684790"
|3||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2964391"|"15994492"
|2||"JUSC2"|"Juniperus scopulorum"|"Rocky Mountain juniper"|"2964391"|"15788025"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2964392"|"15891268"
|5||"PIPO"|"Pinus ponderosa"|"ponderosa pine"|"2964392"|"15994503"
|9||"ULPU"|"Ulmus pumila"|"Siberian elm"|"2964392"|"15684802"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2964392"|"15994502"
|5||"CEOC"|"Celtis occidentalis"|"hackberry"|"2964392"|"15788034"
|3||"PRVI"|"Prunus virginiana"|"common chokecherry"|"2964392"|"15684801"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2964392"|"15788035"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2964392"|"15994504"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"2964392"|"15891270"
|5||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2964392"|"15788036"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2964392"|"15891269"
|7||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2964392"|"15684800"
|7||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2964393"|"15891280"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2964393"|"15684810"
|2||"CAAR18"|"Caragana arborescens"|"Siberian peashrub"|"2964393"|"15891279"
|4||"UNKNOWN"|"unknown scientific name"|"Manchurian crabapple"|"2964393"|"15684812"
|2||"PRVI"|"Prunus virginiana"|"common chokecherry"|"2964393"|"15994515"
|5||"CEOC"|"Celtis occidentalis"|"hackberry"|"2964393"|"15994513"
|5||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2964393"|"15788046"
|9||"ULPU"|"Ulmus pumila"|"Siberian elm"|"2964393"|"15788045"
|7||"PIPO"|"Pinus ponderosa"|"ponderosa pine"|"2964393"|"15788047"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2964393"|"15684811"
|4||"JUSC2"|"Juniperus scopulorum"|"Rocky Mountain juniper"|"2964393"|"15994514"
|2||"PRAM"|"Prunus americana"|"American plum"|"2964393"|"15891281"
|8||"ULPU"|"Ulmus pumila"|"Siberian elm"|"2964431"|"15684914"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2964431"|"15891381"
|6||"PIPO"|"Pinus ponderosa"|"ponderosa pine"|"2964431"|"15788148"
|5||"JUSC2"|"Juniperus scopulorum"|"Rocky Mountain juniper"|"2964431"|"15994615"
|8||"CEOC"|"Celtis occidentalis"|"hackberry"|"2964431"|"15788147"
|2||"PRAM"|"Prunus americana"|"American plum"|"2964431"|"15891382"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2964431"|"15684913"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2964431"|"15994616"
|7||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965201"|"15789982"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965201"|"15686747"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965201"|"15996447"
|8||"PIST"|"Pinus strobus"|"eastern white pine"|"2965201"|"15686746"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965201"|"15789980"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965201"|"15893216"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965201"|"15996448"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965201"|"15893214"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965201"|"15893215"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965201"|"15789981"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"2965201"|"15996449"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965201"|"15686745"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965202"|"15996460"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"2965202"|"15893225"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965202"|"15686759"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965202"|"15789994"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965202"|"15789993"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965202"|"15893227"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965202"|"15789992"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965202"|"15686758"
|8||"PIST"|"Pinus strobus"|"eastern white pine"|"2965202"|"15996461"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965202"|"15893226"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965202"|"15996459"
|7||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965202"|"15686757"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965204"|"15686778"
|7||"PIBA2"|"Pinus banksiana"|"jack pine"|"2965204"|"15996482"
|6||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965204"|"15996480"
|7||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965204"|"15893247"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965204"|"15686779"
|3||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965204"|"15790013"
|5||"UNKNOWN"|"unknown scientific name"|"Manchurian crabapple"|"2965204"|"15893248"
|7||"PINI"|"Pinus nigra"|"Austrian pine"|"2965204"|"15686780"
|3||"CAAR18"|"Caragana arborescens"|"Siberian peashrub"|"2965204"|"15893246"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965204"|"15790014"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965204"|"15790015"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965204"|"15996481"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965205"|"15790026"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965205"|"15686790"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965205"|"15893258"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"2965205"|"15996492"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965205"|"15996494"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965205"|"15686792"
|2||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965205"|"15893259"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965205"|"15893260"
|8||"PISY"|"Pinus sylvestris"|"Scotch pine"|"2965205"|"15790027"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965205"|"15686791"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965205"|"15790025"
|7||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965205"|"15996493"
