"ML"|"No "|"7932649"|"15569184"
"CH"|"No "|"7932649"|"15730837"
"CL"|"No "|"7932649"|"15892491"
"MH"|"No "|"7932649"|"16054144"
"CL"|"No "|"7932650"|"15730838"
"ML"|"No "|"7932651"|"15892492"
"SM"|"No "|"7932651"|"16054145"
"CH"|"No "|"7932652"|"15569185"
"CL"|"No "|"7932652"|"15730839"
"CL"|"No "|"7932653"|"15892493"
"CL"|"No "|"7932654"|"15569186"
"CH"|"No "|"7932654"|"16054146"
"SC"|"No "|"7932655"|"15730840"
"SC-SM"|"No "|"7932655"|"15892494"
"SM"|"No "|"7932655"|"16054147"
"CL"|"No "|"7932728"|"15730877"
"SC"|"No "|"7932728"|"15892531"
"ML"|"No "|"7932729"|"15569224"
"CL"|"No "|"7932729"|"16054184"
"SC-SM"|"No "|"7932730"|"15569225"
"CL"|"No "|"7932730"|"15730878"
"CL-ML"|"No "|"7932730"|"15892532"
"SC"|"No "|"7932730"|"16054185"
"SM"|"No "|"7932731"|"15569226"
"CL"|"No "|"7932731"|"15730879"
"ML"|"No "|"7932731"|"15892533"
"SC"|"No "|"7932731"|"16054186"
"CL"|"No "|"7932749"|"16054197"
"CL"|"No "|"7932750"|"15569237"
"CL-ML"|"No "|"7932750"|"15730891"
"SC"|"No "|"7932750"|"15892545"
"SC-SM"|"No "|"7932750"|"16054198"
"CL"|"No "|"7932751"|"15569238"
"CL-ML"|"No "|"7932751"|"15730892"
"CL"|"No "|"7932752"|"15892546"
"CL"|"No "|"7932753"|"16054199"
"CL"|"No "|"7932770"|"15569247"
"CL-ML"|"No "|"7932770"|"15730901"
"ML"|"No "|"7932770"|"15892555"
"CL-ML"|"No "|"7932771"|"15569248"
"CL"|"No "|"7932771"|"16054208"
"CL"|"No "|"7932840"|"15892593"
"CL-ML"|"No "|"7932840"|"16054246"
"CL-ML"|"No "|"7932841"|"15569286"
"SC"|"No "|"7932841"|"15730940"
"SC-SM"|"No "|"7932841"|"15892594"
"SM"|"No "|"7932841"|"16054247"
"CL"|"No "|"7932842"|"15569287"
"ML"|"No "|"7932842"|"15730941"
"SC"|"No "|"7932842"|"15892595"
"SM"|"No "|"7932842"|"16054248"
"CL"|"No "|"7932843"|"15569288"
"ML"|"No "|"7932843"|"15730942"
"SC"|"No "|"7932843"|"15892596"
"SM"|"No "|"7932843"|"16054249"
"CL"|"No "|"7932844"|"15569289"
"GC"|"No "|"7932844"|"15730943"
"SC"|"No "|"7932844"|"15892597"
"CL"|"No "|"7932845"|"15569290"
"CH"|"No "|"7932845"|"16054250"
"CL"|"No "|"7932908"|"15569324"
"CL-ML"|"No "|"7932908"|"15730978"
"ML"|"No "|"7932909"|"15569325"
"CL"|"No "|"7932909"|"15892632"
"CL-ML"|"No "|"7932909"|"16054285"
"CL"|"No "|"7932910"|"15730979"
"CL-ML"|"No "|"7932910"|"15892633"
"ML"|"No "|"7932910"|"16054286"
"CL"|"No "|"7932911"|"15569326"
"CL-ML"|"No "|"7932911"|"15730980"
"ML"|"No "|"7932911"|"15892634"
"SM"|"No "|"7932911"|"16054287"
"CH"|"No "|"7932927"|"15569334"
"CL"|"No "|"7932927"|"15730988"
"CL"|"No "|"7932928"|"15892642"
"CL-ML"|"No "|"7932928"|"16054295"
"CL"|"No "|"7932929"|"15569335"
"CL"|"No "|"7932930"|"15730989"
"CL-ML"|"No "|"7932930"|"15892643"
"CL-ML"|"No "|"7932931"|"15569336"
"ML"|"No "|"7932931"|"15730990"
"CL"|"No "|"7932931"|"16054296"
"CL"|"No "|"7932932"|"15892644"
"ML"|"No "|"7932932"|"16054297"
"CH"|"No "|"7932943"|"15730997"
"CL"|"No "|"7932943"|"15892651"
"CL-ML"|"No "|"7932944"|"15569344"
"CL"|"No "|"7932944"|"16054304"
"CL"|"No "|"7932945"|"15730998"
"CL"|"No "|"7932946"|"15892652"
"ML"|"No "|"7932946"|"16054305"
"CL"|"No "|"7932947"|"15569345"
"CL-ML"|"No "|"7932947"|"15730999"
"ML"|"No "|"7932947"|"15892653"
"CL"|"No "|"7932953"|"15569349"
"GM"|"No "|"7932953"|"15731003"
"SC"|"No "|"7932953"|"15892657"
"SM"|"No "|"7932953"|"16054310"
"CL"|"No "|"7932954"|"15569350"
