"CL"|"No "|"7929525"|"15891183"
"CL-ML"|"No "|"7929526"|"15567876"
"ML"|"No "|"7929526"|"15729530"
"CL"|"No "|"7929526"|"16052836"
"SC-SM"|"No "|"7929527"|"15891184"
"SM"|"No "|"7929527"|"16052837"
"CL"|"No "|"7929541"|"15567883"
"SC"|"No "|"7929541"|"15729537"
"CL"|"No "|"7929542"|"15891191"
"SC"|"No "|"7929542"|"16052844"
"CL"|"No "|"7929543"|"15567884"
"CL-ML"|"No "|"7929543"|"15729538"
"ML"|"No "|"7929543"|"15891192"
"CL"|"No "|"7929551"|"15891196"
"SC"|"No "|"7929551"|"16052849"
"CH"|"No "|"7929552"|"15567889"
"CL"|"No "|"7929552"|"15729543"
"SC"|"No "|"7929552"|"15891197"
"CL-ML"|"No "|"7929553"|"15567890"
"CL"|"No "|"7929553"|"16052850"
"SM"|"No "|"7929554"|"15567891"
"CL-ML"|"No "|"7929554"|"15729544"
"ML"|"No "|"7929554"|"15891198"
"SC-SM"|"No "|"7929554"|"16052851"
"CH"|"No "|"7929555"|"15729545"
"CL"|"No "|"7929555"|"15891199"
"SC"|"No "|"7929555"|"16052852"
"CL-ML"|"No "|"7929556"|"15567892"
"ML"|"No "|"7929556"|"15729546"
"SM"|"No "|"7929557"|"15891200"
"CL-ML"|"No "|"7929558"|"15567893"
"ML"|"No "|"7929558"|"15729547"
"CL"|"No "|"7929558"|"16052853"
"CL"|"No "|"7929559"|"15891201"
"CL-ML"|"No "|"7929560"|"15567894"
"CL"|"No "|"7929560"|"16052854"
"CL"|"No "|"7929561"|"15729548"
"CL-ML"|"No "|"7929561"|"15891202"
"ML"|"No "|"7929562"|"15567895"
"CL-ML"|"No "|"7929562"|"16052855"
"CL"|"No "|"7929563"|"15729549"
"CL-ML"|"No "|"7929563"|"15891203"
"ML"|"No "|"7929563"|"16052856"
"CL-ML"|"No "|"7929576"|"15567903"
"ML"|"No "|"7929576"|"15729557"
"SC-SM"|"No "|"7929576"|"15891211"
"SM"|"No "|"7929576"|"16052864"
"CL"|"No "|"7929577"|"15567904"
"ML"|"No "|"7929577"|"15729558"
"SC"|"No "|"7929577"|"15891212"
"SM"|"No "|"7929577"|"16052865"
"SM"|"No "|"7929578"|"15567905"
"SC"|"No "|"7929579"|"15567906"
"SM"|"No "|"7929579"|"15729559"
"GC-GM"|"No "|"7929579"|"15891213"
"GM"|"No "|"7929579"|"16052866"
"CL-ML"|"No "|"7937613"|"15571663"
"ML"|"No "|"7937613"|"15733317"
"SC-SM"|"No "|"7937613"|"15894971"
"SM"|"No "|"7937613"|"16056624"
"SM"|"No "|"7937614"|"15571664"
"SP-SM"|"No "|"7937614"|"15733318"
"CL"|"No "|"7937616"|"15894972"
"CL-ML"|"No "|"7937617"|"15571665"
"ML"|"No "|"7937617"|"15733319"
"OL"|"No "|"7937617"|"15894973"
"CL"|"No "|"7937617"|"16056625"
"CL-ML"|"No "|"7937618"|"15571666"
"CL"|"No "|"7937618"|"16056626"
"OL"|"No "|"7937619"|"15571667"
"CL"|"No "|"7937619"|"15733320"
"CL-ML"|"No "|"7937619"|"15894974"
"ML"|"No "|"7937619"|"16056627"
"SC-SM"|"No "|"7937620"|"15571668"
"CL"|"No "|"7937620"|"15733321"
"CL-ML"|"No "|"7937620"|"15894975"
"SC"|"No "|"7937620"|"16056628"
"CL"|"No "|"7937621"|"15733322"
"CL"|"No "|"7937622"|"15894976"
"OH"|"No "|"7937623"|"15571669"
"MH"|"No "|"7937623"|"16056629"
"SC-SM"|"No "|"7937624"|"15571670"
"CL"|"No "|"7937624"|"15733323"
"CL-ML"|"No "|"7937624"|"15894977"
"SC"|"No "|"7937624"|"16056630"
"SC-SM"|"No "|"7937625"|"15733324"
"SM"|"No "|"7937625"|"15894978"
"CL-ML"|"No "|"7937626"|"15571671"
"CL"|"No "|"7937626"|"16056631"
"CL"|"No "|"7937627"|"15733325"
"CL"|"No "|"7937628"|"15894979"
"CL-ML"|"No "|"7937629"|"15571672"
"CL"|"No "|"7937629"|"16056632"
"CL"|"No "|"7937630"|"15733326"
"SC-SM"|"No "|"7937631"|"15571673"
"SM"|"No "|"7937631"|"15733327"
"CL-ML"|"No "|"7937631"|"15894980"
"ML"|"No "|"7937631"|"16056633"
"CL"|"No "|"7937632"|"15894981"
"ML"|"No "|"7937633"|"15571674"
"SC"|"No "|"7937633"|"15733328"
"SM"|"No "|"7937633"|"15894982"
"CL"|"No "|"7937633"|"16056634"
"CL"|"No "|"7937634"|"16056635"
"CL"|"No "|"7937635"|"15571675"
"SC"|"No "|"7937635"|"15733329"
"ML"|"No "|"7937636"|"15571676"
"CL"|"No "|"7937636"|"15894983"
"CL-ML"|"No "|"7937636"|"16056636"
"CL"|"No "|"7937637"|"15733330"
"ML"|"No "|"7937637"|"15894984"
"CL-ML"|"No "|"7937638"|"15571677"
"ML"|"No "|"7937638"|"15733331"
"CL"|"No "|"7937638"|"16056637"
"SM"|"No "|"7937639"|"15894985"
"SP-SM"|"No "|"7937639"|"16056638"
"CL"|"No "|"7937640"|"15571678"
"ML"|"No "|"7937640"|"15733332"
"CL-ML"|"No "|"7937641"|"15894986"
"ML"|"No "|"7937641"|"16056639"
"CL"|"No "|"7937642"|"15571679"
"CL"|"No "|"7937643"|"15733333"
"CL-ML"|"No "|"7937643"|"15894987"
"ML"|"No "|"7937643"|"16056640"
"SP-SM"|"No "|"7937644"|"15571680"
"SM"|"No "|"7937644"|"15733334"
"CH"|"No "|"7937645"|"15894988"
"CL"|"No "|"7937646"|"16056641"
"CH"|"No "|"7937647"|"15571681"
"CL"|"No "|"7937647"|"15733335"
"CH"|"No "|"7937648"|"15894989"
"CL"|"No "|"7937648"|"16056642"
"CH"|"No "|"7937649"|"15571682"
"CL"|"No "|"7937650"|"15733336"
"CL-ML"|"No "|"7937650"|"15894990"
"ML"|"No "|"7937650"|"16056643"
"PT"|"No "|"7937651"|"15571683"
"MH"|"No "|"7937652"|"15733337"
"OH"|"No "|"7937652"|"15894991"
"ML"|"No "|"7937653"|"15571684"
"CL-ML"|"No "|"7937653"|"16056644"
"MH"|"No "|"7937654"|"15733338"
"OH"|"No "|"7937654"|"15894992"
"CL"|"No "|"7937655"|"15571685"
"MH"|"No "|"7937655"|"15733339"
"ML"|"No "|"7937655"|"15894993"
"CH"|"No "|"7937655"|"16056645"
"CL-ML"|"No "|"7937657"|"15571686"
"ML"|"No "|"7937657"|"15733340"
"CL"|"No "|"7937657"|"16056646"
"CL"|"No "|"7937658"|"15894994"
"CL-ML"|"No "|"7937658"|"16056647"
"CL"|"No "|"7937659"|"15571687"
"CL-ML"|"No "|"7937659"|"15733341"
"ML"|"No "|"7937659"|"15894995"
"OH"|"No "|"7937660"|"15571688"
"MH"|"No "|"7937660"|"16056648"
"CL"|"No "|"7937661"|"15733342"
"CH"|"No "|"7937662"|"15894996"
"PT"|"No "|"7937663"|"16056649"
"CH"|"No "|"7937664"|"15571689"
"MH"|"No "|"7937664"|"15733343"
"OH"|"No "|"7937664"|"15894997"
"CL"|"No "|"7937665"|"16056650"
"CL"|"No "|"7937666"|"15571690"
"ML"|"No "|"7937666"|"15733344"
"CL"|"No "|"7937667"|"15894998"
"CL-ML"|"No "|"7937667"|"16056651"
"CH"|"No "|"7937668"|"15571691"
"CH"|"No "|"7937669"|"15733345"
