"Silty clay loam"||"15147785"|"15573287"
"Silty clay loam"||"15147786"|"15724631"
"Silt loam"||"15149321"|"15876369"
"Silt loam"||"15149322"|"15422338"
"Clay"||"15149323"|"15573682"
"Fine sandy loam"||"15149324"|"15725026"
"Silt loam"||"15149338"|"15422342"
"Clay loam"||"15149339"|"15573686"
"Loam"||"15149340"|"15725030"
"Sandy loam"||"15149341"|"15876374"
"Sandy loam"||"15149355"|"15573690"
"Loam"||"15149356"|"15725034"
"Silty clay loam"||"15149357"|"15876378"
"Sandy loam"||"15149358"|"15422347"
"Silt loam"||"15153066"|"15725984"
"Silty clay loam"||"15153067"|"15877328"
"Clay"||"15153068"|"15423297"
"Silty clay loam"||"15153081"|"15725988"
"Clay"||"15153082"|"15877332"
"Silty clay loam"||"15153083"|"15423301"
"Loam"||"15153084"|"15574645"
"Silty clay"||"15153085"|"15725989"
"Clay"||"15154587"|"15877713"
"Clay loam"||"15154588"|"15423682"
"Clay loam"||"15154603"|"15877717"
"Silt loam"||"15154604"|"15423686"
"Silt loam"||"15154605"|"15575030"
"Fine sandy loam"||"15154619"|"15877721"
"Loam"||"15154620"|"15423690"
"Sand"||"15154621"|"15575034"
"Fine sandy loam"||"15155555"|"15877958"
"Sandy clay loam"||"15155556"|"15423927"
"Sand"||"15156994"|"15878325"
"Sandy loam"||"15156995"|"15424294"
"Sandy loam"||"15158563"|"15424697"
"Loam"||"15158564"|"15576041"
"Sandy clay loam"||"15158565"|"15727385"
"Loam"||"15158566"|"15878729"
"Silt loam"||"15158580"|"15576045"
"Fine sandy loam"||"15158581"|"15727389"
"Loam"||"15158582"|"15878733"
|"Weathered bedrock"|"15158583"|"15424702"
"Silty clay loam"||"15158597"|"15727393"
"Silt loam"||"15158598"|"15878737"
"Loam"||"15158599"|"15424706"
"Sandy clay loam"||"15158600"|"15576050"
"Loam"||"15163846"|"15728734"
"Sandy loam"||"15163847"|"15880078"
"Clay"||"15163864"|"15426051"
"Sandy clay loam"||"15167839"|"15729751"
"Loamy sand"||"15167840"|"15881095"
"Silt loam"||"15167841"|"15427064"
"Sandy clay loam"||"15167842"|"15578408"
"Silt loam"||"15167855"|"15729755"
"Sandy loam"||"15167856"|"15881099"
"Silt loam"||"15167857"|"15427068"
"Silty clay loam"||"15167858"|"15578412"
"Silt loam"||"15167872"|"15881103"
"Clay loam"||"15167873"|"15427072"
"Clay loam"||"15167874"|"15578416"
"Silt loam"||"15167875"|"15729760"
"Silty clay loam"||"15167889"|"15427076"
"Sandy loam"||"15167890"|"15578420"
"Fine sandy loam"||"15167891"|"15729764"
"Silt loam"||"15171632"|"15730720"
"Clay"||"15171633"|"15882064"
"Silty clay"||"15171634"|"15428033"
|"Weathered bedrock"|"15171635"|"15579377"
"Sandy loam"||"15173105"|"15579749"
"Sandy loam"||"15174075"|"15428651"
"Sandy loam"||"15174089"|"15731342"
"Clay loam"||"15174090"|"15882686"
"Silt loam"||"15175576"|"15429032"
"Fine sand"||"15175577"|"15580376"
"Fine sandy loam"||"15177133"|"15883462"
"Sand"||"15177134"|"15429431"
"Silt loam"||"15177147"|"15732122"
"Sandy loam"||"15177148"|"15883466"
"Sandy loam"||"15177149"|"15429435"
"Sandy clay loam"||"15177150"|"15580779"
"Sandy clay loam"||"15177151"|"15732123"
"Silt loam"||"15177164"|"15883470"
"Silt loam"||"15177165"|"15429439"
"Silt loam"||"15177166"|"15580783"
"Silty clay loam"||"15177167"|"15732127"
"Sandy loam"||"15177181"|"15580787"
"Sandy clay loam"||"15177182"|"15732131"
"Silty clay"||"15177183"|"15883475"
"Loam"||"15177184"|"15429444"
"Silt loam"||"15180941"|"15581747"
"Clay loam"||"15180942"|"15733091"
"Clay loam"||"15180943"|"15884435"
"Sandy loam"||"15180944"|"15430404"
"Loam"||"15180958"|"15733095"
"Silt loam"||"15180959"|"15884439"
"Silty clay loam"||"15180960"|"15430408"
"Loam"||"15180961"|"15581752"
"Sandy clay loam"||"15182413"|"15430779"
"Clay"||"15182429"|"15582127"
"Silt loam"||"15182430"|"15733471"
"Clay loam"||"15182431"|"15884815"
"Loam"||"15182432"|"15430784"
"Fine sandy loam"||"15182445"|"15582131"
"Fine sandy loam"||"15182446"|"15733475"
"Sandy clay loam"||"15182447"|"15884819"
"Silt loam"||"15184872"|"15582749"
"Silty clay loam"||"15186406"|"15431799"
"Clay"||"15186407"|"15583143"
"Loamy sand"||"15186407"|"15734487"
"Loamy fine sand"||"15186408"|"15885831"
"Silt loam"||"15186409"|"15431800"
"Sandy loam"||"15186423"|"15734491"
"Silt loam"||"15186424"|"15885835"
"Clay loam"||"15186425"|"15431804"
"Sand"||"15186426"|"15583148"
"Silt"||"15186426"|"15734492"
"Silt loam"||"15186440"|"15583152"
"Sandy loam"||"15186441"|"15734496"
"Silt loam"||"15186442"|"15885840"
"Silt loam"||"15186443"|"15431809"
"Sandy clay loam"||"15190119"|"15886779"
|"Weathered bedrock"|"15190166"|"15735447"
|"Weathered bedrock"|"15190167"|"15886791"
|"Weathered bedrock"|"15190168"|"15432760"
"Silty clay loam"||"15190183"|"15886795"
"Silt loam"||"15190184"|"15432764"
"Silt loam"||"15190185"|"15584108"
"Loam"||"15190186"|"15735452"
"Loam"||"15191623"|"15584475"
"Sandy clay loam"||"15191624"|"15735819"
"Sandy loam"||"15191638"|"15433135"
"Silty clay loam"||"15191638"|"15584479"
"Silty clay"||"15191654"|"15584483"
"Clay loam"||"15191655"|"15735827"
"Fine sandy loam"||"15191656"|"15887171"
"Sandy loam"||"15192608"|"15433382"
"Loamy sand"||"15195615"|"15434151"
"Sand"||"15195616"|"15585495"
"Loam"||"15195617"|"15736839"
|"Weathered bedrock"|"15195618"|"15888183"
"Loam"||"15195631"|"15585499"
"Loam"||"15195632"|"15736843"
"Clay loam"||"15195633"|"15888187"
"Silt loam"||"15195634"|"15434156"
"Clay"||"15195635"|"15585500"
"Loamy sand"||"15195648"|"15434160"
"Sandy clay loam"||"15195649"|"15585504"
"Silty clay loam"||"15195650"|"15736848"
"Loam"||"15195651"|"15888192"
"Loam"||"15199326"|"15586443"
"Clay"||"15199327"|"15737787"
"Silt loam"||"15199328"|"15889131"
"Loam"||"15200832"|"15738170"
"Clay loam"||"15200847"|"15586830"
"Silt loam"||"15200848"|"15738174"
"Clay loam"||"15200849"|"15889518"
"Coarse sand"||"15200862"|"15586834"
"Clay loam"||"15200863"|"15738178"
"Silty clay loam"||"15200864"|"15889522"
"Sand"||"15203270"|"15890135"
"Sandy loam"||"15203271"|"15436104"
"Silty clay"||"15203272"|"15587448"
"Sandy clay loam"||"15204823"|"15436502"
"Sand"||"15204824"|"15587846"
"Sandy clay loam"||"15204825"|"15739190"
"Loam"||"15204826"|"15890534"
"Silty clay loam"||"15204840"|"15587850"
"Silt loam"||"15204841"|"15739194"
"Loam"||"15204842"|"15890538"
"Silt loam"||"15204843"|"15436507"
"Silt loam"||"15204857"|"15436511"
"Sand"||"15204858"|"15587855"
"Loam"||"15204859"|"15739199"
"Silty clay loam"||"15204860"|"15890543"
"Loam"||"15208617"|"15588816"
|"Unweathered bedrock"|"15208618"|"15740160"
"Clay loam"||"15208619"|"15891504"
"Silt loam"||"15149329"|"15876371"
"Fine sandy loam"||"15149330"|"15422340"
"Sandy clay loam"||"15149331"|"15573684"
"Loam"||"15149332"|"15725028"
|"Unweathered bedrock"|"15149333"|"15876372"
"Clay loam"||"15149346"|"15422344"
"Silty clay loam"||"15149347"|"15573688"
"Clay loam"||"15149348"|"15725032"
"Loam"||"15149349"|"15876376"
"Sandy loam"||"15149363"|"15725036"
"Silty clay loam"||"15153040"|"15423290"
"Sandy clay loam"||"15153090"|"15423303"
"Silt loam"||"15153091"|"15574647"
"Silt loam"||"15153092"|"15725991"
|"Unweathered bedrock"|"15154594"|"15726371"
"Silt loam"||"15154595"|"15877715"
"Sandy loam"||"15155531"|"15877952"
"Silty clay loam"||"15155532"|"15423921"
"Loam"||"15155533"|"15575265"
"Sandy loam"||"15158555"|"15424695"
"Loamy sand"||"15158556"|"15576039"
"Loamy sand"||"15158557"|"15727383"
"Sandy clay loam"||"15158558"|"15878727"
"Clay loam"||"15158571"|"15424699"
"Sandy loam"||"15158572"|"15576043"
"Sandy loam"||"15158573"|"15727387"
"Silt loam"||"15158574"|"15878731"
"Loamy sand"||"15158575"|"15424700"
"Sandy clay loam"||"15158588"|"15576047"
|"Unweathered bedrock"|"15158589"|"15727391"
"Fine sandy loam"||"15158590"|"15878735"
"Loam"||"15158591"|"15424704"
"Silty clay loam"||"15162351"|"15425666"
"Silty clay loam"||"15162352"|"15577010"
"Silty clay loam"||"15162365"|"15728357"
"Silt loam"||"15162366"|"15879701"
"Loam"||"15162367"|"15425670"
"Silt loam"||"15162368"|"15577014"
"Clay loam"||"15163853"|"15577392"
"Sandy clay loam"||"15163854"|"15728736"
"Loam"||"15163856"|"15426049"
"Silty clay loam"||"15163872"|"15426053"
"Sandy loam"||"15163888"|"15426057"
"Loamy sand"||"15163889"|"15577401"
"Loamy sand"||"15164839"|"15728985"
"Sandy loam"||"15164840"|"15880329"
"Clay"||"15164859"|"15728990"
"Loamy sand"||"15166326"|"15880707"
"Loam"||"15166328"|"15578020"
"Loamy fine sand"||"15167847"|"15729753"
"Sandy loam"||"15167848"|"15881097"
"Clay"||"15167849"|"15427066"
"Sandy clay"||"15167850"|"15578410"
"Clay"||"15167864"|"15881101"
"Loam"||"15167865"|"15427070"
"Clay loam"||"15167866"|"15578414"
"Clay loam"||"15167867"|"15729758"
"Loam"||"15167880"|"15881105"
"Sandy clay loam"||"15167881"|"15427074"
"Loamy sand"||"15167882"|"15578418"
"Silt loam"||"15167883"|"15729762"
"Loam"||"15171593"|"15882054"
"Loam"||"15171594"|"15428023"
|"Weathered bedrock"|"15171624"|"15730718"
"Loam"||"15171641"|"15882066"
|"Unweathered bedrock"|"15173097"|"15579747"
"Loam"||"15173098"|"15731091"
"Silt loam"||"15173111"|"15882438"
"Silt loam"||"15173128"|"15428411"
"Silty clay"||"15173129"|"15579755"
"Loam"||"15173130"|"15731099"
"Sand"||"15173145"|"15731103"
"Loam"||"15177139"|"15580776"
"Sand"||"15177140"|"15732120"
"Sandy clay loam"||"15177140"|"15883464"
"Loamy fine sand"||"15177141"|"15429433"
"Silty clay loam"||"15177142"|"15580777"
"Clay loam"||"15177156"|"15883468"
"Silty clay loam"||"15177157"|"15429437"
"Silt loam"||"15177158"|"15580781"
"Silt loam"||"15177159"|"15732125"
"Loam"||"15177172"|"15883472"
"Sandy clay loam"||"15177173"|"15429441"
"Sandy loam"||"15177174"|"15580785"
"Sandy loam"||"15177175"|"15732129"
"Sandy clay loam"||"15177176"|"15883473"
"Loam"||"15180916"|"15430397"
"Silty clay loam"||"15180917"|"15581741"
"Silt loam"||"15180918"|"15733085"
"Loam"||"15180953"|"15581750"
