"CL"|"No "|"7932799"|"15730915"
"CH"|"No "|"7932800"|"15892569"
"CL"|"No "|"7932800"|"16054222"
"CL"|"No "|"7932801"|"15569262"
"CL-ML"|"No "|"7932801"|"15730916"
"SC"|"No "|"7932801"|"15892570"
"SC-SM"|"No "|"7932801"|"16054223"
"CL"|"No "|"7932802"|"15569263"
"SP-SM"|"No "|"7932803"|"15569264"
"GP"|"No "|"7932803"|"15730917"
"GP-GM"|"No "|"7932803"|"15892571"
"SP"|"No "|"7932803"|"16054224"
"SC"|"No "|"7932804"|"15730918"
"SC-SM"|"No "|"7932804"|"15892572"
"SM"|"No "|"7932804"|"16054225"
"CL"|"No "|"7932805"|"15569265"
"CL-ML"|"No "|"7932805"|"15730919"
"ML"|"No "|"7932805"|"15892573"
"CL-ML"|"No "|"7932806"|"15569266"
"CL"|"No "|"7932806"|"16054226"
"SC"|"No "|"7932807"|"15730920"
"SC-SM"|"No "|"7932807"|"15892574"
"SM"|"No "|"7932807"|"16054227"
"CL"|"No "|"7932808"|"15569267"
"CL-ML"|"No "|"7932808"|"15730921"
"SC"|"No "|"7932830"|"15569279"
"SC-SM"|"No "|"7932830"|"15730933"
"SM"|"No "|"7932830"|"15892587"
"CL"|"No "|"7932831"|"16054240"
"SM"|"No "|"7936726"|"16056194"
"SM"|"No "|"7936727"|"15571234"
"SM"|"No "|"7936728"|"15732888"
"CH"|"No "|"7936729"|"15894542"
"CL"|"No "|"7936730"|"15571235"
"CH"|"No "|"7936730"|"16056195"
"CL"|"No "|"7936731"|"15732889"
"CL"|"No "|"7936732"|"15894543"
"CL"|"No "|"7936759"|"15894558"
"CL-ML"|"No "|"7936759"|"16056211"
"CL"|"No "|"7936760"|"15571251"
"SM"|"No "|"7938881"|"15572377"
"SP-SM"|"No "|"7938881"|"15734031"
"SC-SM"|"No "|"7938881"|"16057337"
"CH"|"No "|"7938882"|"15895685"
"CL"|"No "|"7938882"|"16057338"
"CH"|"No "|"7938883"|"15572378"
"CL"|"No "|"7938883"|"15734032"
"SM"|"No "|"7938884"|"15895686"
"SP-SM"|"No "|"7938884"|"16057339"
"SC-SM"|"No "|"7938885"|"15572379"
"SM"|"No "|"7938885"|"15734033"
"SP-SM"|"No "|"7938885"|"15895687"
"SC-SM"|"No "|"7938886"|"15572380"
"SM"|"No "|"7938886"|"15734034"
"SP-SM"|"No "|"7938886"|"16057340"
"SM"|"No "|"7938887"|"15895688"
"SP-SM"|"No "|"7938887"|"16057341"
"SM"|"No "|"7938888"|"15572381"
"SP"|"No "|"7938888"|"15734035"
"SP-SM"|"No "|"7938888"|"15895689"
"CL"|"No "|"7938889"|"15572382"
"CH"|"No "|"7938889"|"16057342"
"SM"|"No "|"7938890"|"15572383"
"CL"|"No "|"7938890"|"15734036"
"ML"|"No "|"7938890"|"15895690"
"SC"|"No "|"7938890"|"16057343"
"SM"|"No "|"7938891"|"15734037"
"SP"|"No "|"7938891"|"15895691"
"SP-SM"|"No "|"7938891"|"16057344"
"CL"|"No "|"7938892"|"15572384"
"CH"|"No "|"7938893"|"15734038"
"CL"|"No "|"7938893"|"15895692"
"SP-SM"|"No "|"7938894"|"15572385"
"SM"|"No "|"7938894"|"16057345"
"CH"|"No "|"7938895"|"15734039"
"CL"|"No "|"7938895"|"15895693"
"ML"|"No "|"7938896"|"15572386"
"SC"|"No "|"7938896"|"15734040"
"SM"|"No "|"7938896"|"15895694"
"CL"|"No "|"7938896"|"16057346"
"SP-SM"|"No "|"7938897"|"15572387"
"SM"|"No "|"7938897"|"16057347"
"CL"|"No "|"7938898"|"15734041"
"SC-SM"|"No "|"7938899"|"15572388"
"SM"|"No "|"7938899"|"15734042"
"CL-ML"|"No "|"7938899"|"15895695"
"ML"|"No "|"7938899"|"16057348"
"SM"|"No "|"7938900"|"15895696"
"SP-SM"|"No "|"7938901"|"15572389"
"SM"|"No "|"7938901"|"16057349"
"SC-SM"|"No "|"7938902"|"15734043"
