"CH"|"No "|"7935350"|"15893816"
"CL"|"No "|"7935351"|"15570509"
"CH"|"No "|"7935351"|"16055469"
"CH"|"No "|"7935355"|"15893819"
"CL"|"No "|"7935479"|"15570580"
"MH"|"No "|"7935479"|"15732234"
"CH"|"No "|"7935479"|"16055540"
"CH"|"No "|"7935480"|"15893888"
"CL"|"No "|"7935480"|"16055541"
"CL"|"No "|"7937478"|"15894919"
"CL-ML"|"No "|"7937478"|"16056572"
"CL"|"No "|"7937479"|"15571612"
"CL"|"No "|"7937480"|"15733266"
"CL-ML"|"No "|"7937480"|"15894920"
"ML"|"No "|"7937481"|"15571613"
"CL-ML"|"No "|"7937481"|"16056573"
"CL"|"No "|"7937484"|"15571614"
"CL"|"No "|"7937485"|"15733268"
"CL"|"No "|"7937486"|"15894922"
"GC"|"No "|"7937491"|"15571617"
"SC"|"No "|"7937491"|"15733271"
"CL"|"No "|"7937555"|"15571642"
"CL"|"No "|"7937556"|"15733296"
"CL"|"No "|"7937566"|"15894953"
"CL"|"No "|"7937567"|"16056606"
"CL"|"No "|"7937568"|"15571646"
"CH"|"No "|"7937569"|"15733300"
"CL"|"No "|"7937569"|"15894954"
"CL"|"No "|"7937572"|"15894955"
"CL"|"No "|"7937573"|"16056608"
"CL"|"No "|"7937574"|"15571648"
"CL-ML"|"No "|"7937574"|"15733302"
"SC"|"No "|"7937574"|"15894956"
"SC-SM"|"No "|"7937574"|"16056609"
"CH"|"No "|"7937575"|"15571649"
"CL"|"No "|"7937575"|"15733303"
"MH"|"No "|"7937576"|"15894957"
"CL"|"No "|"7937577"|"16056610"
"CH"|"No "|"7937578"|"15571650"
"CH"|"No "|"7937579"|"15733304"
"MH"|"No "|"7937579"|"15894958"
"CL-ML"|"No "|"7937580"|"15571651"
"CL"|"No "|"7937580"|"16056611"
"CL"|"No "|"7937581"|"15733305"
"CL"|"No "|"7937582"|"15894959"
"CL"|"No "|"7937583"|"16056612"
"CL"|"No "|"7937584"|"15571652"
"CL-ML"|"No "|"7937584"|"15733306"
"SC"|"No "|"7937584"|"15894960"
"SC-SM"|"No "|"7937584"|"16056613"
"CL"|"No "|"7937585"|"15571653"
"CL"|"No "|"7937586"|"15733307"
"CL"|"No "|"7937593"|"15571656"
"CL"|"No "|"7937594"|"15733310"
"CL"|"No "|"7937603"|"15733313"
"CL"|"No "|"7937608"|"15571661"
"CL"|"No "|"7937609"|"15733315"
"CH"|"No "|"7939347"|"16057623"
"CH"|"No "|"7939348"|"15572663"
"SM"|"No "|"7939349"|"15572664"
"CL"|"No "|"7939349"|"15734317"
"ML"|"No "|"7939349"|"15895971"
"SC"|"No "|"7939349"|"16057624"
"CL"|"No "|"7939350"|"15734318"
"CL-ML"|"No "|"7939350"|"15895972"
"ML"|"No "|"7939350"|"16057625"
"SC-SM"|"No "|"7939351"|"15572665"
"SM"|"No "|"7939351"|"15734319"
"CL-ML"|"No "|"7939351"|"15895973"
"ML"|"No "|"7939351"|"16057626"
"CL"|"No "|"7939352"|"15572666"
"ML"|"No "|"7939352"|"15734320"
"SC"|"No "|"7939352"|"15895974"
"SM"|"No "|"7939352"|"16057627"
"CL"|"No "|"7939353"|"15572667"
"ML"|"No "|"7939353"|"15734321"
"PT"|"No "|"7939354"|"15895975"
"PT"|"No "|"7939355"|"16057628"
"CH"|"No "|"7939356"|"15572668"
"CL"|"No "|"7939356"|"15734322"
"ML"|"No "|"7939357"|"15572669"
"CL"|"No "|"7939357"|"15895976"
"CL-ML"|"No "|"7939357"|"16057629"
"CH"|"No "|"7939358"|"15734323"
"CL"|"No "|"7939359"|"15895977"
"CL-ML"|"No "|"7939360"|"15572670"
"OL"|"No "|"7939360"|"15734324"
"CL"|"No "|"7939360"|"16057630"
"CL"|"No "|"7939361"|"15895978"
"CL-ML"|"No "|"7939361"|"16057631"
"CL"|"No "|"7939362"|"15572671"
"ML"|"No "|"7939362"|"15734325"
"CL"|"No "|"7939363"|"15895979"
"CL-ML"|"No "|"7939363"|"16057632"
"CL"|"No "|"7939364"|"15572672"
"CL-ML"|"No "|"7939364"|"15734326"
"SC"|"No "|"7939364"|"15895980"
"SC-SM"|"No "|"7939364"|"16057633"
"CH"|"No "|"7939365"|"15572673"
"CL"|"No "|"7939365"|"15734327"
"SP"|"No "|"7939366"|"15895981"
"SP-SM"|"No "|"7939366"|"16057634"
"SM"|"No "|"7939367"|"15572674"
"SP-SM"|"No "|"7939367"|"15734328"
"CH"|"No "|"7939368"|"15895982"
"CL"|"No "|"7939369"|"15572675"
"CH"|"No "|"7939369"|"16057635"
"CL"|"No "|"7939370"|"15734329"
"CH"|"No "|"7939371"|"15895983"
"CL"|"No "|"7939371"|"16057636"
"CL-ML"|"No "|"7939372"|"15572676"
"ML"|"No "|"7939372"|"15734330"
"CL"|"No "|"7939373"|"15895984"
"CL"|"No "|"7939374"|"15572677"
"CH"|"No "|"7939374"|"16057637"
"CL"|"No "|"7939375"|"15734331"
"CL-ML"|"No "|"7939375"|"15895985"
"ML"|"No "|"7939375"|"16057638"
"GM"|"No "|"7939376"|"15572678"
"SC-SM"|"No "|"7939376"|"15734332"
"SM"|"No "|"7939376"|"15895986"
"SP-SM"|"No "|"7939376"|"16057639"
"SM"|"No "|"7939377"|"15572679"
"SP-SM"|"No "|"7939377"|"15734333"
"SM"|"No "|"7939378"|"15895987"
"SP-SM"|"No "|"7939378"|"16057640"
"ML"|"No "|"7939379"|"15572680"
"SM"|"No "|"7939379"|"15734334"
"PT"|"No "|"7939380"|"15895988"
"SP-SM"|"No "|"7939381"|"15572681"
"SM"|"No "|"7939381"|"16057641"
"SP"|"No "|"7939382"|"15734335"
