"Clay loam"||"15147629"|"15724591"
"Clay"||"15147663"|"15421912"
"Sandy loam"||"15147665"|"15724600"
"Silty clay"||"15148924"|"15724924"
"Silty clay loam"||"15149103"|"15573627"
"Silt loam"||"15149117"|"15876318"
"Silt loam"||"15149119"|"15573631"
"Loam"||"15151182"|"15876843"
"Silty clay loam"||"15151191"|"15422814"
"Clay"||"15153270"|"15726036"
"Loam"||"15155928"|"15424023"
"Loam"||"15155930"|"15726711"
"Silt loam"||"15155935"|"15878056"
"Silt loam"||"15155937"|"15575369"
"Loam"||"15155944"|"15424027"
"Clay"||"15155946"|"15726715"
"Silty clay"||"15155953"|"15575373"
"Silt loam"||"15155955"|"15878061"
"Silt loam"||"15155960"|"15424031"
"Clay"||"15155969"|"15575377"
"Silty clay loam"||"15155971"|"15878065"
"Silt loam"||"15155978"|"15726723"
"Clay"||"15155980"|"15424036"
"Silty clay loam"||"15155987"|"15424038"
"Silt loam"||"15155994"|"15878071"
"Clay loam"||"15155996"|"15575384"
"Silt loam"||"15156003"|"15424042"
"Clay"||"15156005"|"15726730"
"Silt loam"||"15156010"|"15878075"
"Clay loam"||"15156046"|"15878084"
"Silt loam"||"15156169"|"15575428"
"Clay"||"15156480"|"15575507"
"Clay"||"15156848"|"15726944"
"Fine sandy loam"||"15156855"|"15575602"
"Sandy clay loam"||"15156857"|"15878290"
"Clay"||"15156889"|"15878298"
"Silt loam"||"15158168"|"15575941"
|"Unweathered bedrock"|"15158711"|"15576078"
"Silty clay loam"||"15165245"|"15729090"
"Loam"||"15165247"|"15426403"
"Silt loam"||"15165252"|"15577748"
"Silty clay loam"||"15165254"|"15880436"
"Silt loam"||"15165261"|"15729094"
"Silt loam"||"15165263"|"15426407"
"Silt loam"||"15165270"|"15880440"
"Silt loam"||"15165272"|"15577753"
"Clay"||"15165277"|"15729098"
"Silt loam"||"15165279"|"15426411"
"Silt loam"||"15165295"|"15426415"
"Silty clay"||"15165297"|"15729103"
"Clay"||"15165302"|"15880448"
"Silty clay loam"||"15165304"|"15577761"
"Silty clay"||"15165306"|"15880449"
"Clay"||"15165311"|"15426419"
"Silt loam"||"15165313"|"15729107"
"Sandy clay loam"||"15165320"|"15577765"
"Silty clay loam"||"15165327"|"15426423"
"Silty clay loam"||"15165329"|"15729111"
"Clay"||"15165331"|"15426424"
"Silty clay"||"15165370"|"15880465"
"Clay loam"||"15165372"|"15577778"
"Clay loam"||"15165379"|"15426436"
"Silt loam"||"15165386"|"15880469"
"Clay"||"15165456"|"15729143"
"Silt loam"||"15166172"|"15577980"
"Silty clay loam"||"15166174"|"15880668"
"Fine sandy loam"||"15166181"|"15729326"
"Fine sandy loam"||"15166208"|"15577989"
"Silty clay loam"||"15166213"|"15729334"
"Silt loam"||"15166238"|"15880684"
"Silty clay loam"||"15167458"|"15426967"
"Silty clay"||"15169707"|"15578883"
"Clay loam"||"15169709"|"15881571"
"Clay"||"15170091"|"15730324"
"Clay loam"||"15171813"|"15882110"
"Sand"||"15174489"|"15731445"
"Very fine sandy loam"||"15174494"|"15882790"
"Coarse sandy loam"||"15174496"|"15580103"
"Clay"||"15174503"|"15428761"
"Clay"||"15174512"|"15580107"
"Silt loam"||"15174514"|"15882795"
"Silt loam"||"15174521"|"15731453"
|"Unweathered bedrock"|"15174523"|"15428766"
"Clay"||"15174537"|"15731457"
"Clay loam"||"15174539"|"15428770"
"Silty clay loam"||"15174546"|"15882803"
|"Unweathered bedrock"|"15174548"|"15580116"
"Sandy clay loam"||"15174555"|"15580118"
"Clay"||"15174562"|"15428776"
"Silt loam"||"15174564"|"15731464"
"Silty clay loam"||"15174569"|"15882809"
"Silty clay loam"||"15174573"|"15882810"
"Silty clay"||"15174578"|"15428780"
"Sand"||"15174580"|"15731468"
"Silty clay loam"||"15174612"|"15731476"
"Loam"||"15174614"|"15428789"
"Silt loam"||"15174621"|"15882822"
"Fine sandy loam"||"15174630"|"15428793"
"Silt loam"||"15174698"|"15428810"
"Silt loam"||"15175048"|"15428898"
"Silty clay loam"||"15175416"|"15580335"
"Sandy clay loam"||"15175423"|"15428993"
"Loamy fine sand"||"15175425"|"15731681"
"Loam"||"15175455"|"15429001"
"Loamy fine sand"||"15175457"|"15731689"
"Silt loam"||"15175480"|"15580351"
"Silty clay loam"||"15176918"|"15580720"
"Silty clay loam"||"15176929"|"15429379"
"Silt loam"||"15176934"|"15580724"
"Silty clay loam"||"15179026"|"15883946"
"Loam"||"15179035"|"15429917"
"Clay"||"15181146"|"15884487"
"Silty clay loam"||"15181230"|"15884508"
"Loamy fine sand"||"15183811"|"15431137"
"Fine sandy loam"||"15183813"|"15733825"
"Sandy clay loam"||"15183815"|"15431138"
"Silt loam"||"15183820"|"15582483"
"Silt loam"||"15183822"|"15885171"
"Clay loam"||"15183829"|"15733829"
"Loam"||"15183831"|"15431142"
"Silt loam"||"15183838"|"15885175"
"Silt loam"||"15183854"|"15885179"
"Clay"||"15183856"|"15582492"
"Silty clay loam"||"15183865"|"15733838"
"Silty clay loam"||"15183870"|"15885183"
"Clay"||"15183879"|"15431154"
"Silt loam"||"15183881"|"15733842"
"Silty clay"||"15183888"|"15582500"
"Silt loam"||"15183890"|"15885188"
"Clay"||"15183929"|"15733854"
"Silty clay loam"||"15183931"|"15431167"
"Fine sandy loam"||"15184349"|"15431273"
"Silt loam"||"15184717"|"15734053"
"Clay"||"15184724"|"15582711"
"Sandy loam"||"15184756"|"15582719"
"Silty clay"||"15184758"|"15431376"
"Very fine sandy loam"||"15184758"|"15885407"
"Silt loam"||"15186010"|"15431699"
"Loam"||"15186012"|"15734387"
"Silty clay"||"15186201"|"15885779"
"Silty clay loam"||"15186203"|"15583092"
"Silty clay loam"||"15190356"|"15886839"
"Fine sand"||"15193003"|"15584827"
"Sand"||"15193005"|"15887515"
"Silt loam"||"15193012"|"15736173"
"Clay loam"||"15193014"|"15433486"
"Clay loam"||"15193021"|"15433488"
"Silt loam"||"15193023"|"15736176"
"Silt loam"||"15193028"|"15887521"
"Silt loam"||"15193030"|"15584834"
"Silty clay loam"||"15193032"|"15887522"
"Loam"||"15193046"|"15584838"
"Silt loam"||"15193048"|"15887526"
"Loam"||"15193053"|"15433496"
"Silty clay loam"||"15193055"|"15736184"
"Clay"||"15193057"|"15433497"
"Silty clay loam"||"15193064"|"15887530"
"Silty clay loam"||"15193071"|"15736188"
"Silty clay"||"15193073"|"15433501"
"Silty clay loam"||"15193082"|"15584847"
"Clay loam"||"15193123"|"15736201"
"Silty clay loam"||"15193132"|"15887547"
"Sandy clay"||"15193214"|"15736224"
"Silt loam"||"15193555"|"15433623"
"Clay"||"15193557"|"15736311"
"Clay"||"15193916"|"15736401"
"Sandy clay loam"||"15193923"|"15585059"
|"Unweathered bedrock"|"15193925"|"15887747"
"Silty clay loam"||"15193957"|"15887755"
"Silt loam"||"15195393"|"15736782"
"Sandy clay loam"||"15195404"|"15585441"
"Silt loam"||"15419709"|"15642711"
"Silt loam"||"15421872"|"15491922"
"Sandy loam"||"15424491"|"15643928"
"Silt"||"15424496"|"15795273"
"Silt loam"||"15424498"|"15492586"
"Silty clay loam"||"15419705"|"15642710"
"Silt loam"||"15424500"|"15795274"
"Sandy loam"||"15424501"|"15946618"
"Fine sandy loam"||"15424502"|"15492587"
"Silt loam"||"15424517"|"15946622"
"Silty clay loam"||"15424534"|"15492595"
"Clay"||"15424535"|"15643939"
|"Unweathered bedrock"|"15424536"|"15795283"
"Silty clay loam"||"15424537"|"15946627"
"Silt loam"||"15424552"|"15795287"
"Silty clay loam"||"15424553"|"15946631"
"Silty clay"||"15424554"|"15492600"
"Silt loam"||"15424567"|"15643948"
"Silty clay loam"||"15424568"|"15795292"
"Silt loam"||"15424569"|"15946636"
"Loam"||"15424570"|"15492605"
"Clay"||"15425035"|"15795411"
"Silt loam"||"15425036"|"15946755"
"Silt loam"||"15425037"|"15492724"
"Loam"||"15425038"|"15644068"
"Clay loam"||"15425403"|"15946848"
"Clay loam"||"15425404"|"15492817"
"Silt loam"||"15425455"|"15644174"
"Silty clay"||"15426859"|"15644537"
"Silty clay loam"||"15426860"|"15795881"
"Silty clay"||"15426873"|"15947228"
"Silt loam"||"15426876"|"15795885"
"Silty clay loam"||"15428962"|"15645073"
"Silty clay loam"||"15428965"|"15493730"
"Loam"||"15433759"|"15797641"
"Silty clay"||"15433760"|"15948985"
"Sandy clay loam"||"15433761"|"15494954"
"Loam"||"15433762"|"15646298"
"Silt loam"||"15433776"|"15948989"
"Loam"||"15433777"|"15494958"
"Silty clay"||"15433778"|"15646302"
"Clay"||"15433779"|"15797646"
"Silty clay loam"||"15433795"|"15797650"
"Clay"||"15433796"|"15948994"
"Clay"||"15433809"|"15494966"
"Clay"||"15433810"|"15646310"
"Silty clay loam"||"15433811"|"15797654"
