"Silt loam"||"15419754"|"15945410"
"Silt loam"||"15419755"|"15491379"
"Loamy sand"||"15419756"|"15642723"
"Silt loam"||"15419757"|"15794067"
"Silt loam"||"15420075"|"15794148"
"Clay"||"15420924"|"15794364"
"Fine sandy loam"||"15420925"|"15945708"
"Silty clay loam"||"15420926"|"15491677"
"Clay loam"||"15420927"|"15643021"
"Sandy loam"||"15420940"|"15794368"
"Silt loam"||"15420941"|"15945712"
"Sandy loam"||"15420942"|"15491681"
"Silt loam"||"15420943"|"15643025"
"Silt loam"||"15420944"|"15794369"
"Loamy sand"||"15420957"|"15945716"
"Silt loam"||"15420958"|"15491685"
"Silty clay"||"15420959"|"15643029"
"Silt loam"||"15420960"|"15794373"
"Clay loam"||"15420974"|"15491689"
"Silt loam"||"15420975"|"15643033"
"Sandy clay loam"||"15420976"|"15794377"
"Silt loam"||"15420977"|"15945721"
"Silty clay loam"||"15420991"|"15643037"
"Loam"||"15420992"|"15794381"
"Silty clay loam"||"15420993"|"15945725"
"Sandy clay loam"||"15420994"|"15491694"
"Silty clay loam"||"15421007"|"15643041"
"Loam"||"15421008"|"15794385"
"Silt loam"||"15421009"|"15945729"
"Fine sandy loam"||"15421010"|"15491698"
"Loam"||"15421011"|"15643042"
"Loam"||"15421024"|"15794389"
"Clay"||"15421025"|"15945733"
"Sandy loam"||"15421026"|"15491702"
"Clay loam"||"15421027"|"15643046"
"Silty clay loam"||"15421041"|"15945737"
"Sandy loam"||"15421042"|"15491706"
"Sandy clay loam"||"15421043"|"15643050"
"Loamy sand"||"15421044"|"15794394"
"Clay loam"||"15421057"|"15945741"
"Sandy loam"||"15421058"|"15491710"
"Loamy sand"||"15421059"|"15643054"
"Silt loam"||"15421060"|"15794398"
"Fine sandy loam"||"15421061"|"15945742"
"Silty clay loam"||"15421074"|"15491714"
"Sandy loam"||"15421075"|"15643058"
"Sandy loam"||"15421076"|"15794402"
"Silt loam"||"15421077"|"15945746"
"Sandy loam"||"15423164"|"15492248"
"Silt loam"||"15423165"|"15643592"
"Sandy loam"||"15423181"|"15643596"
"Loamy fine sand"||"15425202"|"15492766"
"Loamy fine sand"||"15425289"|"15492788"
"Loam"||"15425319"|"15795483"
"Loam"||"15428996"|"15947769"
"Silty clay loam"||"15428999"|"15796426"
"Silt loam"||"15429013"|"15493742"
"Clay"||"15429014"|"15645086"
"Clay"||"15429015"|"15796430"
|"Variable"|"15429315"|"15947850"
"Very fine sandy loam"||"15430166"|"15796722"
"Loam"||"15430167"|"15948066"
"Clay"||"15430168"|"15494035"
"Loam"||"15430169"|"15645379"
"Loam"||"15430182"|"15948070"
"Loam"||"15430183"|"15494039"
"Fine sandy loam"||"15430184"|"15645383"
"Silt"||"15430185"|"15796727"
"Silty clay loam"||"15430186"|"15948071"
"Silt loam"||"15430199"|"15494043"
"Loamy sand"||"15430200"|"15645387"
"Clay loam"||"15430201"|"15796731"
"Silt loam"||"15430202"|"15948075"
"Sandy loam"||"15430216"|"15645391"
"Silt loam"||"15430217"|"15796735"
"Sandy clay loam"||"15430218"|"15948079"
"Silty clay loam"||"15430219"|"15494048"
"Clay loam"||"15430233"|"15796739"
"Sandy clay loam"||"15430234"|"15948083"
"Sandy loam"||"15430235"|"15494052"
