"Gravelly"|"15432016"|"3689105"
"Gravelly"|"15443815"|"3689848"
"Very gravelly"|"15462765"|"3614020"
"Gravelly"|"15462767"|"3652528"
"Channery"|"15465120"|"3652672"
"Extremely channery"|"15468631"|"3691383"
"Channery"|"15474562"|"3653266"
"Cobbly"|"15474563"|"3691774"
"Channery"|"15474565"|"3576251"
"Gravelly"|"15476938"|"3576396"
"Gravelly"|"15476939"|"3614904"
"Cobbly"|"15478125"|"3576465"
"Very cobbly"|"15481665"|"3615208"
"Cobbly"|"15485795"|"3615461"
"Gravelly"|"15487498"|"3577048"
"Gravelly"|"15488718"|"3692665"
"Cobbly"|"15488736"|"3577142"
"Cobbly"|"15488737"|"3615650"
"Cobbly"|"15492245"|"3615860"
"Very channery"|"15493464"|"3577445"
"Extremely stony"|"15495841"|"3616111"
"Very gravelly"|"15496976"|"3654680"
"Gravelly"|"15505331"|"3616711"
"Gravelly"|"15507689"|"3616859"
"Channery"|"15510043"|"3617006"
"Channery"|"15519487"|"3694625"
"Gravelly"|"15520608"|"3656177"
"Channery"|"15523047"|"3617815"
"Cobbly"|"15526573"|"3618044"
"Gravelly"|"15526575"|"3656552"
"Channery"|"15536048"|"3657159"
"Gravelly"|"15536050"|"3695667"
"Channery"|"15536051"|"3580144"
"Channery"|"15546643"|"3657835"
"Very cobbly"|"15547865"|"3619418"
"Cobbly"|"15550223"|"3581063"
"Gravelly"|"15557323"|"3697041"
"Cobbly"|"15557325"|"3581518"
"Gravelly"|"15566783"|"3582119"
"Gravelly"|"15569155"|"3620778"
"Very channery"|"15570295"|"3697856"
"Stony"|"15571529"|"3697946"
"Gravelly"|"15571531"|"3582423"
"Gravelly"|"15572666"|"3698003"
"Gravelly"|"15573903"|"3582567"
"Very cobbly"|"15599876"|"3661214"
"Gravelly"|"15602248"|"3622858"
"Gravelly"|"15603382"|"3584408"
"Very gravelly"|"15605755"|"3584557"
"Very cobbly"|"15611741"|"3623456"
"Cobbly"|"15614113"|"3662114"
"Gravelly"|"15628287"|"3585995"
"Gravelly"|"15632997"|"3701821"
"Cobbly"|"15644813"|"3587056"
"Gravelly"|"15644815"|"3625564"
"Channery"|"15649560"|"3664390"
"Channery"|"15651915"|"3626036"
"Gravelly"|"15656665"|"3703347"
"Gravelly"|"15658470"|"3626436"
"Gravelly"|"15666104"|"3665438"
"Gravelly"|"15673192"|"3627391"
"Very flaggy"|"15675547"|"3666043"
"Channery"|"15675550"|"3704551"
"Channery"|"15677922"|"3666198"
"Channery"|"15680293"|"3627850"
"Channery"|"15680294"|"3666358"
"Gravelly"|"15683788"|"3666561"
"Channery"|"15685023"|"3589636"
"Cobbly"|"15689755"|"3666951"
"Gravelly"|"15694500"|"3590244"
"Channery"|"15699211"|"3706059"
"Gravelly"|"15701568"|"3706206"
"Very stony"|"15701569"|"3590683"
"Channery"|"15701570"|"3629191"
"Stony"|"15703943"|"3706358"
"Extremely channery"|"15705129"|"3667914"
"Cobbly"|"15709793"|"3706728"
"Gravelly"|"15710442"|"3706777"
"Extremely cobbly"|"15711013"|"3706817"
"Very cobbly"|"15711028"|"3591294"
"Channery"|"15715759"|"3707127"
"Cobbly"|"15727609"|"3592349"
"Gravelly"|"15735828"|"3669871"
"Gravelly"|"15738170"|"3708524"
"Cobbly"|"15739405"|"3708616"
"Channery"|"15739408"|"3593093"
"Gravelly"|"15745272"|"3631953"
"Very cobbly"|"15748864"|"3593687"
"Channery"|"15748867"|"3632195"
"Gravelly"|"15751221"|"3670856"
"Channery"|"15751223"|"3709364"
"Cobbly"|"15751224"|"3593841"
"Gravelly"|"15755968"|"3594150"
"Channery"|"15755969"|"3632658"
"Channery"|"15755970"|"3671166"
"Very channery"|"15759478"|"3632870"
"Extremely gravelly"|"15767816"|"3710417"
"Extremely stony"|"15770191"|"3710568"
"Channery"|"15774902"|"3595344"
"Very flaggy"|"15789060"|"3673259"
"Gravelly"|"15794927"|"3596614"
"Cobbly"|"15803266"|"3597144"
"Gravelly"|"15805636"|"3597304"
"Gravelly"|"15807442"|"3635925"
"Cobbly"|"15817453"|"3675086"
"Very channery"|"15818639"|"3675152"
"Gravelly"|"15824538"|"3714054"
"Channery"|"15824539"|"3598531"
"Stony"|"15824540"|"3637039"
"Flaggy"|"15826895"|"3598677"
"Gravelly"|"15833998"|"3676135"
"Gravelly"|"15834000"|"3714643"
"Channery"|"15841102"|"3599563"
"Channery"|"15846970"|"3676927"
"Channery"|"15848204"|"3715528"
"Gravelly"|"15848206"|"3600005"
"Channery"|"15851682"|"3638726"
"Extremely gravelly"|"15855272"|"3677479"
"Channery"|"15862375"|"3716438"
"Gravelly"|"15862376"|"3600915"
"Gravelly"|"15864149"|"3639538"
"Mucky"|"15864717"|"3716592"
"Channery"|"15867107"|"3601220"
"Cobbly"|"15871851"|"3601521"
"Gravelly"|"15874208"|"3678687"
"Very channery"|"15876583"|"3678836"
"Gravelly"|"15878954"|"3601975"
"Extremely stony"|"15883686"|"3640771"
"Very channery"|"15886041"|"3717942"
"Mucky"|"15888383"|"3679582"
"Channery"|"15888397"|"3602567"
"Channery"|"15888398"|"3641075"
"Mucky"|"15890738"|"3679731"
"Stony"|"15890753"|"3602716"
"Stony"|"15895485"|"3641526"
"Cobbly"|"15896672"|"3603086"
"Stony"|"15900212"|"3718840"
"Very gravelly"|"15901986"|"3680441"
"Channery"|"15909674"|"3642422"
"Very channery"|"15919151"|"3604533"
"Very gravelly"|"15920287"|"3681612"
"Stony"|"15921537"|"3643195"
"Gravelly"|"15923895"|"3720367"
"Cobbly"|"15928593"|"3643652"
"Cobbly"|"15935694"|"3682623"
"Gravelly"|"15935696"|"3721131"
"Very channery"|"15936816"|"3644182"
"Gravelly"|"15940389"|"3682925"
"Channery"|"15940407"|"3721433"
"Gravelly"|"15942763"|"3606057"
"Very stony"|"15942765"|"3644565"
"Gravelly"|"15945137"|"3683219"
"Channery"|"15954613"|"3606789"
"Very channery"|"15956969"|"3722470"
"Gravelly"|"15958106"|"3722525"
"Gravelly"|"15960497"|"3722678"
"Gravelly"|"15962902"|"3607307"
"Very cobbly"|"15964071"|"3607397"
"Channery"|"15966429"|"3723074"
"Gravelly"|"15966430"|"3607551"
