"Loam"||"15422394"|"15794741"
"Sandy loam"||"15422446"|"15794754"
"Sandy clay loam"||"15422478"|"15794762"
"Sandy clay loam"||"15422479"|"15946106"
"Fine sandy loam"||"15422546"|"15946123"
"Loam"||"15422865"|"15946204"
"Fine sandy loam"||"15422866"|"15492173"
"Sandy loam"||"15425856"|"15492932"
"Sandy loam"||"15425904"|"15644288"
|"Unweathered bedrock"|"15425905"|"15795632"
"Loam"||"15425906"|"15946976"
"Clay"||"15428210"|"15644882"
"Clay"||"15428211"|"15796226"
"Clay loam"||"15428212"|"15947570"
"Loam"||"15428213"|"15493539"
"Fine sandy loam"||"15428214"|"15644883"
"Loam"||"15428227"|"15796230"
"Sandy clay loam"||"15428228"|"15947574"
"Sandy loam"||"15428229"|"15493543"
"Silty clay loam"||"15428230"|"15644887"
"Loam"||"15428244"|"15947578"
"Sandy loam"||"15428245"|"15493547"
"Sandy clay loam"||"15428246"|"15644891"
"Fine sandy loam"||"15428247"|"15796235"
"Loam"||"15428261"|"15493551"
"Clay loam"||"15428262"|"15644895"
"Very fine sandy loam"||"15428263"|"15796239"
"Silty clay loam"||"15428263"|"15947583"
"Clay"||"15428264"|"15493552"
|"Indurated"|"15428277"|"15644899"
"Loam"||"15428278"|"15796243"
"Fine sandy loam"||"15428279"|"15947587"
"Sand"||"15428280"|"15493556"
"Loam"||"15428294"|"15796247"
"Fine sandy loam"||"15428295"|"15947591"
"Loam"||"15428296"|"15493560"
"Coarse sandy loam"||"15428297"|"15644904"
"Silt loam"||"15428311"|"15947595"
"Fine sandy loam"||"15428312"|"15493564"
"Clay loam"||"15428312"|"15644908"
"Clay loam"||"15428313"|"15796252"
"Fine sandy loam"||"15428314"|"15947596"
"Clay loam"||"15428327"|"15644912"
"Sand"||"15428328"|"15796256"
|"Unweathered bedrock"|"15428329"|"15947600"
|"Unweathered bedrock"|"15428330"|"15493569"
"Sandy clay"||"15428331"|"15644913"
"Clay loam"||"15428344"|"15796260"
"Clay loam"||"15428345"|"15947604"
"Clay loam"||"15428346"|"15493573"
"Loam"||"15428347"|"15644917"
"Silt loam"||"15428361"|"15947608"
"Clay"||"15428362"|"15493577"
"Loam"||"15428363"|"15644921"
|"Indurated"|"15428364"|"15796265"
"Silty clay loam"||"15428378"|"15493581"
"Loamy fine sand"||"15428379"|"15644925"
"Loam"||"15428380"|"15796269"
"Silt loam"||"15428381"|"15947613"
"Fine sandy loam"||"15431654"|"15494418"
"Fine sandy loam"||"15431957"|"15645839"
"Fine sandy loam"||"15432073"|"15645869"
"Sandy loam"||"15435180"|"15646657"
"Loam"||"15435182"|"15949345"
"Silty clay loam"||"15435183"|"15495314"
"Clay loam"||"15435196"|"15798005"
"Clay loam"||"15437503"|"15495911"
"Sandy clay loam"||"15437504"|"15647255"
"Sandy loam"||"15437505"|"15798599"
|"Weathered bedrock"|"15437506"|"15949943"
"Silty clay loam"||"15437519"|"15495915"
"Sandy clay"||"15437520"|"15647259"
"Clay loam"||"15437521"|"15798603"
"Clay loam"||"15437522"|"15949947"
"Clay"||"15437536"|"15647263"
"Clay loam"||"15437537"|"15798607"
"Clay"||"15437538"|"15949951"
"Sandy loam"||"15437539"|"15495920"
"Clay"||"15437553"|"15798611"
"Loam"||"15437554"|"15949955"
"Sand"||"15437555"|"15495924"
"Very fine sandy loam"||"15437555"|"15647268"
"Loam"||"15437556"|"15798612"
"Silty clay loam"||"15437569"|"15949959"
"Sandy loam"||"15437570"|"15495928"
"Clay loam"||"15437571"|"15647272"
"Loam"||"15437572"|"15798616"
"Clay"||"15437573"|"15949960"
|"Indurated"|"15437586"|"15495932"
"Very fine sandy loam"||"15437587"|"15647276"
"Clay loam"||"15437587"|"15798620"
"Sandy loam"||"15437588"|"15949964"
"Clay"||"15437589"|"15495933"
"Fine sandy loam"||"15437603"|"15798624"
"Loam"||"15437604"|"15949968"
"Loam"||"15437605"|"15495937"
|"Unweathered bedrock"|"15437606"|"15647281"
"Clay"||"15437620"|"15949972"
"Silty clay"||"15437621"|"15495941"
"Clay"||"15437622"|"15647285"
"Loam"||"15437623"|"15798629"
"Loam"||"15437636"|"15949976"
"Sandy loam"||"15437637"|"15495945"
|"Unweathered bedrock"|"15437638"|"15647289"
|"Unweathered bedrock"|"15437639"|"15798633"
"Sandy clay loam"||"15437653"|"15495949"
"Silty clay loam"||"15437654"|"15647293"
"Silty clay"||"15437655"|"15798637"
"Clay loam"||"15437656"|"15949981"
"Clay loam"||"15437670"|"15647297"
"Loam"||"15437671"|"15798641"
"Sandy loam"||"15437672"|"15949985"
"Silt loam"||"15437673"|"15495954"
"Clay loam"||"15440999"|"15648147"
"Sandy clay loam"||"15444439"|"15800364"
"Loamy sand"||"15444491"|"15951721"
"Sandy clay"||"15446778"|"15498280"
"Fine sandy loam"||"15446779"|"15649624"
"Sandy loam"||"15446780"|"15800968"
"Loam"||"15446781"|"15952312"
"Silty clay loam"||"15446795"|"15649628"
"Clay loam"||"15446796"|"15800972"
"Clay loam"||"15446797"|"15952316"
"Loam"||"15446798"|"15498285"
"Sandy clay loam"||"15446811"|"15649632"
"Fine sand"||"15446812"|"15800976"
"Loam"||"15446813"|"15952320"
"Sandy clay loam"||"15446814"|"15498289"
"Clay loam"||"15446815"|"15649633"
"Silty clay loam"||"15446828"|"15800980"
"Loam"||"15446829"|"15952324"
"Loamy sand"||"15446830"|"15498293"
"Fine sand"||"15446831"|"15649637"
"Fine sand"||"15446845"|"15952328"
"Very fine sandy loam"||"15446846"|"15498297"
"Clay loam"||"15446847"|"15649641"
"Loam"||"15446848"|"15800985"
"Loamy sand"||"15446862"|"15498301"
"Clay loam"||"15446863"|"15649645"
"Loam"||"15446864"|"15800989"
"Sandy clay loam"||"15446865"|"15952333"
"Loam"||"15446878"|"15498305"
"Clay loam"||"15446879"|"15649649"
"Sandy clay loam"||"15446880"|"15800993"
"Fine sandy loam"||"15446881"|"15952337"
"Clay"||"15446895"|"15649653"
"Very fine sandy loam"||"15446896"|"15800997"
"Loamy fine sand"||"15446896"|"15952341"
"Fine sandy loam"||"15446897"|"15498310"
"Silty clay loam"||"15446898"|"15649654"
"Loam"||"15446912"|"15952345"
"Sandy loam"||"15446913"|"15498314"
"Fine sandy loam"||"15446914"|"15649658"
"Sandy loam"||"15446915"|"15801002"
"Silt loam"||"15446928"|"15952349"
"Clay"||"15446929"|"15498318"
"Silt loam"||"15446930"|"15649662"
"Silty clay loam"||"15446931"|"15801006"
"Loam"||"15446932"|"15952350"
"Loam"||"15446945"|"15498322"
"Fine sandy loam"||"15446946"|"15649666"
"Clay loam"||"15446947"|"15801010"
"Clay loam"||"15446948"|"15952354"
"Clay loam"||"15450239"|"15499167"
"Sandy loam"||"15148095"|"15422021"
"Sandy clay loam"||"15150433"|"15876653"
"Sandy clay"||"15150434"|"15422622"
"Clay"||"15150435"|"15573966"
"Sandy loam"||"15150436"|"15725310"
"Sandy loam"||"15150449"|"15876657"
"Loam"||"15150450"|"15422626"
"Clay loam"||"15150451"|"15573970"
"Fine sand"||"15150452"|"15725314"
"Loam"||"15150466"|"15725318"
"Clay loam"||"15150467"|"15876662"
"Coarse sandy loam"||"15150468"|"15422631"
"Loamy sand"||"15150469"|"15573975"
"Silty clay loam"||"15150483"|"15876666"
"Loam"||"15150484"|"15422635"
|"Unweathered bedrock"|"15150485"|"15573979"
"Sandy loam"||"15150486"|"15725323"
"Fine sandy loam"||"15150499"|"15876670"
"Loam"||"15150500"|"15422639"
"Loamy sand"||"15150501"|"15573983"
"Coarse sand"||"15150502"|"15725327"
"Loam"||"15150502"|"15876671"
"Coarse sandy loam"||"15150503"|"15422640"
|"Gypsiferous material"|"15150516"|"15573987"
"Silt loam"||"15150517"|"15725331"
"Loamy fine sand"||"15150518"|"15876675"
"Silt loam"||"15150519"|"15422644"
|"Unweathered bedrock"|"15150533"|"15725335"
"Sandy clay loam"||"15150534"|"15876679"
"Loam"||"15150535"|"15422648"
|"Weathered bedrock"|"15150536"|"15573992"
"Clay"||"15150549"|"15725339"
"Silty clay loam"||"15150550"|"15876683"
"Loam"||"15150551"|"15422652"
"Clay loam"||"15150552"|"15573996"
"Clay loam"||"15150553"|"15725340"
"Sandy loam"||"15150566"|"15422656"
"Sandy clay loam"||"15150567"|"15574000"
"Loam"||"15150568"|"15725344"
"Sandy clay loam"||"15150569"|"15876688"
"Clay"||"15150583"|"15574004"
"Loam"||"15150584"|"15725348"
"Clay loam"||"15150585"|"15876692"
"Sandy loam"||"15150586"|"15422661"
"Clay loam"||"15150600"|"15725352"
"Sandy clay loam"||"15150601"|"15876696"
"Fine sandy loam"||"15150602"|"15422665"
|"Indurated"|"15150603"|"15574009"
"Sandy clay loam"||"15153876"|"15574846"
"Sandy clay loam"||"15153895"|"15423507"
"Clay loam"||"15154146"|"15877601"
"Loam"||"15157368"|"15575732"
|"Unweathered bedrock"|"15159708"|"15727677"
"Loam"||"15159709"|"15879021"
"Sandy loam"||"15159710"|"15424990"
"Coarse sand"||"15159711"|"15576334"
"Loam"||"15159725"|"15879025"
"Sandy loam"||"15159726"|"15424994"
"Loam"||"15159727"|"15576338"
|"Unweathered bedrock"|"15159728"|"15727682"
"Loamy sand"||"15159741"|"15879029"
"Loam"||"15159742"|"15424998"
"Sand"||"15159743"|"15576342"
"Sandy loam"||"15159744"|"15727686"
"Clay loam"||"15159745"|"15879030"
"Loamy fine sand"||"15159758"|"15425002"
"Loam"||"15159758"|"15576346"
"Sandy clay loam"||"15159759"|"15727690"
"Loam"||"15159760"|"15879034"
"Clay loam"||"15159761"|"15425003"
|"Indurated"|"15159775"|"15425007"
"Clay loam"||"15159776"|"15576351"
"Fine sandy loam"||"15159777"|"15727695"
"Clay loam"||"15159778"|"15879039"
"Sandy clay loam"||"15159791"|"15425011"
"Fine sandy loam"||"15159792"|"15576355"
|"Indurated"|"15159793"|"15727699"
"Silt loam"||"15159794"|"15879043"
"Loam"||"15159795"|"15425012"
"Silty clay loam"||"15159808"|"15576359"
"Clay loam"||"15159809"|"15727703"
|"Gypsiferous material"|"15159810"|"15879047"
|"Unweathered bedrock"|"15159811"|"15425016"
"Silty clay loam"||"15159825"|"15727707"
"Loamy sand"||"15159826"|"15879051"
|"Indurated"|"15159827"|"15425020"
"Loam"||"15159828"|"15576364"
"Loam"||"15159842"|"15879055"
"Clay loam"||"15159843"|"15425024"
"Sandy clay loam"||"15159844"|"15576368"
"Loam"||"15159845"|"15727712"
"Sandy clay loam"||"15159858"|"15879059"
