"Very fine sandy loam"||"15419585"|"15491336"
"Sandy clay"||"15419592"|"15945369"
|"Cemented"|"15419594"|"15642682"
"Clay loam"||"15419642"|"15642694"
"Silty clay"||"15421080"|"15794403"
"Loam"||"15421082"|"15491716"
"Loamy sand"||"15421082"|"15643060"
"Sand"||"15421087"|"15945749"
"Loam"||"15421089"|"15643062"
"Loam"||"15421096"|"15491720"
"Sandy clay"||"15421098"|"15794408"
"Clay"||"15421103"|"15945753"
"Silty clay loam"||"15421105"|"15794410"
"Loam"||"15421107"|"15491723"
"Sandy loam"||"15421112"|"15945756"
"Silt loam"||"15421114"|"15643069"
"Coarse sand"||"15421121"|"15643071"
"Silt loam"||"15421121"|"15794415"
"Sandy loam"||"15421123"|"15491728"
"Loam"||"15421130"|"15945761"
"Silty clay loam"||"15421132"|"15643074"
"Silty clay loam"||"15421137"|"15794419"
"Clay"||"15421137"|"15945763"
"Clay loam"||"15421139"|"15643076"
"Silty clay loam"||"15421146"|"15491734"
|"Peat"|"15421148"|"15945766"
"Loam"||"15421155"|"15794424"
"Loam"||"15421157"|"15643081"
"Loam"||"15421162"|"15794426"
|"Unweathered bedrock"|"15421164"|"15491739"
"Loam"||"15421171"|"15491741"
"Loam"||"15421173"|"15794429"
"Loam"||"15421180"|"15643087"
"Clay loam"||"15421182"|"15945775"
"Silt loam"||"15421187"|"15491745"
"Sandy loam"||"15421189"|"15794433"
"Loam"||"15421196"|"15643091"
"Loam"||"15421198"|"15945779"
"Very fine sandy loam"||"15421205"|"15794437"
"Clay"||"15421207"|"15491750"
|"Unweathered bedrock"|"15421212"|"15794439"
"Loam"||"15421214"|"15491752"
"Sandy loam"||"15421221"|"15945785"
"Silt loam"||"15421223"|"15643098"
|"Unweathered bedrock"|"15421230"|"15491756"
"Silt loam"||"15421232"|"15794444"
"Clay loam"||"15421237"|"15945789"
"Fine sandy loam"||"15421239"|"15643102"
"Coarse sand"||"15421239"|"15794446"
|"Unweathered bedrock"|"15421246"|"15794448"
"Clay loam"||"15421248"|"15491761"
"Silt loam"||"15421255"|"15491763"
"Sandy clay loam"||"15421257"|"15794451"
"Silty clay loam"||"15421262"|"15945796"
"Very fine sandy loam"||"15421264"|"15643109"
"Fine sand"||"15421271"|"15794455"
"Coarse sand"||"15421271"|"15945799"
|"Unweathered bedrock"|"15421273"|"15643112"
"Silty clay loam"||"15421280"|"15643114"
"Clay loam"||"15421282"|"15945802"
"Loam"||"15421287"|"15491772"
"Silt loam"||"15421289"|"15794460"
"Silty clay"||"15421289"|"15945804"
|"Unweathered bedrock"|"15421296"|"15794462"
"Fine sandy loam"||"15421298"|"15491775"
"Sandy loam"||"15421305"|"15491777"
|"Unweathered bedrock"|"15421307"|"15794465"
|"Weathered bedrock"|"15421312"|"15945810"
"Sandy clay loam"||"15421314"|"15643123"
"Silt loam"||"15421316"|"15945811"
"Sandy loam"||"15421321"|"15491781"
"Loam"||"15421323"|"15794469"
"Clay"||"15421330"|"15643127"
|"Weathered bedrock"|"15421332"|"15945815"
"Loam"||"15421337"|"15491785"
"Loam"||"15421339"|"15794473"
"Sandy clay"||"15421341"|"15491786"
"Clay"||"15421346"|"15643131"
"Silt loam"||"15421348"|"15491788"
"Clay"||"15421348"|"15945819"
"Sandy clay loam"||"15421355"|"15491790"
"Loamy sand"||"15421357"|"15945822"
"Clay"||"15421362"|"15491792"
"Very fine sandy loam"||"15421364"|"15945824"
"Silt loam"||"15421366"|"15643137"
"Sandy clay loam"||"15421371"|"15794482"
"Loam"||"15421373"|"15491795"
"Sandy loam"||"15421380"|"15945828"
"Fine sandy loam"||"15421382"|"15643141"
