"Loamy fine sand"||"15147748"|"15875965"
"Sand"||"15150390"|"15725298"
"Fine sandy loam"||"15150395"|"15876643"
"Sandy loam"||"15150431"|"15573965"
"Loam"||"15150615"|"15574012"
"Silty clay loam"||"15150622"|"15422670"
"Fine sandy loam"||"15150624"|"15725358"
"Loam"||"15150629"|"15876703"
"Silt loam"||"15150631"|"15574016"
"Silt loam"||"15150638"|"15574018"
"Silt loam"||"15150640"|"15876706"
"Silt loam"||"15150647"|"15725364"
"Sandy loam"||"15150649"|"15422677"
"Very fine sandy loam"||"15150654"|"15574022"
"Sandy loam"||"15150656"|"15876710"
"Silt loam"||"15150663"|"15725368"
"Sandy loam"||"15150665"|"15422681"
"Clay loam"||"15150672"|"15876714"
"Silty clay loam"||"15150674"|"15574027"
"Fine sandy loam"||"15150679"|"15725372"
"Loam"||"15150681"|"15422685"
"Silty clay"||"15150688"|"15876718"
"Silty clay loam"||"15150690"|"15574031"
"Silt loam"||"15150697"|"15574033"
"Silt loam"||"15150699"|"15876721"
"Silty clay loam"||"15150704"|"15422691"
"Clay"||"15150706"|"15725379"
"Loam"||"15150713"|"15574037"
"Loam"||"15150715"|"15876725"
"Loam"||"15150722"|"15725383"
"Silt loam"||"15150724"|"15422696"
"Coarse sand"||"15150729"|"15574041"
"Loamy sand"||"15150731"|"15876729"
"Sandy loam"||"15150738"|"15725387"
|"Sand and gravel"|"15150740"|"15422700"
"Fine sand"||"15150747"|"15876733"
"Fine sandy loam"||"15150749"|"15574046"
"Silt loam"||"15150754"|"15725391"
"Fine sandy loam"||"15150756"|"15422704"
"Sandy loam"||"15150763"|"15876737"
"Silt loam"||"15150765"|"15574050"
"Loam"||"15150772"|"15422708"
"Very fine sandy loam"||"15150774"|"15725396"
"Silty clay loam"||"15150779"|"15876741"
"Very fine sand"||"15150781"|"15574054"
"Loamy sand"||"15150788"|"15422712"
"Sandy loam"||"15150790"|"15725400"
"Sandy loam"||"15150797"|"15574058"
"Loam"||"15150799"|"15876746"
"Loamy fine sand"||"15150804"|"15422716"
"Sandy loam"||"15150806"|"15725404"
"Loam"||"15150808"|"15422717"
"Silt loam"||"15150813"|"15574062"
"Loam"||"15150815"|"15876750"
|"Sand and gravel"|"15150822"|"15725408"
"Sand"||"15150824"|"15422721"
"Loam"||"15151774"|"15876992"
|"Unweathered bedrock"|"15151819"|"15725660"
"Silty clay loam"||"15153014"|"15725971"
"Loam"||"15153019"|"15877316"
"Loam"||"15153021"|"15574629"
"Sandy loam"||"15153028"|"15423287"
"Silt loam"||"15153128"|"15877344"
"Silt loam"||"15153130"|"15574657"
"Silt loam"||"15154850"|"15877779"
"Loam"||"15154943"|"15575115"
"Loam"||"15154950"|"15423773"
"Silt loam"||"15156963"|"15878317"
"Loam"||"15159655"|"15576319"
"Loam"||"15159657"|"15879007"
"Sandy loam"||"15159662"|"15424977"
"Fine sandy loam"||"15159880"|"15576377"
"Loam"||"15159882"|"15879065"
"Loam"||"15159889"|"15727723"
"Clay loam"||"15159891"|"15425036"
"Loam"||"15159896"|"15576381"
"Fine sandy loam"||"15159898"|"15879069"
"Fine sandy loam"||"15159905"|"15727727"
"Clay loam"||"15159907"|"15425040"
"Sandy loam"||"15159914"|"15879073"
"Fine sandy loam"||"15159916"|"15576386"
"Sandy loam"||"15159921"|"15727731"
"Fine sandy loam"||"15159923"|"15425044"
"Silt loam"||"15159930"|"15879077"
"Fine sandy loam"||"15159932"|"15576390"
"Silt loam"||"15159939"|"15425048"
"Silty clay"||"15159941"|"15727736"
"Clay"||"15159946"|"15879081"
"Silty clay loam"||"15159948"|"15576394"
"Silty clay"||"15159955"|"15425052"
"Loam"||"15159957"|"15727740"
"Very fine sandy loam"||"15159964"|"15576398"
"Sand"||"15159966"|"15879086"
"Silt loam"||"15159971"|"15425056"
"Very fine sandy loam"||"15159973"|"15727744"
"Clay"||"15159980"|"15576402"
"Silty clay loam"||"15159982"|"15879090"
"Loam"||"15159989"|"15727748"
"Silt loam"||"15159991"|"15425061"
"Loamy sand"||"15159996"|"15576406"
|"Sand and gravel"|"15159998"|"15879094"
"Loamy sand"||"15160005"|"15727752"
|"Muck"|"15160007"|"15425065"
"Loam"||"15160014"|"15879098"
"Silt loam"||"15160016"|"15576411"
"Silt loam"||"15160021"|"15727756"
"Silt loam"||"15160023"|"15425069"
"Silt loam"||"15160030"|"15879102"
"Fine sandy loam"||"15160032"|"15576415"
"Fine sandy loam"||"15160039"|"15425073"
"Silty clay loam"||"15160041"|"15727761"
"Silty clay loam"||"15160046"|"15879106"
"Very fine sandy loam"||"15160048"|"15576419"
"Loamy fine sand"||"15160050"|"15879107"
"Loam"||"15160055"|"15425077"
"Silty clay loam"||"15160057"|"15727765"
"Loamy sand"||"15160064"|"15576423"
"Loamy coarse sand"||"15160066"|"15879111"
"Silt loam"||"15160071"|"15425081"
"Fine sandy loam"||"15160073"|"15727769"
"Fine sandy loam"||"15160075"|"15425082"
"Fine sandy loam"||"15160080"|"15576427"
"Silt loam"||"15160082"|"15879115"
"Loamy sand"||"15160089"|"15879117"
"Loam"||"15160091"|"15576430"
"Silt loam"||"15160096"|"15727775"
"Silt loam"||"15160098"|"15425088"
"Loam"||"15161061"|"15728020"
"Silt loam"||"15162295"|"15879683"
"Loam"||"15162306"|"15728342"
|"Unweathered bedrock"|"15162311"|"15879687"
"Loam"||"15162313"|"15577000"
"Loamy fine sand"||"15162320"|"15425658"
"Silt loam"||"15162411"|"15425681"
"Sandy loam"||"15162413"|"15728369"
"Silt loam"||"15164135"|"15880150"
"Fine sandy loam"||"15164233"|"15728831"
|"Unweathered bedrock"|"15166289"|"15880697"
"Sandy loam"||"15166291"|"15578010"
"Fine sandy loam"||"15166298"|"15426668"
"Loam"||"15168904"|"15427336"
"Silt loam"||"15168906"|"15730024"
"Silt loam"||"15169140"|"15427396"
"Loam"||"15169147"|"15881429"
"Clay"||"15169149"|"15578742"
"Sandy loam"||"15169156"|"15427400"
"Loam"||"15169158"|"15730088"
"Loam"||"15169163"|"15881433"
"Silt loam"||"15169165"|"15578746"
"Silty clay loam"||"15169172"|"15427404"
"Silt loam"||"15169174"|"15730092"
"Sandy loam"||"15169181"|"15578750"
"Loam"||"15169183"|"15881438"
"Loamy fine sand"||"15169188"|"15427408"
"Coarse sandy loam"||"15169190"|"15730096"
|"Unweathered bedrock"|"15169197"|"15578754"
"Silt loam"||"15420296"|"15491517"
|"Unweathered bedrock"|"15421530"|"15945867"
"Silty clay loam"||"15421546"|"15945871"
"Silt loam"||"15421548"|"15643184"
"Silt loam"||"15421555"|"15491842"
"Sandy loam"||"15421557"|"15794530"
"Loam"||"15421648"|"15945897"
"Loam"||"15423470"|"15795013"
"Loam"||"15423477"|"15643671"
"Silty clay loam"||"15423479"|"15946359"
|"Unweathered bedrock"|"15425508"|"15946875"
"Fine sandy loam"||"15428157"|"15796211"
"Silt loam"||"15428159"|"15493524"
"Loamy fine sand"||"15428384"|"15796270"
"Silt loam"||"15428391"|"15644928"
"Silt loam"||"15428393"|"15947616"
"Silt loam"||"15428398"|"15493586"
"Sandy loam"||"15428400"|"15796274"
"Silt loam"||"15428402"|"15493587"
"Silt loam"||"15428407"|"15644932"
|"Unweathered bedrock"|"15420339"|"15491528"
"Loam"||"15421528"|"15643179"
|"Unweathered bedrock"|"15421529"|"15794523"
"Silt loam"||"15421543"|"15491839"
"Loamy sand"||"15421544"|"15643183"
"Silt loam"||"15421545"|"15794527"
"Fine sandy loam"||"15421559"|"15491843"
"Silty clay loam"||"15421560"|"15643187"
"Sand"||"15421642"|"15643208"
"Sandy loam"||"15421643"|"15794552"
"Silt loam"||"15421644"|"15945896"
"Silt loam"||"15421645"|"15491865"
"Silty clay loam"||"15421646"|"15643209"
"Sandy loam"||"15423384"|"15946335"
"Loam"||"15425505"|"15492843"
"Fine sandy loam"||"15425506"|"15644187"
"Fine sandy loam"||"15428162"|"15947556"
"Silt loam"||"15428163"|"15493525"
"Fine sand"||"15428196"|"15796222"
"Silt loam"||"15428394"|"15493585"
"Clay loam"||"15428395"|"15644929"
"Clay"||"15428396"|"15796273"
"Fine sandy loam"||"15428397"|"15947617"
"Silt loam"||"15428411"|"15644933"
"Silt loam"||"15428412"|"15796277"
"Silt loam"||"15428413"|"15947621"
"Loam"||"15428414"|"15493590"
"Sandy loam"||"15428428"|"15796281"
"Fine sandy loam"||"15428429"|"15947625"
"Fine sand"||"15428430"|"15493594"
"Silt loam"||"15428431"|"15644938"
"Loam"||"15428444"|"15796285"
"Loam"||"15428445"|"15947629"
"Loam"||"15428446"|"15493598"
|"Unweathered bedrock"|"15428447"|"15644942"
"Loam"||"15428448"|"15796286"
"Silt loam"||"15428461"|"15947633"
"Silt loam"||"15428462"|"15493602"
"Very fine sandy loam"||"15428463"|"15644946"
"Silty clay loam"||"15428464"|"15796290"
"Fine sandy loam"||"15428478"|"15493606"
"Silt loam"||"15428479"|"15644950"
"Very fine sandy loam"||"15428480"|"15796294"
"Loam"||"15428481"|"15947638"
"Loam"||"15428495"|"15796298"
"Loam"||"15428496"|"15947642"
"Sand"||"15428497"|"15493611"
"Coarse sand"||"15428498"|"15644955"
"Loam"||"15428511"|"15796302"
"Sandy loam"||"15428512"|"15947646"
"Fine sandy loam"||"15428513"|"15493615"
"Loam"||"15428514"|"15644959"
"Loam"||"15428528"|"15947650"
"Silt loam"||"15428529"|"15493619"
"Loam"||"15428530"|"15644963"
"Very fine sandy loam"||"15428531"|"15796307"
"Silty clay"||"15428545"|"15493623"
"Silt loam"||"15428546"|"15644967"
"Silt loam"||"15428547"|"15796311"
"Clay"||"15428548"|"15947655"
|"Mucky peat"|"15428561"|"15493627"
"Loamy sand"||"15428562"|"15644971"
"Very fine sandy loam"||"15428563"|"15796315"
"Silt loam"||"15428564"|"15947659"
"Loamy fine sand"||"15428565"|"15493628"
"Loam"||"15428578"|"15644975"
"Fine sandy loam"||"15428579"|"15796319"
"Silt loam"||"15428580"|"15947663"
"Sandy loam"||"15428581"|"15493632"
|"Unweathered bedrock"|"15428595"|"15796323"
"Silty clay loam"||"15428596"|"15947667"
"Fine sandy loam"||"15428597"|"15493636"
"Loamy sand"||"15430803"|"15645546"
"Silt loam"||"15430804"|"15796890"
"Silt loam"||"15430818"|"15494206"
"Fine sandy loam"||"15430819"|"15645550"
"Loamy sand"||"15430820"|"15796894"
"Loam"||"15430918"|"15494231"
"Loam"||"15430919"|"15645575"
"Clay"||"15432642"|"15797356"
"Very fine sandy loam"||"15432739"|"15494693"
"Sand"||"15432740"|"15646037"
"Silt loam"||"15432741"|"15797381"
"Clay"||"15432742"|"15948725"
"Fine sandy loam"||"15432743"|"15494694"
"Silt loam"||"15434779"|"15646555"
"Loam"||"15434780"|"15797899"
"Loam"||"15434781"|"15949243"
"Loam"||"15434782"|"15495212"
|"Unweathered bedrock"|"15437452"|"15949929"
"Fine sandy loam"||"15437686"|"15647301"
"Silty clay loam"||"15437687"|"15798645"
"Silty clay loam"||"15437688"|"15949989"
"Silt loam"||"15437689"|"15495958"
"Silty clay loam"||"15437690"|"15647302"
"Loam"||"15437703"|"15798649"
"Silt loam"||"15437704"|"15949993"
"Silt loam"||"15437705"|"15495962"
"Loam"||"15437706"|"15647306"
"Silt loam"||"15437720"|"15949997"
"Loam"||"15437721"|"15495966"
"Loam"||"15437722"|"15647310"
"Fine sandy loam"||"15437723"|"15798654"
"Silt loam"||"15437737"|"15495970"
"Silt loam"||"15437738"|"15647314"
"Loam"||"15437739"|"15798658"
