"mixed"|"3043106"|"2358182"
"mixed"|"3030154"|"2370679"
"mixed"|"3004247"|"2345670"
"mixed"|"2971864"|"2364434"
"magnesic"|"3056060"|"2295653"
"mixed"|"2965387"|"2283156"
"mixed"|"2991294"|"2308165"
"mixed"|"3023677"|"2314416"
"mixed"|"3062536"|"2301908"
"smectitic"|"2984817"|"2326917"
"mixed"|"3049583"|"2339425"
"mixed"|"2997772"|"2289409"
"mixed"|"3017202"|"2333175"
"micaceous"|"3030155"|"2370680"
"micaceous"|"2978342"|"2320663"
"mixed"|"3023678"|"2314417"
"mixed"|"2965388"|"2283157"
"mixed"|"2978341"|"2320662"
"mixed"|"3010724"|"2351926"
"mixed"|"2997771"|"2289408"
"mixed"|"3043107"|"2358183"
"mixed"|"3062537"|"2301909"
"mixed"|"3004248"|"2345671"
"mixed"|"3036631"|"2376935"
"mixed"|"3049584"|"2339426"
"micaceous"|"2971865"|"2364435"
"micaceous"|"2984818"|"2326918"
"mixed"|"3017201"|"2333174"
"micaceous"|"2991295"|"2308166"
"mixed"|"3010725"|"2351927"
"mixed"|"3056061"|"2295654"
"mixed"|"3056063"|"2295656"
"mixed"|"2984820"|"2326920"
"mixed"|"3004251"|"2345674"
"mixed"|"3036634"|"2376938"
"mixed"|"2971867"|"2364437"
"mixed"|"2991297"|"2308168"
"mixed"|"3043110"|"2358186"
"mixed"|"2978344"|"2320665"
"mixed"|"3010727"|"2351929"
"mixed"|"3062540"|"2301912"
"mixed"|"3017204"|"2333177"
"mixed"|"2997774"|"2289411"
"mixed"|"3030157"|"2370682"
"mixed"|"3049586"|"2339428"
"mixed"|"2965390"|"2283159"
"mixed"|"3023681"|"2314420"
"mixed"|"3011402"|"2352578"
"mixed"|"3056738"|"2346319"
"mixed"|"2998449"|"2340067"
"mixed"|"3056737"|"2346318"
"mixed"|"2966065"|"2333821"
"mixed"|"2979018"|"2371327"
"mixed"|"3011401"|"2352577"
"mixed"|"3024355"|"2290049"
"mixed"|"3017879"|"2358830"
"mixed"|"3030832"|"2321310"
"mixed"|"2998448"|"2365075"
"mixed"|"3043784"|"2308812"
"mixed"|"3063214"|"2302560"
"mixed"|"3004925"|"2296301"
"mixed"|"3037308"|"2377586"
"mixed"|"3050261"|"2315058"
"not used"|"2985495"|"2327569"
"mixed"|"3017878"|"2283803"
"mixed"|"3050266"|"2340071"
"mixed"|"3063219"|"2327573"
"mixed"|"2966070"|"2333825"
"mixed"|"2985500"|"2352582"
"mixed"|"2998453"|"2290053"
"mixed"|"3017884"|"2283808"
"mixed"|"3043789"|"2308816"
"mixed"|"2979023"|"2321314"
"mixed"|"3011406"|"2377590"
"mixed"|"3011407"|"2377591"
"mixed"|"3030837"|"2346323"
"mixed"|"3024360"|"2315062"
"not used"|"2972547"|"2365080"
"mixed"|"2991977"|"2358834"
"mixed"|"3037313"|"2302564"
"mixed"|"3017883"|"2283807"
"mixed"|"3024364"|"2340074"
"mixed"|"3063223"|"2302568"
"mixed"|"3050270"|"2365083"
"mixed"|"2966074"|"2283811"
"mixed"|"2979027"|"2321317"
"mixed"|"3011410"|"2352585"
"mixed"|"2972551"|"2290057"
"mixed"|"3017887"|"2333828"
"mixed"|"2985504"|"2327577"
"mixed"|"3004934"|"2346326"
"mixed"|"3037317"|"2377594"
"mixed"|"2991981"|"2308820"
"mixed"|"3056746"|"2296308"
"mixed"|"3043793"|"2358837"
"mixed"|"2998457"|"2315065"
"mixed"|"3037320"|"2352588"
"mixed"|"2979030"|"2321319"
"mixed"|"2998460"|"2315068"
"mixed"|"3017890"|"2333831"
"mixed"|"3030843"|"2371336"
"mixed"|"2985506"|"2302570"
"mixed"|"3024367"|"2340077"
"mixed"|"2991983"|"2308822"
"mixed"|"2972553"|"2290059"
"mixed"|"3011413"|"2327579"
"mixed"|"3043796"|"2358840"
"mixed"|"3056749"|"2296310"
"mixed"|"2979034"|"2296314"
"mixed"|"2998464"|"2315072"
"mixed"|"3011417"|"2327583"
"mixed"|"3030847"|"2371340"
"mixed"|"3050276"|"2365089"
"mixed"|"2985510"|"2302574"
"mixed"|"3017894"|"2308826"
"mixed"|"2966080"|"2358843"
"mixed"|"3037324"|"2352592"
"mixed"|"2991987"|"2283817"
"mixed"|"2972557"|"2290063"
"mixed"|"3043800"|"2333835"
"siliceous"|"2966085"|"2333839"
"not used"|"3011421"|"2327587"
"not used"|"2979038"|"2296318"
"siliceous"|"3037328"|"2352596"
"not used"|"3004945"|"2321327"
"siliceous"|"3017898"|"2283821"
"siliceous"|"2985514"|"2302578"
"siliceous"|"2991991"|"2358847"
"siliceous"|"2972561"|"2340084"
"not used"|"2998468"|"2365093"
"not used"|"3030851"|"2346335"
"mixed"|"3043804"|"2308830"
"not used"|"3063234"|"2377605"
"siliceous"|"3056757"|"2371344"
"not used"|"3024375"|"2290067"
"mixed"|"3043968"|"2308978"
"mixed"|"3011585"|"2377756"
"mixed"|"2985679"|"2352748"
"mixed"|"2998632"|"2340232"
"mixed"|"3063398"|"2327739"
"mixed"|"2979202"|"2346486"
"mixed"|"3024539"|"2365241"
"illitic"|"2992156"|"2358996"
"mixed"|"3005109"|"2371495"
"mixed"|"2972726"|"2315224"
"mixed"|"3037492"|"2302730"
"mixed"|"3050445"|"2290215"
"mixed"|"3018062"|"2283969"
"illitic"|"2966249"|"2333987"
"mixed"|"2972725"|"2315223"
"mixed"|"3031016"|"2296469"
"mixed"|"3056921"|"2321477"
"mixed"|"3037504"|"2377768"
"mixed"|"2966261"|"2359008"
"mixed"|"2998644"|"2365252"
"mixed"|"3050457"|"2315235"
"mixed"|"3063410"|"2302742"
"mixed"|"3018075"|"2308991"
"mixed"|"3043980"|"2333999"
"mixed"|"3011597"|"2352759"
"mixed"|"2979214"|"2346498"
"mixed"|"3031028"|"2296481"
"mixed"|"2972737"|"2340243"
"mixed"|"3024551"|"2290226"
"mixed"|"3056934"|"2321490"
"mixed"|"2985691"|"2327751"
"mixed"|"3018074"|"2308990"
"illitic"|"2992168"|"2283982"
"mixed"|"3005121"|"2371507"
"mixed"|"2972738"|"2340244"
"mixed"|"3056933"|"2321489"
"mixed"|"3011598"|"2352760"
"mixed"|"3050458"|"2315236"
"mixed"|"3037505"|"2377769"
"mixed"|"3024553"|"2290228"
"mixed"|"2998645"|"2365253"
"mixed"|"2966262"|"2359009"
"mixed"|"3056935"|"2321491"
"mixed"|"3043982"|"2334001"
"mixed"|"3031029"|"2296482"
"mixed"|"2972739"|"2340245"
"mixed"|"3005122"|"2371508"
"mixed"|"2985692"|"2327752"
"mixed"|"3024552"|"2290227"
"mixed"|"2992169"|"2283983"
"mixed"|"3018076"|"2308992"
"mixed"|"3043981"|"2334000"
"mixed"|"3037506"|"2377770"
"mixed"|"2979215"|"2346499"
"mixed"|"3063411"|"2302743"
"mixed"|"3011599"|"2352761"
"mixed"|"2998646"|"2365254"
"mixed"|"2979216"|"2346500"
"mixed"|"2966264"|"2359011"
"mixed"|"2998647"|"2365255"
"mixed"|"3031030"|"2296483"
"mixed"|"3063412"|"2302744"
"mixed"|"3005124"|"2371510"
"mixed"|"3050459"|"2315237"
"mixed"|"3037507"|"2377771"
"mixed"|"2966263"|"2359010"
"mixed"|"3024554"|"2290229"
"mixed"|"2972740"|"2340246"
"mixed"|"3005123"|"2371509"
"mixed"|"3056936"|"2321492"
"mixed"|"3011600"|"2352762"
"mixed"|"2979217"|"2346501"
"mixed"|"2992170"|"2283984"
"mixed"|"3063413"|"2302745"
