"Mucky"|"15555812"|"3581417"
"Gravelly"|"15595988"|"3622456"
"Mucky"|"15666982"|"3588472"
"Very channery"|"15760705"|"3594446"
"Gravelly"|"15923887"|"3681859"
"Gravelly"|"15945127"|"3644711"
"Very channery"|"15427276"|"3573283"
"Gravelly"|"15499057"|"3654817"
"Gravelly"|"15547304"|"3619377"
"Gravelly"|"15748856"|"3709210"
"Gravelly"|"15770184"|"3672060"
"Very gravelly"|"15957831"|"3722513"
"Gravelly"|"15847644"|"3638469"
"Very gravelly"|"15463609"|"3691083"
"Cobbly"|"15471649"|"3691584"
"Channery"|"15751213"|"3593840"
"Gravelly"|"15927081"|"3720567"
"Channery"|"15528939"|"3618197"
"Cobbly"|"15542577"|"3696077"
"Channery"|"15633841"|"3663362"
"Gravelly"|"15699204"|"3706058"
"Channery"|"15713378"|"3629952"
"Gravelly"|"15769616"|"3633511"
"Cobbly"|"15564416"|"3697492"
"Cobbly"|"15699209"|"3629043"
"Gravelly"|"15964067"|"3722920"
"Channery"|"15479291"|"3653569"
"Gravelly"|"15512388"|"3578647"
"Cobbly"|"15514762"|"3617309"
"Gravelly"|"15900200"|"3603316"
"Gravelly"|"15921528"|"3604687"
"Gravelly"|"15932767"|"3682432"
"Gravelly"|"15447026"|"3574516"
"Very gravelly"|"15736488"|"3631412"
"Very channery"|"15772543"|"3672204"
"Mucky"|"15986197"|"3608813"
"Mucky"|"15990948"|"3724648"
"Channery"|"15538403"|"3657314"
"Very channery"|"15545512"|"3696279"
"Gravelly"|"15570014"|"3659337"
"Mucky"|"15711904"|"3668360"
"Gravelly"|"15763944"|"3594641"
"Mucky"|"15458893"|"3652282"
"Mucky"|"15465995"|"3575703"
"Gravelly"|"15497647"|"3693236"
"Gravelly"|"15510040"|"3655513"
"Channery"|"15533670"|"3618502"
"Very channery"|"15805627"|"3674319"
"Gravelly"|"15990074"|"3724595"
"Mucky"|"15479288"|"3615061"
"Very channery"|"15495834"|"3577603"
"Channery"|"15576256"|"3582712"
"Mucky"|"15714248"|"3591493"
"Gravelly"|"15718980"|"3707326"
"Channery"|"15986189"|"3685828"
"Gravelly"|"15435200"|"3689297"
"Very gravelly"|"15480140"|"3576598"
"Very channery"|"15498208"|"3693278"
"Very channery"|"15540767"|"3657459"
"Gravelly"|"15625901"|"3662865"
"Very channery"|"15659025"|"3664983"
"Gravelly"|"15885486"|"3679393"
"Gravelly"|"15930971"|"3605302"
"Channery"|"16023187"|"3688207"
"Channery"|"15455642"|"3690595"
"Gravelly"|"15815078"|"3597915"
"Very channery"|"15898679"|"3641724"
"Channery"|"15985335"|"3647271"
"Mucky"|"15986196"|"3724336"
"Very channery"|"15493464"|"3577445"
"Very channery"|"15494320"|"3577498"
"Gravelly"|"15569155"|"3620778"
"Gravelly"|"15658470"|"3626436"
"Gravelly"|"15674046"|"3665943"
"Gravelly"|"15694500"|"3590244"
"Channery"|"15909674"|"3642422"
"Gravelly"|"15864149"|"3639538"
"Channery"|"15465120"|"3652672"
"Cobbly"|"15485795"|"3615461"
"Gravelly"|"15546362"|"3619317"
"Gravelly"|"15560533"|"3658732"
"Gravelly"|"15632997"|"3701821"
"Gravelly"|"15656665"|"3703347"
"Stony"|"15703943"|"3706358"
"Very gravelly"|"15901986"|"3680441"
"Very channery"|"15919151"|"3604533"
"Mucky"|"15955480"|"3645345"
"Gravelly"|"15526575"|"3656552"
"Gravelly"|"15572415"|"3620977"
"Channery"|"15651915"|"3626036"
"Gravelly"|"15808880"|"3713034"
"Very channery"|"15886041"|"3717942"
"Mucky"|"15572416"|"3659485"
"Gravelly"|"15807442"|"3635925"
"Gravelly"|"15874208"|"3678687"
"Very channery"|"15876583"|"3678836"
