"Sandy loam"||"15421965"|"15794633"
"Clay loam"||"15421967"|"15491946"
"Loam"||"15421972"|"15643291"
"Clay loam"||"15421974"|"15945979"
"Sandy clay loam"||"15421976"|"15643292"
"Clay loam"||"15421981"|"15794637"
"Sandy clay loam"||"15421983"|"15491950"
"Clay loam"||"15421990"|"15945983"
"Sandy clay"||"15421992"|"15643296"
"Clay loam"||"15421999"|"15491954"
"Sandy clay loam"||"15422001"|"15794642"
"Sandy clay"||"15422006"|"15945987"
"Sandy clay loam"||"15422008"|"15643300"
"Clay"||"15422015"|"15643302"
"Sandy clay loam"||"15422017"|"15945990"
"Clay loam"||"15422024"|"15794648"
"Fine sand"||"15422026"|"15491961"
"Clay loam"||"15422031"|"15643306"
"Fine sandy loam"||"15422033"|"15945994"
"Sandy loam"||"15422040"|"15794652"
"Sandy loam"||"15422042"|"15491965"
|"Variable"|"15422049"|"15491967"
"Loamy fine sand"||"15422051"|"15794655"
"Sandy clay"||"15422056"|"15946000"
"Fine sandy loam"||"15422058"|"15643313"
"Loamy sand"||"15422065"|"15491971"
"Sandy clay loam"||"15422067"|"15794659"
"Sandy loam"||"15422074"|"15643317"
"Sandy clay"||"15422076"|"15946005"
"Sand"||"15422081"|"15491975"
"Loamy sand"||"15422083"|"15794663"
"Fine sandy loam"||"15422090"|"15643321"
"Loamy sand"||"15422092"|"15946009"
"Clay loam"||"15422099"|"15794667"
"Sand"||"15422101"|"15491980"
"Sandy loam"||"15422106"|"15643325"
"Sandy clay"||"15422108"|"15946013"
"Sand"||"15427881"|"15796141"
"Fine sandy loam"||"15427906"|"15493460"
"Sandy clay loam"||"15427908"|"15796148"
"Silty clay loam"||"15427915"|"15644806"
"Silt loam"||"15427917"|"15947494"
"Silt loam"||"15427922"|"15493464"
"Fine sandy loam"||"15427931"|"15644810"
|"Variable"|"15427933"|"15947498"
"Sandy clay loam"||"15431250"|"15797003"
"Sandy clay"||"15431257"|"15645661"
"Sandy loam"||"15431259"|"15948349"
"Sandy clay loam"||"15431266"|"15797007"
"Loam"||"15431268"|"15494320"
"Sandy loam"||"15431273"|"15645665"
"Sandy loam"||"15431275"|"15948353"
"Sandy loam"||"15431282"|"15797011"
"Clay loam"||"15431284"|"15494324"
"Loamy sand"||"15431291"|"15948357"
"Fine sandy loam"||"15431293"|"15645670"
"Sandy loam"||"15431298"|"15797015"
"Sand"||"15431300"|"15494328"
"Sand"||"15431307"|"15948361"
"Fine sandy loam"||"15431309"|"15645674"
"Clay loam"||"15431316"|"15494332"
"Sandy clay loam"||"15431318"|"15797020"
"Sandy clay loam"||"15431323"|"15948365"
"Loamy sand"||"15431325"|"15645678"
"Silt loam"||"15431332"|"15494336"
"Loamy sand"||"15431334"|"15797024"
"Fine sandy loam"||"15431341"|"15645682"
"Clay loam"||"15431343"|"15948370"
"Sandy loam"||"15431348"|"15494340"
"Loamy sand"||"15431350"|"15797028"
"Clay loam"||"15431357"|"15645686"
"Sandy clay"||"15431359"|"15948374"
"Sand"||"15431366"|"15797032"
|"Variable"|"15431368"|"15494345"
"Loamy sand"||"15431373"|"15645690"
"Loamy sand"||"15431375"|"15948378"
"Sand"||"15431382"|"15797036"
"Sandy loam"||"15431384"|"15494349"
"Clay loam"||"15435010"|"15495270"
"Clay loam"||"15437164"|"15495825"
"Loam"||"15437184"|"15495830"
"Sandy clay"||"15437198"|"15798521"
"Very fine sandy loam"||"15437200"|"15495834"
"Silt loam"||"15437214"|"15798525"
"Clay loam"||"15440549"|"15950720"
"Clay loam"||"15440551"|"15648033"
"Sandy loam"||"15440558"|"15496691"
"Clay loam"||"15440560"|"15799379"
"Sandy loam"||"15440565"|"15950724"
"Sandy clay loam"||"15440567"|"15648037"
"Loam"||"15440574"|"15496695"
"Loam"||"15440576"|"15799383"
"Clay loam"||"15440583"|"15648041"
"Clay loam"||"15440585"|"15950729"
"Sandy clay"||"15440590"|"15496699"
"Sandy loam"||"15440592"|"15799387"
"Sand"||"15440599"|"15648045"
"Sandy clay loam"||"15440601"|"15950733"
|"Variable"|"15440608"|"15799391"
"Sandy loam"||"15440610"|"15496704"
"Loamy sand"||"15440615"|"15648049"
"Sandy clay loam"||"15440617"|"15950737"
"Clay"||"15440624"|"15799395"
"Sandy loam"||"15440626"|"15496708"
"Fine sandy loam"||"15440633"|"15950741"
"Clay"||"15440635"|"15648054"
"Silty clay"||"15440640"|"15799399"
"Clay"||"15440642"|"15496712"
"Loamy fine sand"||"15440649"|"15950745"
"Sandy loam"||"15440651"|"15648058"
"Clay loam"||"15440658"|"15496716"
"Sandy clay loam"||"15440660"|"15799404"
"Sandy clay"||"15440665"|"15950749"
"Sandy clay loam"||"15440667"|"15648062"
"Loamy fine sand"||"15440669"|"15950750"
"Clay"||"15440674"|"15496720"
"Sandy loam"||"15440676"|"15799408"
"Fine sandy loam"||"15440683"|"15648066"
"Sandy loam"||"15440683"|"15799410"
"Sandy loam"||"15440685"|"15496723"
"Loamy sand"||"15440690"|"15648068"
"Clay loam"||"15440692"|"15950756"
"Loamy fine sand"||"15440694"|"15648069"
"Sandy loam"||"15440699"|"15950758"
"Sandy loam"||"15440701"|"15648071"
"Sandy clay loam"||"15444259"|"15648975"
"Loamy sand"||"15444327"|"15648992"
"Silty clay"||"15446465"|"15800887"
"Fine sand"||"15446467"|"15498200"
"Fine sand"||"15446481"|"15800891"
"Sandy loam"||"15446483"|"15498204"
"Sand"||"15446490"|"15498206"
"Clay loam"||"15446499"|"15649552"
"Clay loam"||"15446510"|"15498211"
"Clay loam"||"15449784"|"15801739"
"Sandy clay"||"15449791"|"15650397"
|"Variable"|"15449793"|"15953085"
"Clay loam"||"15449800"|"15801743"
"Loam"||"15449802"|"15499056"
"Sandy loam"||"15449807"|"15650401"
"Sandy clay loam"||"15449809"|"15953089"
"Sandy clay"||"15449816"|"15801747"
"Sandy clay loam"||"15449818"|"15499060"
"Sandy loam"||"15449825"|"15953093"
"Sandy clay loam"||"15449827"|"15650406"
"Sandy clay loam"||"15449832"|"15801751"
"Fine sandy loam"||"15449834"|"15499064"
"Sandy loam"||"15449841"|"15953097"
"Sand"||"15449843"|"15650410"
"Fine sand"||"15449850"|"15499068"
"Loam"||"15449852"|"15801756"
"Fine sandy loam"||"15449857"|"15953101"
|"Variable"|"15449859"|"15650414"
"Clay"||"15449866"|"15499072"
"Loamy sand"||"15449868"|"15801760"
"Sand"||"15449875"|"15650418"
"Sandy loam"||"15449877"|"15953106"
"Sandy clay loam"||"15449882"|"15499076"
"Loamy sand"||"15449884"|"15801764"
"Clay loam"||"15449891"|"15650422"
"Clay"||"15449893"|"15953110"
"Fine sand"||"15449900"|"15801768"
"Fine sand"||"15449902"|"15499081"
"Sandy loam"||"15449907"|"15650426"
"Loamy sand"||"15449909"|"15953114"
"Sandy clay loam"||"15449911"|"15650427"
"Loam"||"15147915"|"15421976"
"Silty clay loam"||"15150121"|"15725229"
|"Variable"|"15150137"|"15422546"
"Sandy clay"||"15150139"|"15725234"
"Sandy clay loam"||"15150146"|"15725236"
"Silty clay"||"15150153"|"15573894"
"Sandy loam"||"15150155"|"15876582"
"Sandy loam"||"15150162"|"15725240"
"Clay loam"||"15153445"|"15423393"
"Clay loam"||"15421968"|"15643290"
"Sandy clay"||"15421969"|"15794634"
"Clay loam"||"15421970"|"15945978"
"Clay loam"||"15421971"|"15491947"
"Loam"||"15421985"|"15794638"
|"Variable"|"15421986"|"15945982"
|"Variable"|"15421987"|"15491951"
"Loam"||"15421988"|"15643295"
"Sandy loam"||"15422002"|"15945986"
|"Variable"|"15422003"|"15491955"
"Sand"||"15422004"|"15643299"
"Sandy clay loam"||"15422005"|"15794643"
"Sandy clay loam"||"15422018"|"15491959"
"Sandy clay loam"||"15422019"|"15643303"
"Sandy loam"||"15422020"|"15794647"
"Sandy clay"||"15422021"|"15945991"
"Sandy clay loam"||"15422022"|"15491960"
|"Variable"|"15422035"|"15643307"
"Sandy clay loam"||"15422036"|"15794651"
"Sandy clay loam"||"15422037"|"15945995"
"Sandy clay loam"||"15422038"|"15491964"
"Fine sand"||"15422052"|"15945999"
"Sandy clay loam"||"15422053"|"15491968"
"Fine sandy loam"||"15422054"|"15643312"
"Sandy loam"||"15422055"|"15794656"
"Sandy clay loam"||"15422069"|"15491972"
"Clay loam"||"15422070"|"15643316"
"Sandy loam"||"15422071"|"15794660"
"Sandy clay"||"15422072"|"15946004"
"Loamy fine sand"||"15422085"|"15491976"
"Clay loam"||"15422086"|"15643320"
"Sand"||"15422087"|"15794664"
"Sand"||"15422088"|"15946008"
"Silty clay loam"||"15422102"|"15643324"
"Sandy clay"||"15422103"|"15794668"
"Clay loam"||"15422104"|"15946012"
"Loamy sand"||"15422105"|"15491981"
"Sandy clay loam"||"15425747"|"15946936"
"Sandy loam"||"15425748"|"15492905"
"Loam"||"15427886"|"15947486"
"Sandy loam"||"15427903"|"15644803"
"Clay loam"||"15427904"|"15796147"
"Clay"||"15427918"|"15493463"
"Silt loam"||"15427919"|"15644807"
"Loam"||"15427920"|"15796151"
"Silty clay loam"||"15427921"|"15947495"
|"Variable"|"15427936"|"15796155"
"Sandy loam"||"15431260"|"15494318"
"Clay"||"15431261"|"15645662"
"Loamy sand"||"15431262"|"15797006"
"Fine sandy loam"||"15431263"|"15948350"
"Sandy clay loam"||"15431264"|"15494319"
"Sandy loam"||"15431277"|"15645666"
"Loamy sand"||"15431278"|"15797010"
"Sandy loam"||"15431279"|"15948354"
"Sandy clay loam"||"15431280"|"15494323"
"Sandy loam"||"15431294"|"15797014"
"Sandy loam"||"15431295"|"15948358"
"Sandy clay loam"||"15431296"|"15494327"
"Sandy clay loam"||"15431297"|"15645671"
"Fine sandy loam"||"15431311"|"15948362"
"Clay"||"15431312"|"15494331"
"Loam"||"15431313"|"15645675"
|"Variable"|"15431314"|"15797019"
"Sandy clay loam"||"15431327"|"15948366"
"Clay loam"||"15431328"|"15494335"
"Clay"||"15431329"|"15645679"
"Fine sandy loam"||"15431330"|"15797023"
"Clay loam"||"15431344"|"15494339"
"Loamy sand"||"15431345"|"15645683"
"Sandy loam"||"15431346"|"15797027"
"Loamy sand"||"15431347"|"15948371"
"Loamy sand"||"15431361"|"15645687"
|"Variable"|"15431362"|"15797031"
"Loam"||"15431363"|"15948375"
"Loamy fine sand"||"15431364"|"15494344"
"Sand"||"15431377"|"15645691"
"Loamy sand"||"15431378"|"15797035"
"Sandy clay"||"15431379"|"15948379"
|"Variable"|"15431380"|"15494348"
"Fine sandy loam"||"15431381"|"15645692"
"Loamy sand"||"15435021"|"15949304"
"Fine sand"||"15437163"|"15949856"
"Clay loam"||"15437195"|"15949864"
"Silty clay loam"||"15437196"|"15495833"
"Silty clay loam"||"15437197"|"15647177"
"Sandy clay loam"||"15437210"|"15798524"
"Silt loam"||"15437211"|"15949868"
"Clay loam"||"15437212"|"15495837"
"Sandy clay loam"||"15440553"|"15950721"
"Sandy clay loam"||"15440554"|"15496690"
"Clay loam"||"15440555"|"15648034"
"Clay loam"||"15440556"|"15799378"
"Sandy clay loam"||"15440569"|"15950725"
"Sandy loam"||"15440570"|"15496694"
"Loam"||"15440571"|"15648038"
"Clay"||"15440572"|"15799382"
"Clay loam"||"15440586"|"15496698"
"Sandy loam"||"15440587"|"15648042"
"Silt loam"||"15440588"|"15799386"
"Sandy clay loam"||"15440589"|"15950730"
"Fine sandy loam"||"15440603"|"15648046"
"Clay"||"15440604"|"15799390"
"Sandy loam"||"15440605"|"15950734"
"Sandy clay loam"||"15440606"|"15496703"
"Sand"||"15440619"|"15648050"
"Sandy loam"||"15440620"|"15799394"
"Fine sand"||"15440621"|"15950738"
"Sandy loam"||"15440622"|"15496707"
"Clay loam"||"15440623"|"15648051"
"Sandy clay loam"||"15440636"|"15799398"
"Sandy clay"||"15440637"|"15950742"
"Loamy sand"||"15440638"|"15496711"
"Fine sand"||"15440639"|"15648055"
"Sandy clay loam"||"15440653"|"15950746"
