"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7933868"|"15297670"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7934585"|"15298009"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7934586"|"15446181"
"C"|"No "|"Yes"|"Clay"|"7935184"|"15594632"
"SR- FSL C"|"Yes"|"Yes"|"Stratified fine sandy loam to clay"|"7935185"|"15150118"
"SICL"|"No "|"No "|"Silty clay loam"|"7935186"|"15298290"
"SIC"|"No "|"No "|"Silty clay"|"7935186"|"15446462"
"C"|"No "|"No "|"Clay"|"7935353"|"15298367"
"SICL"|"No "|"No "|"Silty clay loam"|"7935353"|"15446539"
"CL"|"No "|"No "|"Clay loam"|"7935353"|"15594710"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7935354"|"15150196"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7935364"|"15150200"
"L"|"No "|"No "|"Loam"|"7935365"|"15298372"
"CL"|"No "|"No "|"Clay loam"|"7935365"|"15446544"
"SICL"|"No "|"No "|"Silty clay loam"|"7935366"|"15150201"
"SIC"|"No "|"No "|"Silty clay"|"7935366"|"15298373"
"SIL"|"No "|"No "|"Silt loam"|"7935366"|"15594715"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7935369"|"15446546"
"L"|"No "|"No "|"Loam"|"7935370"|"15150203"
"COSL"|"No "|"No "|"Coarse sandy loam"|"7935370"|"15298375"
"SL"|"No "|"No "|"Sandy loam"|"7935370"|"15594717"
"CL"|"No "|"No "|"Clay loam"|"7935371"|"15446547"
"L"|"No "|"No "|"Loam"|"7935371"|"15594718"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7935383"|"15594724"
"LFS"|"No "|"No "|"Loamy fine sand"|"7935384"|"15150210"
"FS"|"No "|"No "|"Fine sand"|"7935384"|"15298382"
"FSL"|"No "|"No "|"Fine sandy loam"|"7935385"|"15150211"
"FS"|"No "|"No "|"Fine sand"|"7935385"|"15446554"
"LS"|"No "|"No "|"Loamy sand"|"7935385"|"15594725"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"7935386"|"15298383"
"SCL"|"No "|"No "|"Sandy clay loam"|"7935402"|"15150219"
"GR-L"|"No "|"No "|"Gravelly loam"|"7935402"|"15298391"
"L"|"No "|"No "|"Loam"|"7935402"|"15594733"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7935403"|"15446563"
"L"|"No "|"Yes"|"Loam"|"7935404"|"15594734"
"L"|"No "|"No "|"Loam"|"7935435"|"15298407"
"CL"|"No "|"No "|"Clay loam"|"7935435"|"15446579"
"SICL"|"No "|"No "|"Silty clay loam"|"7935436"|"15150236"
"SIC"|"No "|"No "|"Silty clay"|"7935436"|"15298408"
"CL"|"No "|"No "|"Clay loam"|"7935436"|"15594750"
"CL"|"No "|"No "|"Clay loam"|"7935450"|"15150244"
"L"|"No "|"No "|"Loam"|"7935450"|"15446587"
"SIL"|"No "|"No "|"Silt loam"|"7935450"|"15594758"
"CL"|"No "|"No "|"Clay loam"|"7935451"|"15298416"
"SIC"|"No "|"No "|"Silty clay"|"7935451"|"15446588"
"C"|"No "|"No "|"Clay"|"7935451"|"15594759"
"CL"|"No "|"No "|"Clay loam"|"7935488"|"15150263"
"L"|"No "|"No "|"Loam"|"7935488"|"15298435"
"L"|"No "|"No "|"Loam"|"7935489"|"15446607"
"CL"|"No "|"No "|"Clay loam"|"7935489"|"15594778"
"L"|"No "|"Yes"|"Loam"|"7935490"|"15150264"
"L"|"No "|"No "|"Loam"|"7935491"|"15298436"
"CL"|"No "|"No "|"Clay loam"|"7935491"|"15446608"
"SICL"|"No "|"No "|"Silty clay loam"|"7935492"|"15150265"
"SIC"|"No "|"No "|"Silty clay"|"7935492"|"15298437"
"CL"|"No "|"No "|"Clay loam"|"7935492"|"15594779"
"GRV-COS"|"No "|"No "|"Very gravelly coarse sand"|"7935493"|"15150266"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7935493"|"15446609"
"GR-S"|"No "|"No "|"Gravelly sand"|"7935493"|"15594780"
"L"|"No "|"No "|"Loam"|"7935504"|"15150270"
"CL"|"No "|"No "|"Clay loam"|"7935504"|"15594784"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7935505"|"15298442"
"L"|"No "|"Yes"|"Loam"|"7935508"|"15298443"
"CL"|"No "|"Yes"|"Clay loam"|"7935509"|"15446615"
"L"|"No "|"No "|"Loam"|"7935510"|"15150272"
"CL"|"No "|"No "|"Clay loam"|"7935510"|"15594786"
"SICL"|"No "|"No "|"Silty clay loam"|"7935520"|"15150276"
"CL"|"No "|"No "|"Clay loam"|"7935520"|"15298448"
"SIL"|"No "|"No "|"Silt loam"|"7935520"|"15594790"
"SR- VFS SIL"|"Yes"|"Yes"|"Stratified very fine sand to silt loam"|"7935521"|"15446620"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7935522"|"15594791"
"L"|"No "|"No "|"Loam"|"7935523"|"15150277"
"CL"|"No "|"No "|"Clay loam"|"7935523"|"15298449"
"C"|"No "|"No "|"Clay"|"7935524"|"15150278"
"SIC"|"No "|"No "|"Silty clay"|"7935524"|"15446621"
"SICL"|"No "|"No "|"Silty clay loam"|"7935524"|"15594792"
"CL"|"No "|"No "|"Clay loam"|"7935525"|"15298450"
"L"|"No "|"No "|"Loam"|"7935525"|"15446622"
"FSL"|"No "|"No "|"Fine sandy loam"|"7935525"|"15594793"
"CL"|"No "|"No "|"Clay loam"|"7935526"|"15150279"
"L"|"No "|"No "|"Loam"|"7935526"|"15298451"
"FSL"|"No "|"No "|"Fine sandy loam"|"7935526"|"15446623"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7935560"|"15150295"
"C"|"No "|"No "|"Clay"|"7935561"|"15298467"
"SIC"|"No "|"No "|"Silty clay"|"7935561"|"15446639"
"SICL"|"No "|"No "|"Silty clay loam"|"7935561"|"15594810"
"FRAG"|"No "|"Yes"|"Fragmental material"|"7935562"|"15150296"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7935575"|"15150302"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7935576"|"15298474"
"L"|"No "|"No "|"Loam"|"7935580"|"15446647"
"GR-L"|"No "|"No "|"Gravelly loam"|"7935580"|"15594818"
"SIC"|"No "|"No "|"Silty clay"|"7935581"|"15150304"
"C"|"No "|"No "|"Clay"|"7935581"|"15298476"
"SICL"|"No "|"No "|"Silty clay loam"|"7935581"|"15446648"
"SL"|"No "|"Yes"|"Sandy loam"|"7935582"|"15594819"
"SL"|"No "|"No "|"Sandy loam"|"7935589"|"15150308"
"FSL"|"No "|"No "|"Fine sandy loam"|"7935589"|"15446651"
"LFS"|"No "|"No "|"Loamy fine sand"|"7935589"|"15594822"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7935590"|"15298480"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7935591"|"15446652"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7935592"|"15594823"
"L"|"No "|"Yes"|"Loam"|"7935593"|"15150309"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7935594"|"15298481"
"LS"|"No "|"No "|"Loamy sand"|"7935595"|"15150310"
"FS"|"No "|"No "|"Fine sand"|"7935595"|"15446653"
"LFS"|"No "|"No "|"Loamy fine sand"|"7935595"|"15594824"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7935596"|"15298482"
"SIL"|"No "|"No "|"Silt loam"|"7935645"|"15150332"
"CL"|"No "|"No "|"Clay loam"|"7935645"|"15446675"
"L"|"No "|"No "|"Loam"|"7935645"|"15594846"
"SIL"|"No "|"Yes"|"Silt loam"|"7935646"|"15298504"
"L"|"No "|"No "|"Loam"|"7935647"|"15446676"
"CL"|"No "|"No "|"Clay loam"|"7935647"|"15594847"
"SIL"|"No "|"Yes"|"Silt loam"|"7937547"|"15595703"
"FS"|"No "|"No "|"Fine sand"|"7937548"|"15151189"
"LS"|"No "|"No "|"Loamy sand"|"7937548"|"15299361"
"S"|"No "|"No "|"Sand"|"7937548"|"15447533"
"SICL"|"No "|"No "|"Silty clay loam"|"7937549"|"15151190"
"SIL"|"No "|"No "|"Silt loam"|"7937549"|"15595704"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7937566"|"15595711"
"CL"|"No "|"Yes"|"Clay loam"|"7937567"|"15151197"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7937568"|"15299369"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7937569"|"15447541"
"CL"|"No "|"No "|"Clay loam"|"7937572"|"15151199"
"L"|"No "|"No "|"Loam"|"7937572"|"15447542"
"SICL"|"No "|"No "|"Silty clay loam"|"7937572"|"15595713"
"SICL"|"No "|"No "|"Silty clay loam"|"7937573"|"15299371"
"L"|"No "|"No "|"Loam"|"7937573"|"15447543"
"CL"|"No "|"No "|"Clay loam"|"7937573"|"15595714"
"L"|"No "|"No "|"Loam"|"7939388"|"15300240"
"SIL"|"No "|"No "|"Silt loam"|"7939388"|"15448412"
"CL"|"No "|"No "|"Clay loam"|"7939389"|"15152069"
"L"|"No "|"No "|"Loam"|"7939389"|"15596583"
"L"|"No "|"No "|"Loam"|"7939390"|"15300241"
"CL"|"No "|"No "|"Clay loam"|"7939390"|"15448413"
"FSL"|"No "|"No "|"Fine sandy loam"|"7939390"|"15596584"
"SICL"|"No "|"No "|"Silty clay loam"|"7939395"|"15152073"
"L"|"No "|"No "|"Loam"|"7939395"|"15448416"
"CL"|"No "|"No "|"Clay loam"|"7939395"|"15596587"
