"Silt loam"||"15419723"|"15945402"
"Silt loam"||"15419724"|"15491371"
"Clay loam"||"15420726"|"15642970"
"Sand"||"15421943"|"15491940"
"Fine sandy loam"||"15422114"|"15643327"
"Clay loam"||"15422127"|"15794674"
"Silty clay loam"||"15422128"|"15946018"
"Silty clay loam"||"15422129"|"15491987"
"Fine sandy loam"||"15422130"|"15643331"
"Loam"||"15422144"|"15946022"
|"Unweathered bedrock"|"15422145"|"15491991"
|"Weathered bedrock"|"15422146"|"15643335"
"Loam"||"15422147"|"15794679"
"Loamy sand"||"15422160"|"15946026"
"Silty clay"||"15422161"|"15491995"
"Clay loam"||"15422162"|"15643339"
"Silty clay loam"||"15422163"|"15794683"
"Clay loam"||"15422164"|"15946027"
"Loamy fine sand"||"15422177"|"15491999"
"Fine sand"||"15422178"|"15643343"
"Fine sandy loam"||"15422179"|"15794687"
"Loamy fine sand"||"15422180"|"15946031"
"Sandy clay loam"||"15422194"|"15643347"
"Loam"||"15422195"|"15794691"
"Silty clay loam"||"15422196"|"15946035"
"Silty clay loam"||"15422197"|"15492004"
"Loam"||"15422211"|"15794695"
"Loam"||"15422212"|"15946039"
"Loam"||"15422213"|"15492008"
"Silt loam"||"15422214"|"15643352"
"Silty clay"||"15422227"|"15794699"
"Silt loam"||"15422228"|"15946043"
"Silty clay loam"||"15422229"|"15492012"
"Loam"||"15422230"|"15643356"
"Silty clay loam"||"15422231"|"15794700"
"Clay loam"||"15422244"|"15946047"
"Clay loam"||"15422245"|"15492016"
"Clay loam"||"15422246"|"15643360"
"Silt loam"||"15422247"|"15794704"
"Silty clay loam"||"15422261"|"15643364"
"Loamy sand"||"15422262"|"15794708"
"Silty clay loam"||"15422263"|"15946052"
"Silt loam"||"15422264"|"15492021"
"Silt loam"||"15422277"|"15643368"
"Loamy fine sand"||"15422278"|"15794712"
"Silty clay loam"||"15422279"|"15946056"
"Silt loam"||"15422280"|"15492025"
"Loam"||"15422281"|"15643369"
"Loam"||"15422294"|"15794716"
"Loam"||"15422295"|"15946060"
"Loam"||"15422296"|"15492029"
"Clay loam"||"15422297"|"15643373"
"Loam"||"15422311"|"15946064"
"Silt loam"||"15422312"|"15492033"
"Sandy loam"||"15422313"|"15643377"
"Clay"||"15422314"|"15794721"
"Silt loam"||"15422328"|"15492037"
"Silty clay"||"15422329"|"15643381"
"Clay"||"15422330"|"15794725"
"Clay"||"15422331"|"15946069"
"Silty clay loam"||"15422344"|"15492041"
"Loam"||"15422345"|"15643385"
"Loam"||"15422346"|"15794729"
"Loam"||"15422347"|"15946073"
"Silt loam"||"15422348"|"15492042"
"Loam"||"15422361"|"15643389"
"Loam"||"15422362"|"15794733"
"Fine sand"||"15422363"|"15946077"
"Clay"||"15422364"|"15492046"
"Clay loam"||"15422378"|"15794737"
"Clay"||"15422379"|"15946081"
"Loam"||"15422380"|"15492050"
"Loam"||"15422381"|"15643394"
"Loamy fine sand"||"15427976"|"15947509"
