"Gravelly"|"15422685"|"3688527"
"Gravelly"|"15423755"|"3650070"
"Gravelly"|"15424973"|"3688657"
"Cobbly"|"15426120"|"3650213"
"Gravelly"|"15426129"|"3611706"
"Gravelly"|"15426143"|"3650215"
"Gravelly"|"15427690"|"3573307"
"Gravelly"|"15430848"|"3612008"
"Cobbly"|"15430855"|"3612009"
"Gravelly"|"15430864"|"3689025"
"Gravelly"|"15432061"|"3573584"
"Very gravelly"|"15433206"|"3689167"
"Gravelly"|"15433220"|"3650660"
"Gravelly"|"15435546"|"3689314"
"Gravelly"|"15435560"|"3650808"
"Very channery"|"15435576"|"3650809"
"Extremely channery"|"15436773"|"3689399"
"Gravelly"|"15437916"|"3612446"
"Gravelly"|"15437927"|"3689462"
"Gravelly"|"15437934"|"3689463"
"Gravelly"|"15437941"|"3650956"
"Gravelly"|"15439145"|"3689557"
"Gravelly"|"15440281"|"3651108"
"Gravelly"|"15440290"|"3612601"
"Gravelly"|"15441503"|"3574179"
"Very channery"|"15441871"|"3612708"
"Channery"|"15442641"|"3612750"
"Gravelly"|"15442655"|"3651259"
"Very gravelly"|"15442671"|"3689768"
"Gravelly"|"15444997"|"3689910"
"Gravelly"|"15446231"|"3689994"
"Gravelly"|"15447403"|"3690056"
"Channery"|"15449727"|"3651692"
"Channery"|"15449734"|"3613185"
"Gravelly"|"15449743"|"3690201"
"Channery"|"15449750"|"3651694"
"Gravelly"|"15449752"|"3690202"
"Very gravelly"|"15452099"|"3613346"
"Gravelly"|"15452106"|"3651855"
"Cobbly"|"15452117"|"3651856"
"Channery"|"15452124"|"3690364"
"Very gravelly"|"15453328"|"3574924"
"Very channery"|"15454480"|"3652005"
"Channery"|"15454496"|"3574990"
"Very gravelly"|"15454498"|"3613498"
"Very gravelly"|"15455700"|"3652090"
"Gravelly"|"15455793"|"3575082"
"Gravelly"|"15456854"|"3652151"
"Channery"|"15456870"|"3613644"
"Gravelly"|"15456877"|"3690660"
"Channery"|"15458449"|"3613751"
"Extremely gravelly"|"15460446"|"3690889"
"Gravelly"|"15461591"|"3575427"
