"Channery"|"15423909"|"3573068"
"Gravelly"|"15423910"|"3611576"
"Channery"|"15423927"|"3573069"
"Very channery"|"15426300"|"3650228"
"Channery"|"15430779"|"3612004"
"Very channery"|"15442827"|"3574260"
"Channery"|"15445166"|"3689923"
"Channery"|"15447538"|"3651559"
"Very channery"|"15454661"|"3690531"
"Very gravelly"|"15457016"|"3690673"
"Channery"|"15457033"|"3690675"
"Gravelly"|"15459388"|"3652313"
"Channery"|"15461761"|"3690968"
"Gravelly"|"15466507"|"3691256"
"Channery"|"15468630"|"3652875"
"Channery"|"15473576"|"3653191"
"Very channery"|"15478292"|"3692004"
"Channery"|"15481449"|"3576682"
"Very channery"|"15485378"|"3576924"
"Gravelly"|"15488519"|"3692645"
"Channery"|"15490091"|"3692748"
"Channery"|"15494853"|"3693061"
"Channery"|"15499583"|"3577833"
"Channery"|"15501704"|"3616464"
"Channery"|"15501937"|"3577977"
"Gravelly"|"15501941"|"3654993"
"Channery"|"15501954"|"3693501"
"Channery"|"15506684"|"3655299"
"Channery"|"15506701"|"3578285"
"Very channery"|"15509059"|"3655449"
"Very flaggy"|"15511165"|"3578561"
"Very channery"|"15513754"|"3578726"
"Channery"|"15516127"|"3578879"
"Gravelly"|"15516143"|"3617389"
"Gravelly"|"15517866"|"3656003"
"Channery"|"15517867"|"3694511"
"Gravelly"|"15518483"|"3656043"
"Channery"|"15518500"|"3694553"
"Channery"|"15520222"|"3617655"
"Very channery"|"15520840"|"3656196"
"Channery"|"15523213"|"3579320"
"Gravelly"|"15524953"|"3694956"
"Extremely flaggy"|"15525336"|"3579447"
"Very gravelly"|"15527945"|"3695142"
"Gravelly"|"15534814"|"3657074"
"Channery"|"15539541"|"3695877"
"Gravelly"|"15539775"|"3580372"
"Gravelly"|"15541915"|"3657518"
"Channery"|"15542936"|"3619084"
"Channery"|"15543906"|"3619150"
"Channery"|"15548986"|"3580967"
"Very channery"|"15549235"|"3619496"
"Channery"|"15550974"|"3581109"
"Very channery"|"15551609"|"3581144"
"Channery"|"15561049"|"3620249"
"Channery"|"15561053"|"3697265"
"Very flaggy"|"15561066"|"3581743"
"Very channery"|"15565779"|"3659062"
"Very channery"|"15568155"|"3697718"
"Channery"|"15569910"|"3659333"
"Very cobbly"|"15572665"|"3659495"
"Very channery"|"15574640"|"3621117"
"Gravelly"|"15575258"|"3659660"
"Gravelly"|"15579986"|"3621445"
"Very gravelly"|"15582360"|"3698615"
"Very flaggy"|"15587071"|"3621890"
"Channery"|"15589428"|"3583524"
"Gravelly"|"15594158"|"3699345"
"Channery"|"15594175"|"3622331"
"Channery"|"15596514"|"3622486"
"Very channery"|"15597299"|"3699551"
"Gravelly"|"15598653"|"3584111"
"Gravelly"|"15598890"|"3699653"
"Very channery"|"15601245"|"3622782"
"Channery"|"15603636"|"3661447"
"Very gravelly"|"15605992"|"3584577"
"Gravelly"|"15607730"|"3584685"
"Cobbly"|"15610503"|"3661870"
"Gravelly"|"15610736"|"3661886"
"Channery"|"15610754"|"3700396"
"Channery"|"15620228"|"3585493"
"Channery"|"15622554"|"3585635"
"Channery"|"15622571"|"3585636"
"Channery"|"15624290"|"3585751"
"Gravelly"|"15624928"|"3662798"
"Very gravelly"|"15630858"|"3663177"
"Channery"|"15636743"|"3586531"
"Very channery"|"15641456"|"3702356"
"Very channery"|"15643826"|"3664004"
"Channery"|"15649776"|"3702914"
"Channery"|"15650930"|"3664475"
"Extremely channery"|"15655044"|"3587714"
"Very channery"|"15657799"|"3703402"
"Channery"|"15659252"|"3626492"
"Channery"|"15660389"|"3703574"
"Gravelly"|"15662746"|"3703721"
"Very channery"|"15664870"|"3703857"
"Very channery"|"15665102"|"3626859"
"Very flaggy"|"15669848"|"3704184"
"Channery"|"15672188"|"3627320"
"Extremely channery"|"15677702"|"3704686"
"Very channery"|"15681647"|"3704938"
"Gravelly"|"15681664"|"3589417"
"Very channery"|"15688132"|"3628336"
"Gravelly"|"15688749"|"3628373"
"Gravelly"|"15693479"|"3667187"
"Very channery"|"15693496"|"3628681"
"Very channery"|"15695872"|"3628831"
"Very gravelly"|"15697978"|"3628956"
"Channery"|"15698212"|"3590470"
"Gravelly"|"15698229"|"3667487"
"Very channery"|"15699947"|"3706101"
"Very channery"|"15700583"|"3629123"
"Very gravelly"|"15701785"|"3706222"
"Channery"|"15704145"|"3590849"
"Very cobbly"|"15705063"|"3629403"
"Channery"|"15710028"|"3706748"
"Very channery"|"15711764"|"3629847"
"Very gravelly"|"15712401"|"3591375"
"Channery"|"15716512"|"3591648"
"Channery"|"15719502"|"3591838"
"Very flaggy"|"15724250"|"3592135"
"Very channery"|"15726369"|"3707783"
"Channery"|"15733091"|"3631198"
"Very channery"|"15738402"|"3631528"
"Channery"|"15740542"|"3593150"
"Very channery"|"15740793"|"3593170"
"Gravelly"|"15742532"|"3631787"
"Extremely channery"|"15742901"|"3631803"
"Very channery"|"15743133"|"3670331"
"Very gravelly"|"15747862"|"3593617"
"Channery"|"15750001"|"3593752"
"Very channery"|"15752576"|"3670943"
"Channery"|"15754349"|"3671061"
"Extremely flaggy"|"15754730"|"3632569"
"Very channery"|"15760498"|"3594428"
"Very channery"|"15763825"|"3633145"
"Channery"|"15764440"|"3710192"
"Channery"|"15766580"|"3671817"
"Very channery"|"15766833"|"3710346"
"Channery"|"15767601"|"3671889"
"Channery"|"15768570"|"3671955"
"Gravelly"|"15770945"|"3633596"
"Extremely channery"|"15771546"|"3595120"
"Channery"|"15771563"|"3633630"
"Channery"|"15773283"|"3672253"
"Extremely channery"|"15773919"|"3633782"
"Very flaggy"|"15776023"|"3633916"
"Channery"|"15778615"|"3634087"
"Channery"|"15778632"|"3634089"
"Channery"|"15781005"|"3634248"
"Channery"|"15783359"|"3634397"
"Very channery"|"15787840"|"3673171"
"Very channery"|"15789261"|"3634767"
"Channery"|"15790431"|"3596329"
"Channery"|"15797532"|"3673793"
"Very channery"|"15799906"|"3673933"
"Channery"|"15806388"|"3597351"
"Very stony"|"15814077"|"3713362"
"Channery"|"15814094"|"3597840"
"Channery"|"15815298"|"3597930"
"Gravelly"|"15816451"|"3675013"
"Very channery"|"15818573"|"3675148"
"Channery"|"15818806"|"3713676"
"Gravelly"|"15820029"|"3713767"
"Very channery"|"15820546"|"3598274"
"Channery"|"15823287"|"3675456"
"Extremely channery"|"15830624"|"3637414"
"Gravelly"|"15832377"|"3637525"
"Extremely channery"|"15832762"|"3637540"
"Channery"|"15832995"|"3599050"
"Gravelly"|"15833012"|"3714575"
"Very channery"|"15833782"|"3714623"
"Channery"|"15835369"|"3676217"
"Very channery"|"15837510"|"3676346"
"Channery"|"15837743"|"3676364"
"Very channery"|"15840084"|"3638000"
"Channery"|"15842471"|"3715167"
"Very flaggy"|"15844594"|"3599771"
"Channery"|"15844827"|"3638296"
"Very channery"|"15846585"|"3715421"
"Channery"|"15847203"|"3638441"
"Very channery"|"15847220"|"3715458"
"Gravelly"|"15849573"|"3638596"
"Very channery"|"15851295"|"3600205"
"Very channery"|"15854272"|"3715918"
"Channery"|"15854289"|"3715920"
"Gravelly"|"15856661"|"3639055"
"Very channery"|"15859002"|"3677709"
"Channery"|"15861359"|"3677857"
"Channery"|"15861372"|"3716366"
"Very channery"|"15863732"|"3678015"
"Channery"|"15865485"|"3639621"
"Very channery"|"15870232"|"3639926"
"Extremely channery"|"15870850"|"3678465"
"Very channery"|"15871635"|"3717024"
"Channery"|"15872988"|"3717104"
"Very gravelly"|"15873222"|"3640108"
"Channery"|"15874976"|"3717238"
"Extremely flaggy"|"15877717"|"3601886"
"Channery"|"15880327"|"3602049"
"Channery"|"15882064"|"3679177"
"Very channery"|"15882682"|"3602196"
"Channery"|"15885057"|"3640854"
"Channery"|"15886779"|"3602466"
"Channery"|"15887396"|"3679512"
"Channery"|"15887413"|"3718021"
"Very channery"|"15894481"|"3679962"
"Gravelly"|"15894498"|"3641456"
"Very channery"|"15896837"|"3603102"
"Channery"|"15896853"|"3641611"
"Channery"|"15896854"|"3680119"
"Gravelly"|"15898241"|"3641700"
"Channery"|"15901586"|"3603399"
"Channery"|"15903924"|"3603540"
"Very channery"|"15906315"|"3680703"
"Very flaggy"|"15908671"|"3603836"
"Channery"|"15908672"|"3642344"
"Channery"|"15908688"|"3603838"
"Channery"|"15910426"|"3719481"
"Flaggy"|"15911060"|"3719517"
"Flaggy"|"15915555"|"3642786"
"Very flaggy"|"15922289"|"3604735"
"Channery"|"15922894"|"3681784"
"Channery"|"15924112"|"3720383"
"Very channery"|"15925250"|"3604923"
"Channery"|"15927590"|"3720595"
"Gravelly"|"15929727"|"3682224"
"Gravelly"|"15929963"|"3605230"
"Channery"|"15929980"|"3643739"
"Channery"|"15941762"|"3644495"
"Channery"|"15945336"|"3721739"
"Channery"|"15945872"|"3606245"
"Channery"|"15948244"|"3721923"
"Channery"|"15948630"|"3683429"
"Channery"|"15954832"|"3645313"
"Extremely channery"|"15955985"|"3606870"
"Gravelly"|"15958105"|"3684017"
"Channery"|"15959143"|"3684087"
"Very gravelly"|"15959575"|"3722629"
"Very channery"|"15962836"|"3722826"
"Channery"|"15964806"|"3684459"
"Channery"|"15965192"|"3645966"
"Channery"|"15967164"|"3646102"
"Gravelly"|"15967799"|"3723153"
"Very channery"|"15969204"|"3607731"
"Gravelly"|"15970171"|"3646296"
"Channery"|"15972293"|"3684931"
"Channery"|"15972510"|"3723456"
"Gravelly"|"15972514"|"3684949"
"Flaggy"|"15972527"|"3646443"
"Flaggy"|"15974249"|"3685061"
"Very channery"|"15974867"|"3608085"
"Channery"|"15977240"|"3723765"
"Very channery"|"15981986"|"3608544"
"Very channery"|"15986468"|"3608827"
"Gravelly"|"15986717"|"3685862"
"Very channery"|"15990811"|"3647627"
"Channery"|"15993802"|"3609302"
"Very channery"|"15993819"|"3647811"
"Extremely channery"|"15996162"|"3686466"
"Gravelly"|"15998568"|"3725133"
"Very gravelly"|"15999770"|"3686707"
"Channery"|"16003263"|"3648409"
"Very channery"|"16005620"|"3725575"
"Channery"|"16005637"|"3725577"
"Very channery"|"16007992"|"3610204"
"Channery"|"16010116"|"3687348"
"Channery"|"16010350"|"3687368"
"Very channery"|"16010367"|"3610354"
"Channery"|"16015080"|"3649168"
"Very channery"|"16015097"|"3649170"
"Channery"|"16019810"|"3610967"
"Very channery"|"16019823"|"3649476"
"Channery"|"16019827"|"3610969"
"Channery"|"16024553"|"3649780"
