ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
CurCond4.1.3b.6f_Watershed_1,CurCond4.1.3b.6f,Watershed_1,0.019,0.131,0.131,0.263,0.457,0.072,0.261,0.666,0.031,0.02107068487793088,0.11257283153337354,0.1458323015589245,0.28794200304058776,0.43258217898918355,0.08034755880788214,0.2575804857795861,0.662071955412532,0.03425779508064024,6.4,1.480684279878259,33.02,1.03
CurCond4.1.3b.6f_Watershed_2,CurCond4.1.3b.6f,Watershed_2,0.037,0.074,0.193,0.406,0.289,0.118,0.269,0.613,0.051,0.03959392675307119,0.06431981365424623,0.19996888296873075,0.42130197249944007,0.2748154041245119,0.12349625633691794,0.26591066745651654,0.6105930762065657,0.052677676889229794,13.4,11.106086241477225,52.93,1.65
CurCond4.1.3b.6f_Watershed_3,CurCond4.1.3b.6f,Watershed_3,0.02,0.12,0.137,0.274,0.449,0.076,0.257,0.668,0.033,0.02131345053051091,0.10460947774089918,0.14749237165375434,0.2922705328936819,0.4343141671811538,0.08136912370592758,0.2513770943966543,0.6672537818974182,0.03469314610796171,8.2,4.111499262215069,34.54,1.08
CurCond4.1.3b.6f_Watershed_4,CurCond4.1.3b.6f,Watershed_4,0.022,0.123,0.14,0.278,0.437,0.079,0.263,0.658,0.034,0.029671477138650836,0.09596081490578985,0.17196336226038567,0.32788923534810804,0.3745151103470656,0.09841678087505493,0.2657403882054374,0.6358428309195077,0.04197711418053646,44.1,12.70713649319571,35.77,1.12
CurCond4.1.3b.6f_Watershed_5,CurCond4.1.3b.6f,Watershed_5,0.02,0.119,0.139,0.277,0.444,0.077,0.258,0.665,0.033,0.023973812214546072,0.08843383423116023,0.1629472931026726,0.31755990789565175,0.40708515255596944,0.08979412194087952,0.2500254789103167,0.6601803991488039,0.038287537950898176,8.8,2.570010573221849,35.03,1.1
CurCond4.1.3b.6f_Watershed_6,CurCond4.1.3b.6f,Watershed_6,0.019,0.124,0.134,0.269,0.454,0.074,0.258,0.668,0.032,0.021337968894717167,0.10391350097174044,0.14772408165424156,0.29279808838832,0.43422636009098076,0.08149476087420582,0.25091880258932237,0.6675864365364719,0.03474667571702485,3.4,1.1530734034015386,33.77,1.06
CurCond4.1.3b.6f_Watershed_7_Ward,CurCond4.1.3b.6f,Watershed_7_Ward,0.018,0.166,0.116,0.234,0.466,0.066,0.282,0.652,0.028,0.017621453405953422,0.17391774700960688,0.11205538854225201,0.2261734678815294,0.4702319431606583,0.06365631370864001,0.2858514892291228,0.6504921970622373,0.027143874130980933,205.2,158.77494378865973,30.28,0.95
CurCond4.1.3b.6f_Watershed_8,CurCond4.1.3b.6f,Watershed_8,0.016,0.168,0.108,0.22,0.488,0.06,0.276,0.664,0.026,0.013397956915578973,0.19474564348704795,0.09275496490131065,0.19173690020454828,0.5073645344915141,0.0519512076300058,0.28786994841545505,0.6601788439545391,0.022148620166492366,9.7,4.706332744595433,27.7,0.87
CurCond4.1.3b.6f_Watershed_9_Blackwood,CurCond4.1.3b.6f,Watershed_9_Blackwood,0.034,0.176,0.19,0.264,0.335,0.1,0.354,0.546,0.043,0.02435590001343344,0.12755746774395071,0.1507313966533937,0.3077138282149358,0.3896414073742864,0.08662389370057816,0.27848677783783166,0.6348893284615902,0.036938487589595684,116.3,96.29966558836956,45.54,1.42
CurCond4.1.3b.6f_Watershed_10,CurCond4.1.3b.6f,Watershed_10,0.034,0.153,0.163,0.2,0.45,0.088,0.303,0.609,0.038,0.015894715987956335,0.06870395666770779,0.08574130044738242,0.248265552655771,0.5813944742411825,0.058564420095275356,0.1621734601968927,0.779262119707832,0.024962703410640066,111.8,174.15656558042411,39.95,1.25
CurCond4.1.3b.6f_Watershed_11_General,CurCond4.1.3b.6f,Watershed_11_General,0.063,0.194,0.282,0.281,0.18,0.15,0.446,0.404,0.064,0.02009804595149926,0.056103717391464615,0.09966452341609276,0.31918931748299095,0.5049443957579522,0.07272700282311094,0.16793471538499286,0.7593382817918961,0.03099782015492715,69.9,189.6956537865346,67.23,2.1
CurCond4.1.3b.6f_Watershed_12_Meeks,CurCond4.1.3b.6f,Watershed_12_Meeks,0.048,0.089,0.199,0.32,0.344,0.122,0.28,0.599,0.052,0.02578144607607297,0.015090638874632032,0.1028882352432982,0.3154319672025855,0.5408077126034113,0.07871862846546485,0.1290743810706632,0.792206990463872,0.03356832416104073,79.8,147.66002640952786,54.32,1.7
CurCond4.1.3b.6f_Watershed_13,CurCond4.1.3b.6f,Watershed_13,0.018,0.133,0.121,0.248,0.48,0.068,0.255,0.678,0.029,0.01213304010613847,0.09936459055152588,0.08197965320595824,0.1956447504468901,0.6108779656894875,0.04879957722683778,0.18439359097750352,0.7668068317956589,0.020800322512839028,4.0,0.432864358634206,30.93,0.97
CurCond4.1.3b.6f_Watershed_14,CurCond4.1.3b.6f,Watershed_14,0.015,0.116,0.106,0.221,0.542,0.059,0.223,0.718,0.025,0.005352186611497813,0.04705478920806513,0.03705362604645711,0.10326957518099322,0.8072698229529867,0.023394189650218594,0.08703013597754308,0.8895756743722383,0.009968236558115417,6.7,1.5018585603124177,27.24,0.85
CurCond4.1.3b.6f_Watershed_15,CurCond4.1.3b.6f,Watershed_15,0.03,0.131,0.155,0.234,0.45,0.086,0.278,0.636,0.037,0.06368591738612064,0.12355640834310178,0.2427332093111205,0.1740165112445746,0.3960079537150825,0.13213025916397997,0.3331706276590116,0.5346991131770085,0.05647594086891874,3.4,0.849574359730441,38.94,1.22
CurCond4.1.3b.6f_Watershed_16,CurCond4.1.3b.6f,Watershed_16,0.018,0.11,0.114,0.245,0.513,0.067,0.225,0.708,0.029,0.01903366994338539,0.07885532785389891,0.09866554520423083,0.23211578511965628,0.5713296718788285,0.06283156270832407,0.18084248467248132,0.7563259526191946,0.026794206449118674,12.7,5.437760424398329,30.4,0.95
CurCond4.1.3b.6f_Watershed_17,CurCond4.1.3b.6f,Watershed_17,0.018,0.108,0.098,0.203,0.573,0.058,0.207,0.735,0.025,0.017992415271102433,0.07032411602855329,0.05989378570429254,0.13135814852934072,0.7204315344667109,0.04363446075911289,0.13124156039629153,0.8251239788445954,0.018626229102921582,13.6,5.47097613051071,26.74,0.84
CurCond4.1.3b.6f_Watershed_18,CurCond4.1.3b.6f,Watershed_18,0.106,0.045,0.252,0.26,0.337,0.185,0.271,0.544,0.079,0.03576827860655757,0.007317711294666122,0.15022041075060918,0.38981538081046957,0.41687821853769763,0.10605650797517259,0.1663824149811856,0.7275610770436418,0.04523667448380775,112.2,748.166741650081,81.05,2.53
CurCond4.1.3b.6f_Watershed_19,CurCond4.1.3b.6f,Watershed_19,0.055,0.158,0.178,0.242,0.367,0.117,0.323,0.56,0.05,0.02538241048708493,0.04833395048424054,0.0924026545016135,0.2832265191949763,0.5506544653320847,0.07291879598722803,0.15069520288229113,0.7763860011304808,0.031100806810293653,71.7,135.22207647022765,52.45,1.64
CurCond4.1.3b.6f_Watershed_20,CurCond4.1.3b.6f,Watershed_20,0.019,0.142,0.116,0.213,0.51,0.064,0.256,0.679,0.028,0.018140608292074204,0.1444136874245181,0.10163834299226544,0.15139481720060619,0.5844125440905362,0.05457438556630222,0.24035140103427857,0.7050742133994193,0.023288354149029182,32.5,15.669383863641492,29.55,0.92
SimFire4.2.2b.6f_Watershed_2,SimFire4.2.2b.6f,Watershed_2,0.036,0.087,0.254,0.38,0.242,0.128,0.327,0.545,0.055,0.03629808115193147,0.08601910507108039,0.2549747266575297,0.3833184473801312,0.23938963973932717,0.12804627476730324,0.32705928293140496,0.5448944423012918,0.054618977003321786,60.1,55.52911938325754,57.04,1.78
SimFire4.2.2b.6f_Watershed_1,SimFire4.2.2b.6f,Watershed_1,0.024,0.115,0.16,0.292,0.41,0.086,0.271,0.643,0.037,0.02357389852536367,0.11272451358430624,0.15911298945488173,0.2902539403981614,0.414334658037287,0.08588187939976169,0.2684510720656167,0.6456670485346216,0.036624037015043145,154.9,150.31742965569336,39.05,1.22
SimFire4.2.2b.6f_Watershed_3,SimFire4.2.2b.6f,Watershed_3,0.023,0.122,0.175,0.291,0.389,0.089,0.291,0.621,0.038,0.023381637819899742,0.11965385862317583,0.17728256108835672,0.2945085593647345,0.3851733831038331,0.08994460558665174,0.2901586894958217,0.6198967049175266,0.03835551261600795,108.8,99.62957947907884,40.2,1.26
SimFire4.2.2b.6f_Watershed_4,SimFire4.2.2b.6f,Watershed_4,0.033,0.153,0.217,0.297,0.3,0.108,0.355,0.537,0.046,0.02358516279850307,0.11470974528290186,0.16124582127408876,0.3018928983490502,0.3985663722954561,0.08749542802389178,0.2733295596964591,0.6391750122796491,0.037309660485885916,1363.6,1783.758697424922,48.83,1.53
SimFire4.2.2b.6f_Watershed_5,SimFire4.2.2b.6f,Watershed_5,0.026,0.082,0.179,0.335,0.378,0.097,0.258,0.645,0.042,0.026068847504415307,0.08048236969262129,0.17759533973630026,0.3332336904867259,0.38261975257993724,0.09653159954696053,0.2552613965551817,0.6482070038978578,0.04116293115610368,793.4,775.3435418309114,43.78,1.37
SimFire4.2.2b.6f_Watershed_6,SimFire4.2.2b.6f,Watershed_6,0.023,0.109,0.154,0.291,0.423,0.084,0.261,0.655,0.036,0.02255222192126511,0.10843572687489057,0.15417663577015148,0.2910827087570379,0.42375270667665504,0.08390068023571383,0.26035369420827204,0.6557456255560142,0.03577627419133196,217.2,203.88406643554646,38.03,1.19
SimFire4.2.2b.6f_Watershed_7_Ward,SimFire4.2.2b.6f,Watershed_7_Ward,0.104,0.289,0.323,0.159,0.126,0.188,0.56,0.252,0.08,0.019194561236814286,0.1597321734643265,0.129900609125382,0.2509390305764124,0.44023362559706486,0.07144655378933473,0.2883214132441998,0.6402320329664656,0.03046496087608703,4279.6,15630.289508705553,83.33,2.61
SimFire4.2.2b.6f_Watershed_8,SimFire4.2.2b.6f,Watershed_8,0.014,0.2,0.1,0.2,0.485,0.055,0.3,0.645,0.024,0.013837237843226186,0.19462588451559693,0.09783018937429251,0.1963454736091656,0.4973612146577187,0.0539176096885093,0.292233833187267,0.6538485571242237,0.022987401970015316,1095.9,1090.8312771209228,25.65,0.8
SimFire4.2.2b.6f_Watershed_9_Blackwood,SimFire4.2.2b.6f,Watershed_9_Blackwood,0.113,0.461,0.259,0.097,0.07,0.177,0.676,0.147,0.076,0.0201039564907985,0.1509318199357362,0.1304021204851477,0.2625114216736168,0.43605068141470066,0.07360743465885274,0.2811202808525739,0.6452722844885732,0.031386267888507756,5218.9,24021.41039992371,79.3,2.48
SimFire4.2.2b.6f_Watershed_10,SimFire4.2.2b.6f,Watershed_10,0.048,0.315,0.237,0.18,0.219,0.116,0.521,0.363,0.05,0.016781794341372162,0.15219690731741894,0.11341097095266167,0.21565777443293993,0.5019525529556073,0.062061628881244835,0.26410657194009474,0.6738317991786604,0.026464003684371684,1887.2,4634.713352419716,52.92,1.65
SimFire4.2.2b.6f_Watershed_11_General,SimFire4.2.2b.6f,Watershed_11_General,0.096,0.327,0.391,0.107,0.078,0.189,0.647,0.164,0.081,0.019820508777382707,0.0968307492541154,0.11481314240889924,0.2704503711461304,0.4980852284134723,0.07082066856912736,0.21554515721393447,0.7136341742169383,0.030195096670435594,602.0,5398.67551463673,84.33,2.64
SimFire4.2.2b.6f_Watershed_12_Meeks,SimFire4.2.2b.6f,Watershed_12_Meeks,0.091,0.133,0.3,0.273,0.203,0.181,0.398,0.421,0.078,0.022421981264238534,0.04598264580424141,0.10619980856585272,0.27983177324248865,0.5455637911231787,0.07253348642263985,0.158876799179918,0.7685897143974421,0.0309299472094696,434.7,2791.9818335934438,79.91,2.5
SimFire4.2.2b.6f_Watershed_13,SimFire4.2.2b.6f,Watershed_13,0.012,0.112,0.08,0.188,0.609,0.047,0.194,0.759,0.02,0.011117076856341113,0.10750802331877861,0.07732882944157217,0.18257391096353293,0.6214721594197752,0.045508277053902604,0.18750815648838648,0.7669835664577109,0.019396924881580214,329.9,323.2970062522391,21.66,0.68
SimFire4.2.2b.6f_Watershed_14,SimFire4.2.2b.6f,Watershed_14,0.007,0.057,0.048,0.123,0.765,0.029,0.108,0.863,0.012,0.006644120369697153,0.056071070979334864,0.04725059549193295,0.12192363742312992,0.768110575735905,0.02868443612338487,0.10603184911447548,0.8652837147621396,0.012223674004645501,416.8,405.93073216288207,13.44,0.42
SimFire4.2.2b.6f_Watershed_15,SimFire4.2.2b.6f,Watershed_15,0.013,0.079,0.075,0.178,0.656,0.046,0.157,0.797,0.02,0.012239302022825143,0.07745722901974882,0.07287663762563497,0.17525891538126157,0.6621679159505294,0.04496690518457902,0.15318382330602603,0.8018492715093948,0.019170432400112118,247.7,235.713814202628,21.06,0.66
SimFire4.2.2b.6f_Watershed_16,SimFire4.2.2b.6f,Watershed_16,0.011,0.049,0.053,0.13,0.757,0.035,0.104,0.861,0.015,0.01042334205719963,0.04537149547324956,0.0503220505964991,0.12579581771437662,0.7680872941586752,0.03349508068678422,0.09815835843618251,0.8683465608770333,0.01428402264022738,217.5,209.39299665417704,15.94,0.5
SimFire4.2.2b.6f_Watershed_17,SimFire4.2.2b.6f,Watershed_17,0.016,0.065,0.067,0.151,0.701,0.045,0.133,0.822,0.019,0.016013572926894152,0.06085389228703195,0.06491236454564556,0.14654466100117827,0.7116755092392503,0.04421800328514201,0.12731039265766883,0.8284716040571893,0.018866811356795177,173.1,164.34502577305238,20.5,0.64
SimFire4.2.2b.6f_Watershed_18,SimFire4.2.2b.6f,Watershed_18,0.063,0.069,0.172,0.261,0.434,0.125,0.232,0.642,0.054,0.023477572120846054,0.048358437783668384,0.10099032156311381,0.2812311319756691,0.5459425365567028,0.07262841203625431,0.15728783922243478,0.770083748741311,0.0309727149235013,413.3,1828.1866631183102,55.79,1.74
SimFire4.2.2b.6f_Watershed_19,SimFire4.2.2b.6f,Watershed_19,0.027,0.1,0.101,0.157,0.615,0.064,0.196,0.74,0.027,0.011670237110025808,0.07944880906810646,0.05820261968161389,0.14610264595992647,0.7045756881803275,0.038415151812879064,0.1405653511767322,0.8210194970103889,0.016381078621863235,325.5,732.3515676692386,28.91,0.9
SimFire4.2.2b.6f_Watershed_20,SimFire4.2.2b.6f,Watershed_20,0.057,0.214,0.168,0.22,0.342,0.114,0.369,0.517,0.049,0.01709101354585225,0.15627815212487706,0.11736397181654516,0.23096247284002328,0.47830438967270233,0.06472009641030559,0.2728984230634936,0.6623814805262009,0.027595226133940658,893.2,1313.2993293448449,51.38,1.61
SimFire4.2fA2p.2b.6f.obs_cli_Watershed_1,SimFire4.2fA2p.2b.6f.obs,Watershed_1,0.024,0.116,0.161,0.292,0.407,0.087,0.273,0.64,0.037,0.0239595850855609,0.11356605843285539,0.1605119373261599,0.2904007024749296,0.41156171668049424,0.08657727340639867,0.2704116500405882,0.6430110765530132,0.03692156586500706,150.6,145.95597959958843,39.34,1.23
SimFire4.2fA2p.2b.6f.obs_cli_Watershed_2,SimFire4.2fA2p.2b.6f.obs,Watershed_2,0.035,0.091,0.261,0.369,0.244,0.127,0.335,0.538,0.054,0.03537735210640746,0.09021877430511703,0.2623725687615014,0.3721302486709885,0.23990105615598573,0.1275788587335121,0.33593227691972444,0.5364888643467636,0.054419885686365445,48.3,43.9772814461145,56.82,1.78
SimFire4.2fA2p.2b.6f.obs_cli_Watershed_3,SimFire4.2fA2p.2b.6f.obs,Watershed_3,0.023,0.122,0.174,0.292,0.39,0.088,0.289,0.623,0.038,0.023198297998989065,0.11881775918109094,0.17589033906261814,0.29511475277958443,0.3869788509777173,0.08952752006638036,0.28828717099057344,0.622185308943046,0.03817701997394449,113.3,103.91516584142956,40.05,1.25
SimFire4.2fA2p.2b.6f.obs_cli_Watershed_4,SimFire4.2fA2p.2b.6f.obs,Watershed_4,0.032,0.147,0.213,0.307,0.301,0.107,0.347,0.546,0.046,0.023758619440022853,0.11500730037224871,0.16322958738850274,0.3025131083677316,0.3954913844314943,0.08814886010740236,0.27525680809202147,0.6365943318005763,0.03758866115617977,1321.6,1686.1363232381905,48.35,1.51
