ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
CurCond4.1.3b_Watershed_1,CurCond4.1.3b,Watershed_1,262.83,2411256.0,917.4203858007077,600184.0,228.35444964425673,0.0,0.0,5.0,19.023703534604117,5.0,19.023703534604117,0.997,8.9,0.03386219229159533,0.19180000000000003,0.9590000000000001,3.6487463379370704
CurCond4.1.3b_Watershed_2,CurCond4.1.3b,Watershed_2,110.68,1032881.0,933.2137694253704,210297.0,190.00451752800868,0.0,0.0,1.7,15.359595229490422,1.7,15.359595229490422,1.001,2.5,0.022587640043368266,0.19180000000000003,0.32606,2.945970365016263
CurCond4.1.3b_Watershed_3,CurCond4.1.3b,Watershed_3,188.22,1790664.0,951.3675486133249,373314.0,198.3391775581766,0.0,0.0,4.0,21.251726702794603,3.9,20.720433535224736,0.981,5.3,0.028158537881202848,0.19180000000000003,0.7480200000000001,3.974179152056105
CurCond4.1.3b_Watershed_4,CurCond4.1.3b,Watershed_4,1345.08,13708196.0,1019.1361108632943,3950859.0,293.72669283611384,57.2,42.52535165194635,37.7,28.028072679691917,77.4,57.54304576679454,0.816,85.8,0.06378802747791953,0.25160000000000005,19.473840000000006,14.477830314925512
CurCond4.1.3b_Watershed_5,CurCond4.1.3b,Watershed_5,268.63,2753813.0,1025.132338160295,778088.0,289.6504485723858,0.0,0.0,5.5,20.47425827346164,5.5,20.47425827346164,0.999,9.1,0.03387559096154562,0.19180000000000003,1.0549000000000002,3.926962736849943
CurCond4.1.3b_Watershed_6,CurCond4.1.3b,Watershed_6,122.51,1216674.0,993.1221941066035,342041.0,279.1943514815117,0.0,0.0,2.2,17.957717737327563,2.2,17.957717737327563,1.001,3.9,0.031834135988898865,0.19180000000000003,0.4219600000000001,3.4442902620194276
CurCond4.1.3b_Watershed_7_Ward,CurCond4.1.3b,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,12978736.0,560.8230815433211,4253.8,1838.1059790945585,1089.7,470.86936043522036,808.9,349.53310604391095,0.151,717.1,0.3098654844159829,0.3915,316.68435,136.84221101619113
CurCond4.1.3b_Watershed_8,CurCond4.1.3b,Watershed_8,160.26,1925546.0,1201.513790091102,704312.0,439.4808436291027,0.0,0.0,4.6,28.7033570448022,4.6,28.7033570448022,1.002,7.3,0.045550979658055664,0.19180000000000003,0.8822800000000001,5.505303881193062
CurCond4.1.3b_Watershed_9_Blackwood,CurCond4.1.3b,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,19446122.0,728.0274197231821,30251.6,11325.6485228766,34150.2,12785.213416346258,2432.9,910.8334862059024,0.038,2049.4,0.7672580651199706,0.47100000000000003,1145.8959000000002,429.0025720029801
CurCond4.1.3b_Watershed_10,CurCond4.1.3b,Watershed_10,1309.41,15380623.0,1174.6223871820132,6241337.0,476.65261453631786,1911.6,1459.8941508007422,956.4,730.4052970421792,548.2,418.6618400653729,0.191,500.5,0.3822332195416256,0.3099,169.88718000000003,129.7433042362591
