ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
CurCond4.1.3b_Watershed_1,CurCond4.1.3b,Watershed_1,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,31.98,1.0
CurCond4.1.3b_Watershed_2,CurCond4.1.3b,Watershed_2,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,31.98,1.0
CurCond4.1.3b_Watershed_3,CurCond4.1.3b,Watershed_3,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,31.98,1.0
CurCond4.1.3b_Watershed_4,CurCond4.1.3b,Watershed_4,0.018,0.197,0.122,0.245,0.419,0.068,0.318,0.614,0.029,0.014855847006307868,0.20876169959050997,0.1026079897395361,0.21282785703328774,0.46094660663035847,0.05757609068764548,0.3118535006264659,0.6305704086858888,0.02454664743766241,77.4,52.098149967823446,31.16,0.97
CurCond4.1.3b_Watershed_5,CurCond4.1.3b,Watershed_5,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,31.98,1.0
CurCond4.1.3b_Watershed_6,CurCond4.1.3b,Watershed_6,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,31.98,1.0
CurCond4.1.3b_Watershed_7_Ward,CurCond4.1.3b,Watershed_7_Ward,0.069,0.246,0.255,0.205,0.226,0.143,0.468,0.389,0.061,0.01625652431647772,0.1711607148760934,0.11196174356633977,0.22710099936407432,0.4735200178770145,0.06236345114601878,0.2831170344837992,0.6545195143701817,0.026588847826030645,808.9,4197.8957812864055,64.07,2.0
CurCond4.1.3b_Watershed_8,CurCond4.1.3b,Watershed_8,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.01303862265138441,0.1954285536399772,0.09027030602774853,0.18776278131341528,0.5134997363674746,0.050674172573267465,0.28617915435246594,0.6631466730742666,0.02160393347510472,4.6,0.007439956856923077,31.97,1.0
CurCond4.1.3b_Watershed_9_Blackwood,CurCond4.1.3b,Watershed_9_Blackwood,0.185,0.196,0.3,0.201,0.118,0.268,0.454,0.278,0.115,0.021300178632701863,0.14499343452883387,0.13496959905250866,0.27299909327226474,0.42573769451369087,0.0768056742667354,0.2798763538815787,0.6433179718516859,0.03275100246559,2432.9,29076.95081090896,116.24,3.63
CurCond4.1.3b_Watershed_10,CurCond4.1.3b,Watershed_10,0.05,0.205,0.183,0.166,0.396,0.105,0.366,0.529,0.045,0.011016814056136385,0.10253138395621854,0.07442286787571245,0.17452977319710417,0.6374991609148285,0.04399848672442502,0.17940212312265452,0.7765993901529206,0.018754521813175003,548.2,1652.6165697231438,47.46,1.48
