ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
portland_SouthFork_CurCond.202009.cl532.chn_cs160,cs160,portland_SouthFork_CurCond.202009.cl532.chn,0.018,0.137,0.127,0.256,0.462,0.071,0.264,0.666,0.03,0.036763329268023844,0.20287276870038023,0.25450586457734947,0.31674244610635993,0.18911559134788658,0.12182156885837422,0.43661911024697037,0.44155932089465544,0.051980178804410804,335.4,3.7826372575629854,32.23,1.01
portland_CedarCreek_CurCond.202009.cl532.chn_cs150,cs150,portland_CedarCreek_CurCond.202009.cl532.chn,0.024,0.156,0.164,0.267,0.39,0.085,0.313,0.602,0.036,0.036565144889691106,0.1971866255390641,0.253129625161562,0.31910696242691594,0.19401164198276702,0.12156708507904537,0.43009302388393583,0.448339891037019,0.051870605844148536,9.4,2.6583512220493954,38.7,1.21
portland_BlazedAlder_CurCond.202009.cl532.chn_cs50,cs50,portland_BlazedAlder_CurCond.202009.cl532.chn,0.018,0.137,0.127,0.256,0.462,0.071,0.264,0.666,0.03,0.03743322166073992,0.20055926932638643,0.25910172338209175,0.3206390130354286,0.18226677259535343,0.12384694758486871,0.4383369864305414,0.43781606598459,0.052844845744333686,249.6,2.6153102816961487,32.23,1.01
portland_FirCreek_CurCond.202009.cl532.chn_cs150,cs150,portland_FirCreek_CurCond.202009.cl532.chn,0.019,0.14,0.134,0.259,0.447,0.073,0.273,0.654,0.031,0.03463560241059973,0.18965139245796953,0.2397850651339334,0.3156300563476839,0.22029788364981337,0.11647762673228039,0.4116673347088021,0.4718550385589174,0.049695791662804016,47.8,3.3756548977376744,33.46,1.05
portland_BRnearMultnoma_CurCond.202009.cl532.chn_cs200,cs200,portland_BRnearMultnoma_CurCond.202009.cl532.chn,0.02,0.145,0.138,0.259,0.438,0.075,0.281,0.644,0.032,0.028407057951826995,0.18694387953100722,0.19666486397790378,0.28533288125492723,0.30265131728433486,0.0981512994954025,0.3717870768600857,0.5300616236445119,0.04187044663205207,720.0,138.76273474136917,34.18,1.07
portland_NorthFork_CurCond.202009.cl532.chn_cs140,cs140,portland_NorthFork_CurCond.202009.cl532.chn,0.018,0.137,0.127,0.255,0.462,0.07,0.264,0.665,0.03,0.03969109818952105,0.3249037295466165,0.2747849786421289,0.24839076711024677,0.1122294265114866,0.12226141462692469,0.5675417174747219,0.31019686789835327,0.0521905414197265,277.1,2.1651775853405337,32.17,1.01
portland_LittleSandy_CurCond.202009.cl532.chn_cs110,cs110,portland_LittleSandy_CurCond.202009.cl532.chn,0.018,0.137,0.127,0.255,0.463,0.07,0.264,0.666,0.03,0.03281732509861188,0.25424132420942297,0.2265379020093153,0.2792382283982832,0.20716522028436657,0.10826140703400747,0.4620205046481942,0.42971808831779834,0.04619504924087077,784.4,6.4511496658389405,32.12,1.0
portland_SouthFork_CurCond.202009.cl532_gridmet.chn_cs160,gridmet.chncs160,portland_SouthFork_CurCond.202009.cl532,0.02,0.142,0.137,0.26,0.441,0.074,0.277,0.649,0.032,0.036528750615612275,0.20087595017314605,0.2528881429783812,0.3171273540430204,0.19257980218984025,0.12128375683430972,0.433385939803563,0.44533030336212753,0.05175011575195883,608.8,57.79704558416914,33.95,1.06
portland_fixed_order_BRnearMultnoma_CurCond.202009.cl532_gridmet.chn_cs200,CurCond.202009.cl532gridmet.chncs200,portland_fixed_order_BRnearMultnoma,0.025,0.166,0.166,0.263,0.381,0.086,0.324,0.59,0.037,0.030870514628828907,0.20773863463897685,0.21356222827291216,0.28471919751589625,0.26310942494338585,0.1041193453484871,0.40585002928795777,0.4900306253635552,0.044422257615997336,2627.8,1156.3307850711892,39.05,1.22
portland_CedarCreek_CurCond.202009.cl532_gridmet.chn_cs110,gridmet.chncs110,portland_CedarCreek_CurCond.202009.cl532,0.024,0.161,0.168,0.282,0.365,0.088,0.323,0.589,0.038,0.03661736384592922,0.1974934533136837,0.2535044264807776,0.31917481100097184,0.19320994535863775,0.12170510412246952,0.4307026261511183,0.4475922697264123,0.05192958953521444,147.6,41.11187109914508,39.92,1.25
portland_BlazedAlder_CurCond.202009.cl532_gridmet.chn_cs50,gridmet.chncs50,portland_BlazedAlder_CurCond.202009.cl532,0.019,0.14,0.134,0.259,0.447,0.073,0.273,0.654,0.031,0.03594129764241238,0.19522704557842663,0.24881532611550197,0.3172749912770235,0.20274133938663566,0.11985155558920862,0.42453893697636813,0.4556095074344234,0.05113774567262508,290.3,19.748375914299285,33.47,1.05
portland_FirCreek_CurCond.202009.cl532_gridmet.chn_cs150,gridmet.chncs150,portland_FirCreek_CurCond.202009.cl532,0.02,0.142,0.139,0.263,0.436,0.075,0.279,0.646,0.032,0.031091488207793158,0.17781855230314123,0.21524859413730799,0.3063379840028922,0.2695033813488653,0.10683640198705148,0.379508843413778,0.5136547545991704,0.04557681724162245,89.1,13.169069256185395,34.38,1.07
portland_BRnearMultnoma_CurCond.202009.cl532_gridmet.chn_cs200,gridmet.chncs200,portland_BRnearMultnoma_CurCond.202009.cl532,0.024,0.169,0.164,0.263,0.381,0.084,0.326,0.59,0.036,0.030882269211056013,0.20743409995792778,0.2136450899912108,0.2849419403374495,0.2630966005023559,0.104170635292609,0.40563403775608786,0.4901953269513032,0.04444411308492488,2574.5,1158.4287005850051,38.39,1.2
