ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
lt_Caldor_43_Trout_Creek_Caldor_CurCond,CurCond,Trout,0.035,0.221,0.219,0.303,0.222,0.111,0.426,0.463,0.048,0.012089144833881686,0.020720816718427532,0.07028378376740703,0.21281102958099726,0.684095225099287,0.0479873151373233,0.0983070691873354,0.8537056156753418,0.02044984691520376,544.5,48.6157968865603,50.31,1.57
lt_Caldor_44_Upper_Truckee_River_Big_Meadow_Creek_Caldor_CurCond,CurCond,UTR,0.047,0.216,0.237,0.244,0.256,0.122,0.429,0.45,0.052,0.028565236313117696,0.0626721249081381,0.14006366504956644,0.36878551838328155,0.3999134553458963,0.09462843595852109,0.2115360505441073,0.6938355134973717,0.0403492080048863,2642.6,1917.4284226073016,54.85,1.72
Caldor_SilverForkAmerican_CurCond.gridmet,CurCond,Silver Fork,0.037,0.233,0.206,0.201,0.324,0.1,0.416,0.484,0.043,0.01996839146086261,0.13603445093075348,0.13324321710279521,0.2620161208915095,0.4487378196140789,0.07402230623781184,0.2684130257975759,0.657564667964612,0.031563006553405035,10710.5,662.2650921360537,45.62,1.43
Caldor_SF_Ameri_at_Kyburz_CurCond.gridmet,CurCond,South Fork,0.037,0.23,0.226,0.212,0.296,0.105,0.431,0.464,0.045,0.020821489172558386,0.11463848178374807,0.1437061912845477,0.28431110513197716,0.43652273262716845,0.0792902949416637,0.25759102164098185,0.6631186834173542,0.033807042486179884,6919.6,3175.05047311231,47.81,1.49
Caldor_SlyParkCreek_CurCond.gridmet,CurCond,Sly Park,0.022,0.133,0.146,0.275,0.424,0.08,0.277,0.643,0.034,0.05048503654482972,0.11426329764326776,0.28153847611855765,0.41167029349308903,0.14204289620025612,0.1506450140616612,0.37921086582409097,0.4701441201142481,0.06428669585511188,953.4,121.45975791183432,36.46,1.14
Caldor_CampCreek_CurCond.gridmet,CurCond,Camp Creek,0.039,0.261,0.255,0.223,0.222,0.115,0.485,0.4,0.049,0.04919966648636966,0.12694722979914014,0.2679976539762247,0.405862559740718,0.14999288999754792,0.14592756488968417,0.3806070849994161,0.4734653501109002,0.062272673289622965,2165.3,162.39309480968095,52.26,1.63
Caldor_NF_Cosumnes_CurCond.gridmet,CurCond,North Fork Cosumnes,0.032,0.194,0.198,0.246,0.329,0.098,0.377,0.525,0.042,0.044771769700095734,0.09658384845072873,0.23963913354547772,0.4105398982038566,0.20846535009984085,0.13597907680037336,0.3283552742313118,0.5356656489683146,0.05801728694499604,4588.1,484.09869684328794,44.7,1.4
Caldor_SteelyForkCosumnes_CurCond.gridmet,CurCond,Steely Fork Cosumnes,0.034,0.221,0.227,0.29,0.227,0.111,0.431,0.458,0.048,0.05325266495427994,0.11019718778198596,0.29423979645586423,0.4170450739827369,0.12526527682513272,0.15662472433075825,0.3857250748798675,0.457650200789374,0.06684286805368883,944.9,106.33200049000178,50.35,1.57
Caldor_DogTownCreek_CurCond.gridmet,CurCond,Dog Town Creek,0.019,0.136,0.131,0.26,0.454,0.073,0.266,0.661,0.031,0.04870142708639862,0.12351993325130119,0.272366012266501,0.40435220369655434,0.15106042369924505,0.1462015238405892,0.3804693461140121,0.4733291300453989,0.06238864587930538,2714.6,99.85156476979935,33.18,1.04
lt_Caldor_43_Trout_Creek_Caldor_SBS,SBS,Trout,0.035,0.219,0.217,0.302,0.227,0.11,0.422,0.467,0.047,0.009490136556690667,0.05651912615440848,0.06136516940478544,0.17015842344732718,0.7024671444367889,0.03928387122238579,0.12263272085330623,0.8380834079243087,0.016740787614038726,564.1,207.35994849008793,50.1,1.57
lt_Caldor_44_Upper_Truckee_River_Big_Meadow_Creek_Caldor_SBS,SBS,UTR,0.044,0.199,0.221,0.243,0.293,0.115,0.399,0.486,0.049,0.02743094844757528,0.05678521522626609,0.13675179020182382,0.36057008900309023,0.41846195712124457,0.09198201499146605,0.2021816669518265,0.7058363180567075,0.03921948174030372,3004.9,2346.8152443148692,51.8,1.62
Caldor_SilverForkAmerican_SBS.gridmet,SBS,Silver Fork,0.036,0.222,0.203,0.208,0.331,0.099,0.404,0.497,0.042,0.02135865810282627,0.11024069999530138,0.14405097442101492,0.284796545486932,0.43955312199392477,0.07994827170886669,0.2535157595441231,0.6665359687470096,0.03408890693445496,12595.1,1540.7980340085908,45.12,1.41
Caldor_SF_Ameri_at_Kyburz_SBS.gridmet,SBS,South Fork,0.036,0.215,0.229,0.219,0.301,0.106,0.418,0.476,0.046,0.020737515995425906,0.1102666937017888,0.14333770110200328,0.2856351710813639,0.4400229181194178,0.07925965286500362,0.25306619766373123,0.6676741494712648,0.03379346464663529,9674.6,11507.863512565293,48.28,1.51
Caldor_SlyParkCreek_SBS.gridmet,SBS,Sly Park,0.045,0.112,0.263,0.383,0.197,0.138,0.359,0.502,0.059,0.050285106255247534,0.10768214538961197,0.2895471868399611,0.4076584039498148,0.14482715756536488,0.151737744669511,0.37853134981712205,0.46973090551336727,0.0647532103649899,5960.1,4999.27419466684,61.82,1.93
Caldor_CampCreek_SBS.gridmet,SBS,Camp Creek,0.052,0.184,0.297,0.295,0.172,0.144,0.449,0.407,0.062,0.04703738857233899,0.1026079841958577,0.25483810116338884,0.4101799270556447,0.18533659901277075,0.14141604069632288,0.34633395842755854,0.5122500008761196,0.0603420257385755,6083.2,5491.834019620652,64.37,2.01
Caldor_NF_Cosumnes_SBS.gridmet,SBS,North Fork Cosumnes,0.05,0.16,0.267,0.321,0.203,0.138,0.404,0.458,0.059,0.046411606351908406,0.11494441890012741,0.2543598824488589,0.4024233018110307,0.18186079048807427,0.13992144842790968,0.3574863895406243,0.5025921620314657,0.059704747221429294,14758.8,15700.254264788857,61.74,1.93
Caldor_SteelyForkCosumnes_SBS.gridmet,SBS,Steely Fork Cosumnes,0.065,0.164,0.344,0.294,0.132,0.167,0.467,0.366,0.072,0.05032940932535282,0.10012804019029733,0.2750394962660797,0.41758259250426294,0.15692046171400711,0.14970341969541767,0.36056279236467753,0.48973378793990474,0.06388334014970258,4337.2,5990.569445153244,74.37,2.33
Caldor_DogTownCreek_SBS.gridmet,SBS,Dog Town Creek,0.035,0.12,0.209,0.344,0.29,0.114,0.322,0.565,0.049,0.04681727879741341,0.11055514126731145,0.26437579400202516,0.40274045775285544,0.1755113281803942,0.1424718766493734,0.3610326503412063,0.49649547300942,0.060793533289892544,7797.6,4798.8981751059755,51.09,1.6
lt_Caldor_43_Trout_Creek_Caldor_Trtmt,Trtmt,Trout,0.035,0.219,0.217,0.302,0.226,0.111,0.422,0.467,0.047,0.010501790164058552,0.026827007936237372,0.06594390466798604,0.1901963205136573,0.7065309767180614,0.04324538977985568,0.09863716605269873,0.8581174441674463,0.01842846486207347,559.8,115.03847826010747,50.12,1.57
lt_Caldor_44_Upper_Truckee_River_Big_Meadow_Creek_Caldor_Trtmt,Trtmt,UTR,0.045,0.205,0.225,0.24,0.285,0.116,0.408,0.477,0.05,0.027800302431748802,0.05854088644143584,0.1374585795761505,0.36342335570470585,0.41277687584595846,0.09278297493708244,0.204791734720308,0.702425290342609,0.03956138284467143,2898.8,2188.199461795057,52.32,1.64
